,State,District,Party,PVI
107,FL,21,D,9
108,FL,22,D,6
109,FL,23,D,11
110,FL,24,D,34
111,FL,25,R,4
112,FL,26,D,6
113,FL,27,D,5
114,GA,1,R,9
115,GA,2,D,6
116,GA,3,R,18
117,GA,4,D,24
118,GA,5,D,34
119,GA,6,R,8
120,GA,7,R,9
121,GA,8,R,15
122,GA,9,R,31
123,GA,10,R,15
124,GA,11,R,17
125,GA,12,R,9
126,GA,13,D,20
127,GA,14,R,27
128,HI,1,D,17
129,HI,2,D,19
130,ID,1,R,21
131,ID,2,R,17
132,IL,1,D,27
133,IL,2,D,29
134,IL,3,D,6
135,IL,4,D,33
136,IL,5,D,20
137,IL,6,R,2
138,IL,7,D,38
139,IL,8,D,8
140,IL,9,D,18
141,IL,10,D,10
142,IL,11,D,9
143,IL,12,R,5
144,IL,13,R,3
145,IL,14,R,5
146,IL,15,R,21
147,IL,16,R,8
148,IL,17,D,2
149,IL,18,R,15
150,IN,1,D,8
151,IN,2,R,11
152,IN,3,R,18
153,IN,4,R,17
154,IN,5,R,9
155,IN,6,R,18
156,IN,7,D,11
157,IN,8,R,15
158,IN,9,R,13
159,IA,1,D,1
160,IA,2,D,1
161,IA,3,R,1
162,IA,4,R,11
163,KS,1,R,24
164,KS,2,R,10
165,KS,3,R,4
166,KS,4,R,15
167,KY,1,R,23
168,KY,2,R,19
169,KY,3,D,6
170,KY,4,R,18
171,KY,5,R,31
172,KY,6,R,9
173,LA,1,R,24
174,LA,2,D,25
175,LA,3,R,20
176,LA,4,R,13
177,LA,5,R,15
178,LA,6,R,19
179,ME,1,D,8
180,ME,2,R,2
181,MD,1,R,14
182,MD,2,D,11
183,MD,3,D,13
184,MD,4,D,28
185,MD,5,D,16
186,MD,6,D,6
187,MD,7,D,26
188,MD,8,D,14
189,MA,1,D,12
190,MA,2,D,9
191,MA,3,D,9
192,MA,4,D,9
193,MA,5,D,18
194,MA,6,D,6
195,MA,7,D,34
196,MA,8,D,10
197,MA,9,D,4
198,MI,1,R,9
199,MI,2,R,9
200,MI,3,R,6
201,MI,4,R,10
202,MI,5,D,5
203,MI,6,R,4
204,MI,7,R,7
205,MI,8,R,4
206,MI,9,D,4
207,MI,10,R,13
208,MI,11,R,4
209,MI,12,D,14
210,MI,13,D,32
211,MI,14,D,30
212,MN,1,R,5
213,MN,2,R,2
214,MN,3,D,1
215,MN,4,D,14
216,MN,5,D,26
217,MN,6,R,12
218,MN,7,R,12
219,MN,8,R,4
220,MS,1,R,16
221,MS,2,D,14
222,MS,3,R,13
223,MS,4,R,21
224,MO,1,D,29
225,MO,2,R,8
226,MO,3,R,18
227,MO,4,R,17
228,MO,5,D,7
229,MO,6,R,16
230,MO,7,R,23
231,MO,8,R,24
232,MT,1,R,11
233,NE,1,R,11
234,NE,2,R,4
235,NE,3,R,27
236,NV,1,D,15
237,NV,2,R,7
238,NV,3,R,2
239,NV,4,D,3
240,NH,1,R,2
241,NH,2,D,2
242,NJ,1,D,13
243,NJ,2,R,1
244,NJ,3,R,2
245,NJ,4,R,8
246,NJ,5,R,3
247,NJ,6,D,9
248,NJ,7,R,3
249,NJ,8,D,27
250,NJ,9,D,16
251,NJ,10,D,36
252,NJ,11,R,3
253,NJ,12,D,16
254,NM,1,D,7
255,NM,2,R,6
256,NM,3,D,8
257,NY,1,R,5
258,NY,2,R,3
259,NY,3,D,1
260,NY,4,D,4
261,NY,5,D,37
262,NY,6,D,16
263,NY,7,D,38
264,NY,8,D,36
265,NY,9,D,34
266,NY,10,D,26
267,NY,11,R,3
268,NY,12,D,31
269,NY,13,D,43
270,NY,14,D,29
271,NY,15,D,44
272,NY,16,D,24
273,NY,17,D,7
274,NY,18,R,1
275,NY,19,R,2
276,NY,20,D,7
277,NY,21,R,4
278,NY,22,R,6
279,NY,23,R,6
280,NY,24,D,3
281,NY,25,D,8
282,NY,26,D,11
283,NY,27,R,11
284,NC,1,D,17
285,NC,2,R,6
286,NC,3,R,12
287,NC,4,D,16
288,NC,5,R,10
289,NC,6,R,9
290,NC,7,R,9
291,NC,8,R,8
292,NC,9,R,7
293,NC,10,R,13
294,NC,11,R,14
295,NC,12,D,18
296,NC,13,R,6
297,ND,1,R,16
298,OH,1,R,5
299,OH,2,R,9
300,OH,3,D,19
301,OH,4,R,14
302,OH,5,R,11
303,OH,6,R,16
304,OH,7,R,12
305,OH,8,R,17
306,OH,9,D,14
307,OH,10,R,4
308,OH,11,D,32
309,OH,12,R,7
310,OH,13,D,7
311,OH,14,R,5
312,OH,15,R,7
313,OH,16,R,8
314,OK,1,R,17
315,OK,2,R,24
316,OK,3,R,27
317,OK,4,R,20
318,OK,5,R,10
319,OR,1,D,9
320,OR,2,R,11
321,OR,3,D,24
322,OR,4,D,0
323,OR,5,D,0
324,PA,1,R,1
325,PA,2,D,25
326,PA,3,D,41
327,PA,4,D,7
328,PA,5,D,13
329,PA,6,D,2
330,PA,7,D,1
331,PA,8,R,1
332,PA,9,R,14
333,PA,10,R,6
334,PA,11,R,14
335,PA,12,R,17
336,PA,13,R,22
337,PA,14,R,14
338,PA,15,R,20
339,PA,16,R,8
340,PA,17,R,3
341,PA,18,D,13
342,RI,1,D,14
343,RI,2,D,6
344,SC,1,R,10
345,SC,2,R,13
346,SC,3,R,19
347,SC,4,R,15
348,SC,5,R,9
349,SC,6,D,20
350,SC,7,R,9
351,SD,1,R,14
352,TN,1,R,28
353,TN,2,R,20
354,TN,3,R,18
355,TN,4,R,20
356,TN,5,D,7
357,TN,6,R,24
358,TN,7,R,20
359,TN,8,R,19
360,TN,9,D,28
361,TX,1,R,25
362,TX,2,R,11
363,TX,3,R,13
364,TX,4,R,28
365,TX,5,R,16
366,TX,6,R,9
367,TX,7,R,7
368,TX,8,R,28
369,TX,9,D,29
370,TX,10,R,9
371,TX,11,R,32
372,TX,12,R,18
373,TX,13,R,33
374,TX,14,R,12
375,TX,15,D,7
376,TX,16,D,17
377,TX,17,R,12
378,TX,18,D,27
379,TX,19,R,27
380,TX,20,D,10
381,TX,21,R,10
382,TX,22,R,10
383,TX,23,R,1
384,TX,24,R,9
385,TX,25,R,11
386,TX,26,R,18
387,TX,27,R,13
388,TX,28,D,9
389,TX,29,D,19
390,TX,30,D,29
391,TX,31,R,10
392,TX,32,R,5
393,TX,33,D,23
394,TX,34,D,10
395,TX,35,D,15
396,TX,36,R,26
397,UT,1,R,26
398,UT,2,R,16
399,UT,3,R,25
400,UT,4,R,13
401,VT,1,D,15
402,VA,1,R,8
403,VA,2,R,3
404,VA,3,D,16
405,VA,4,D,10
406,VA,5,R,6
407,VA,6,R,13
408,VA,7,R,6
409,VA,8,D,21
410,VA,9,R,19
411,VA,10,D,1
412,VA,11,D,15
413,WA,1,D,6
414,WA,2,D,10
415,WA,3,R,4
416,WA,4,R,13
417,WA,5,R,8
418,WA,6,D,6
419,WA,7,D,33
420,WA,8,D,0
421,WA,9,D,21
422,WA,10,D,5
423,WV,1,R,19
424,WV,2,R,17
425,WV,3,R,23
426,WI,1,R,5
427,WI,2,D,18
428,WI,3,D,0
429,WI,4,D,25
430,WI,5,R,13
431,WI,6,R,8
432,WI,7,R,8
433,WI,8,R,7
434,WY,1,R,25
