District,PVI
New York 12,D+31
New York 13,D+43
New York 14,D+29
New York 15,D+44
New York 16,D+24
New York 17,D+7
New York 18,R+1
New York 19,R+2
New York 20,D+7
New York 21,R+4
New York 22,R+6
New York 23,R+6
New York 24,D+3
New York 25,D+8
New York 26,D+11
New York 27,R+11
North Carolina 1,D+17
North Carolina 2,R+6
North Carolina 3,R+12
North Carolina 4,D+16
North Carolina 5,R+10
North Carolina 6,R+9
North Carolina 7,R+9
North Carolina 8,R+8
North Carolina 9,R+7
North Carolina 10,R+13
North Carolina 11,R+14
North Carolina 12,D+18
North Carolina 13,R+6
North Dakota AL,R+16
Ohio 1,R+5
Ohio 2,R+9
Ohio 3,D+19
Ohio 4,R+14
Ohio 5,R+11
Ohio 6,R+16
Ohio 7,R+12
Ohio 8,R+17
Ohio 9,D+14
Ohio 10,R+4
Ohio 11,D+32
Ohio 12,R+7
Ohio 13,D+7
Ohio 14,R+5
Ohio 15,R+7
Ohio 16,R+8
Oklahoma 1,R+17
Oklahoma 2,R+24
Oklahoma 3,R+27
Oklahoma 4,R+20
Oklahoma 5,R+10
Oregon 1,D+9
Oregon 2,R+11
Oregon 3,D+24
Oregon 4,EVEN
Oregon 5,EVEN
Pennsylvania 1,R+1
Pennsylvania 2,D+25
Pennsylvania 3,D+41
Pennsylvania 4,D+7
Pennsylvania 5,D+13
Pennsylvania 6,D+2
Pennsylvania 7,D+1
Pennsylvania 8,R+1
Pennsylvania 9,R+14
Pennsylvania 10,R+6
Pennsylvania 11,R+14
Pennsylvania 12,R+17
Pennsylvania 13,R+22
Pennsylvania 14,R+14
Pennsylvania 15,R+20
Pennsylvania 16,R+8
Pennsylvania 17,R+3
Pennsylvania 18,D+13
Rhode Island 1,D+14
Rhode Island 2,D+6
South Carolina 1,R+10
South Carolina 2,R+13
South Carolina 3,R+19
South Carolina 4,R+15
South Carolina 5,R+9
South Carolina 6,D+20
South Carolina 7,R+9
South Dakota AL,R+14
Tennessee 1,R+28
Tennessee 2,R+20
Tennessee 3,R+18
Tennessee 4,R+20
Tennessee 5,D+7
Tennessee 6,R+24
Tennessee 7,R+20
Tennessee 8,R+19
Tennessee 9,D+28
Texas 1,R+25
Texas 2,R+11
Texas 3,R+13
Texas 4,R+28
Texas 5,R+16
Texas 6,R+9
Texas 7,R+7
Texas 8,R+28
Texas 9,D+29
Texas 10,R+9
Texas 11,R+32
Texas 12,R+18
Texas 13,R+33
Texas 14,R+12
Texas 15,D+7
Texas 16,D+17
Texas 17,R+12
Texas 18,D+27
Texas 19,R+27
Texas 20,D+10
Texas 21,R+10
Texas 22,R+10
Texas 23,R+1
Texas 24,R+9
Texas 25,R+11
Texas 26,R+18
Texas 27,R+13
Texas 28,D+9
Texas 29,D+19
Texas 30,D+29
Texas 31,R+10
Texas 32,R+5
Texas 33,D+23
Texas 34,D+10
Texas 35,D+15
Texas 36,R+26
Utah 1,R+26
Utah 2,R+16
Utah 3,R+25
Utah 4,R+13
Vermont AL,D+15
Virginia 1,R+8
Virginia 2,R+3
Virginia 3,D+16
Virginia 4,D+10
Virginia 5,R+6
Virginia 6,R+13
Virginia 7,R+6
Virginia 8,D+21
Virginia 9,R+19
Virginia 10,D+1
Virginia 11,D+15
Washington 1,D+6
Washington 2,D+10
Washington 3,R+4
Washington 4,R+13
Washington 5,R+8
Washington 6,D+6
Washington 7,D+33
Washington 8,EVEN
Washington 9,D+21
Washington 10,D+5
West Virginia 1,R+19
West Virginia 2,R+17
West Virginia 3,R+23
Wisconsin 1,R+5
Wisconsin 2,D+18
Wisconsin 3,EVEN
Wisconsin 4,D+25
Wisconsin 5,R+13
Wisconsin 6,R+8
Wisconsin 7,R+8
Wisconsin 8,R+7
Wyoming AL,R+25
