Race Name,Candidate 1,Party 1,Result 1,Candidate 2,Party 2 ,Result 2
Massachusetts Governor,Charlie Baker,REP,68,Jay Gonzalez,DEM,25
Massachusetts Governor,Charlie Baker,REP,65,Jay Gonzalez,DEM,27
Massachusetts Governor,Charlie Baker,REP,65,Jay Gonzalez,DEM,26
Massachusetts Governor,Charlie Baker,REP,66,Jay Gonzalez,DEM,27
