,State,Year,Position,Party,Total Seats,Seats Up for Election,Seats Needed for Majority,Seats Needed for Supermajority,Actual Seats Won
0,TN,2018,State Senator,REP,33,18,16.5,16.5,
1,TN,2018,State Senator,DEM,33,18,16.5,16.5,
2,TN,2018,State Senator,IND,33,18,16.5,16.5,
