,State,Year,Position,Party,Total Seats,Seats Up for Election,Seats Needed for Majority,Seats Needed for Supermajority,Actual Seats Won
0,UT,2018,State Representative,REP,75,75,37.5,50.0,
1,UT,2018,State Representative,DEM,75,75,37.5,50.0,
2,UT,2018,State Representative,IND,75,75,37.5,50.0,
