,State,Year,Position,Party,Total Seats,Seats Up for Election,Seats Needed for Majority,Seats Needed for Supermajority,Actual Seats Won
0,SC,2018,State Representative,REP,124,124,62.0,82.66666666666666,
1,SC,2018,State Representative,DEM,124,124,62.0,82.66666666666666,
2,SC,2018,State Representative,IND,124,124,62.0,82.66666666666666,
