,State,Year,Position,Party,Total Seats,Seats Up for Election,Seats Needed for Majority,Seats Needed for Supermajority,Actual Seats Won
0,KS,2018,State Representative,REP,125,125,62.5,83.33333333333333,
1,KS,2018,State Representative,DEM,125,125,62.5,83.33333333333333,
2,KS,2018,State Representative,IND,125,125,62.5,83.33333333333333,
