,State,Year,Position,Party,Total Seats,Seats Up for Election,Seats Needed for Majority,Seats Needed for Supermajority,Actual Seats Won
0,MA,2018,State Representative,REP,160,160,80.0,106.66666666666666,
1,MA,2018,State Representative,DEM,160,160,80.0,106.66666666666666,
2,MA,2018,State Representative,IND,160,160,80.0,106.66666666666666,
