Candidate,Party,State,Office,Incumbency,Result,Total Money
"SPITZER, ELIOT L & PATERSON, DAVID A",DEMOCRATIC,NY,GOVERNOR / LIEUTENANT GOVERNOR,Open,Won-General,41670489.44
"CUOMO, ANDREW M",DEMOCRATIC,NY,ATTORNEY GENERAL,Open,Won-General,11366678.20
"HEVESI, ALAN G",DEMOCRATIC,NY,COMPTROLLER,Incumbent,Won-General,6924853.49
"PIRRO, JEANINE",REPUBLICAN,NY,ATTORNEY GENERAL,Open,Lost-General,5094865.38
"FASO, JOHN J & VANDERHOEF, C SCOTT",REPUBLICAN,NY,GOVERNOR / LIEUTENANT GOVERNOR,Open,Lost-General,3874604.85
"SPANO, NICHOLAS A",REPUBLICAN,NY,SENATE DISTRICT 035,Incumbent,Lost-General,1961226.17
"BROWN, JEFFREY D",REPUBLICAN,NY,SENATE DISTRICT 049,Challenger,Lost-General,1639328.77
"BRUNO, JOSEPH L",REPUBLICAN,NY,SENATE DISTRICT 043,Incumbent,Won-General,1350685.72
"LIBOUS, THOMAS W",REPUBLICAN,NY,SENATE DISTRICT 052,Incumbent,Won-General,1266296.07
"SKELOS, DEAN G",REPUBLICAN,NY,SENATE DISTRICT 009,Incumbent,Won-General,1190373.34
"KLEIN, JEFFREY D",DEMOCRATIC,NY,SENATE DISTRICT 034,Incumbent,Won-General,1067951.39
"BALBONI, MICHAEL A L",REPUBLICAN,NY,SENATE DISTRICT 007,Incumbent,Won-General,1051556.76
"GOLDEN, MARTIN J",REPUBLICAN,NY,SENATE DISTRICT 022,Incumbent,Won-General,1020741.30
"VALESKY, DAVID J",DEMOCRATIC,NY,SENATE DISTRICT 049,Incumbent,Won-General,913080.90
"LEIBELL III, VINCENT L",REPUBLICAN,NY,SENATE DISTRICT 040,Incumbent,Won-General,858494.21
"FLANAGAN JR, JOHN J",REPUBLICAN,NY,SENATE DISTRICT 002,Incumbent,Won-General,852389.34
"LANZA, ANDREW J",REPUBLICAN,NY,SENATE DISTRICT 024,Open,Won-General,790349.53
"ROBACH, JOSEPH E",REPUBLICAN,NY,SENATE DISTRICT 056,Incumbent,Won-General,758095.00
"KRUGER, CARL",DEMOCRATIC,NY,SENATE DISTRICT 027,Incumbent,Won-General,749888.86
"MAZIARZ, GEORGE D",REPUBLICAN,NY,SENATE DISTRICT 062,Incumbent,Won-General,720611.51
"SILVER, SHELDON",DEMOCRATIC,NY,ASSEMBLY DISTRICT 064,Incumbent,Won-General,711350.00
"DIAMONDSTONE, KEN A",WORKING FAMILIES,NY,SENATE DISTRICT 025,Challenger,Lost-General,666656.18
"GRIFFO, JOSEPH A",REPUBLICAN,NY,SENATE DISTRICT 047,Open,Won-General,664936.58
"STEWART-COUSINS, ANDREA",DEMOCRATIC,NY,SENATE DISTRICT 035,Challenger,Won-General,655889.81
"NOZZOLIO, MICHAEL F",REPUBLICAN,NY,SENATE DISTRICT 054,Incumbent,Won-General,617390.27
"FUSCHILLO JR, CHARLES J",REPUBLICAN,NY,SENATE DISTRICT 008,Incumbent,Won-General,615278.96
"BONACIC, JOHN J",REPUBLICAN,NY,SENATE DISTRICT 042,Incumbent,Won-General,614419.72
"TRUNZO, CAESAR",REPUBLICAN,NY,SENATE DISTRICT 003,Incumbent,Won-General,552219.72
