Candidate,Party,State,Office,Incumbency,Result,Total Money
"SEBELIUS, KATHLEEN & PARKINSON, MARK V",DEMOCRATIC,KS,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Won-General,6763124.71
"MORRISON, PAUL",DEMOCRATIC,KS,ATTORNEY GENERAL,Challenger,Won-General,2455364.59
"KLINE, PHILL",REPUBLICAN,KS,ATTORNEY GENERAL,Incumbent,Lost-General,1632722.37
"BARNETT, JAMES A & WAGLE, SUSAN",REPUBLICAN,KS,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Lost-General,1286477.37
"PRAEGER, SANDY",REPUBLICAN,KS,INSURANCE COMMISSIONER,Incumbent,Won-General,574459.41
"THORNBURGH, RON",REPUBLICAN,KS,SECRETARY OF STATE,Incumbent,Won-General,374487.33
"JENKINS, LYNN",REPUBLICAN,KS,TREASURER,Incumbent,Won-General,268078.64
"GOYLE, RAJ",DEMOCRATIC,KS,HOUSE DISTRICT 087,Challenger,Won-General,112531.16
"COLYER, JEFF",REPUBLICAN,KS,HOUSE DISTRICT 048,Open,Won-General,99880.55
"KIEGERL, S MIKE",REPUBLICAN,KS,HOUSE DISTRICT 043,Incumbent,Won-General,80084.00
"GRANT, ROBERT (BOB)",DEMOCRATIC,KS,HOUSE DISTRICT 002,Incumbent,Won-General,73362.35
"MERRICK, RAY",REPUBLICAN,KS,HOUSE DISTRICT 027,Incumbent,Won-General,67975.00
"PILCHER-COOK, MARY",REPUBLICAN,KS,HOUSE DISTRICT 018,Incumbent,Lost-General,64175.95
"OMALLEY, ED",REPUBLICAN,KS,HOUSE DISTRICT 024,Incumbent,Won-General,62217.00
"CARLIN, SYDNEY",DEMOCRATIC,KS,HOUSE DISTRICT 066,Incumbent,Won-General,58390.43
"YODER, KEVIN W",REPUBLICAN,KS,HOUSE DISTRICT 020,Incumbent,Won-General,57076.30
"PATTON, JOE",REPUBLICAN,KS,HOUSE DISTRICT 054,Open,Won-General,56279.89
"ONEAL, MICHAEL R (MIKE)",REPUBLICAN,KS,HOUSE DISTRICT 104,Incumbent,Won-General,56191.20
"HAWK, TOM",DEMOCRATIC,KS,HOUSE DISTRICT 067,Incumbent,Won-General,56161.20
"HILL, DON",REPUBLICAN,KS,HOUSE DISTRICT 060,Incumbent,Won-General,55254.23
"CAUBLE, SALLY",REPUBLICAN,KS,BOARD OF EDUCATION DISTRICT 005,Open,Won-General,55062.33
"MCKINNEY, DENNIS",DEMOCRATIC,KS,HOUSE DISTRICT 116,Incumbent,Won-General,54570.60
"WOLF, KAY",REPUBLICAN,KS,HOUSE DISTRICT 021,Incumbent,Won-General,53034.24
"HUY, BONNIE",REPUBLICAN,KS,HOUSE DISTRICT 087,Incumbent,Lost-General,52745.50
"SHARP, BONNIE",DEMOCRATIC,KS,INSURANCE COMMISSIONER,Challenger,Lost-General,51390.71
"MENGHINI, JULIE",DEMOCRATIC,KS,HOUSE DISTRICT 003,Incumbent,Won-General,50588.10
"NEUFELD, MELVIN J",REPUBLICAN,KS,HOUSE DISTRICT 115,Incumbent,Won-General,49159.90
"HOLLAND, THOMAS",DEMOCRATIC,KS,HOUSE DISTRICT 010,Incumbent,Won-General,48909.10
"WILK, KENNY A",REPUBLICAN,KS,HOUSE DISTRICT 042,Incumbent,Won-General,48625.00
"KEENAN, MARTIN J",DEMOCRATIC,KS,HOUSE DISTRICT 112,Open,Lost-General,47324.72
"BROWN, ANTHONY R",REPUBLICAN,KS,HOUSE DISTRICT 038,Incumbent,Won-General,46061.79
"OLSON, ROBERT (ROB)",REPUBLICAN,KS,HOUSE DISTRICT 026,Incumbent,Won-General,45361.94
"STRAWN, BOB",REPUBLICAN,KS,HOUSE DISTRICT 066,Challenger,Lost-General,44026.81
"TREASTER, MARK R",DEMOCRATIC,KS,HOUSE DISTRICT 101,Incumbent,Won-General,43564.37
"KING, JEFF",REPUBLICAN,KS,HOUSE DISTRICT 012,Open,Won-General,43495.46
"TIETZE, ANNA M (ANNIE)",DEMOCRATIC,KS,HOUSE DISTRICT 056,Open,Won-General,43129.64
"MOXLEY, TOM",REPUBLICAN,KS,HOUSE DISTRICT 068,Open,Won-General,43047.00
"KINZER, LANCE",REPUBLICAN,KS,HOUSE DISTRICT 014,Incumbent,Won-General,41548.91
"AURAND, CLAY",REPUBLICAN,KS,HOUSE DISTRICT 109,Incumbent,Won-General,40695.00
"GOICO, MARIO",REPUBLICAN,KS,HOUSE DISTRICT 100,Incumbent,Won-General,40209.61
"HUNTINGTON, TERRIE W",REPUBLICAN,KS,HOUSE DISTRICT 025,Incumbent,Won-General,39762.00
"LOGANBILL, JUDITH",DEMOCRATIC,KS,HOUSE DISTRICT 086,Incumbent,Won-General,39717.23
"MAH, ANN E",DEMOCRATIC,KS,HOUSE DISTRICT 053,Incumbent,Won-General,39471.77
"NEIGHBOR, CINDY",DEMOCRATIC,KS,HOUSE DISTRICT 018,Challenger,Won-General,37790.96
"SPALDING, SHERYL",REPUBLICAN,KS,HOUSE DISTRICT 029,Open,Won-General,37668.67
"SLOAN, TOM",REPUBLICAN,KS,HOUSE DISTRICT 045,Incumbent,Won-General,37468.00
"HOLSINGER, ALEX",DEMOCRATIC,KS,HOUSE DISTRICT 020,Challenger,Lost-General,37369.36
"HALEY, DAVID",DEMOCRATIC,KS,SECRETARY OF STATE,Challenger,Lost-General,36652.68
"DONOHOE, OWEN",REPUBLICAN,KS,HOUSE DISTRICT 039,Open,Won-General,36630.97
"LANDWEHR, BRENDA",REPUBLICAN,KS,HOUSE DISTRICT 091,Incumbent,Won-General,36445.00
"KUETHER, ANNIE",DEMOCRATIC,KS,HOUSE DISTRICT 055,Incumbent,Won-General,36052.51
"PROEHL, RICHARD J",REPUBLICAN,KS,HOUSE DISTRICT 007,Incumbent,Won-General,35700.00
"GORDON, LANA",REPUBLICAN,KS,HOUSE DISTRICT 052,Incumbent,Won-General,35409.20
"MORRISON, JUDY",REPUBLICAN,KS,HOUSE DISTRICT 023,Incumbent,Won-General,35405.00
"TRIMMER, ED",DEMOCRATIC,KS,HOUSE DISTRICT 078,Incumbent,Won-General,35110.16
"THULL, TOM",DEMOCRATIC,KS,HOUSE DISTRICT 072,Incumbent,Lost-General,34829.36
"LUKERT, STEVE",DEMOCRATIC,KS,HOUSE DISTRICT 062,Incumbent,Won-General,34235.00
"BRUNK, STEVEN R",REPUBLICAN,KS,HOUSE DISTRICT 085,Incumbent,Won-General,34095.00
"SHAVER, JANA",REPUBLICAN,KS,BOARD OF EDUCATION DISTRICT 009,Open,Won-General,33711.62
"WOLF, BILL",REPUBLICAN,KS,HOUSE DISTRICT 112,Open,Won-General,33420.81
"SIEGFREID, ARLEN H",REPUBLICAN,KS,HOUSE DISTRICT 015,Incumbent,Won-General,32979.11
"WARD, JIM",DEMOCRATIC,KS,HOUSE DISTRICT 088,Incumbent,Won-General,32917.38
"PHILLIPS, DENNIS",DEMOCRATIC,KS,HOUSE DISTRICT 050,Open,Lost-General,32778.59
"GATEWOOD, DOUG",DEMOCRATIC,KS,HOUSE DISTRICT 001,Incumbent,Won-General,32768.19
"PECK JR, VIRGIL",REPUBLICAN,KS,HOUSE DISTRICT 011,Incumbent,Won-General,32443.33
"DECASTRO, WILLA",REPUBLICAN,KS,HOUSE DISTRICT 096,Incumbent,Lost-General,32430.00
"VICKREY, JENE",REPUBLICAN,KS,HOUSE DISTRICT 006,Incumbent,Won-General,32049.00
"WATKINS, JASON",REPUBLICAN,KS,HOUSE DISTRICT 105,Incumbent,Won-General,32001.75
"WEMPE, JOHN R (JACK)",DEMOCRATIC,KS,BOARD OF EDUCATION DISTRICT 007,Challenger,Lost-General,31381.17
"OWENS, THOMAS C (TIM)",REPUBLICAN,KS,HOUSE DISTRICT 019,Incumbent,Won-General,31130.00
"TAFANELLI, LEE",REPUBLICAN,KS,HOUSE DISTRICT 047,Incumbent,Won-General,30798.55
"BRYANT, DIANE",DEMOCRATIC,KS,HOUSE DISTRICT 038,Challenger,Lost-General,30687.42
"GRANGE, JOHN C",REPUBLICAN,KS,HOUSE DISTRICT 075,Incumbent,Won-General,29996.26
"LANE, HAROLD",DEMOCRATIC,KS,HOUSE DISTRICT 058,Incumbent,Won-General,29398.52
"SHARP, STEPHANIE",REPUBLICAN,KS,HOUSE DISTRICT 017,Incumbent,Won-General,28979.53
"RARDIN, GENE",DEMOCRATIC,KS,HOUSE DISTRICT 016,Open,Won-General,28822.39
"COLLOTON, PAT",REPUBLICAN,KS,HOUSE DISTRICT 028,Incumbent,Won-General,28335.12
"GOYEN, KENT",DEMOCRATIC,KS,HOUSE DISTRICT 114,Challenger,Lost-General,28188.10
"DILLMORE, NILE",DEMOCRATIC,KS,HOUSE DISTRICT 092,Incumbent,Won-General,27680.36
"KELSEY, DICK",REPUBLICAN,KS,HOUSE DISTRICT 093,Incumbent,Won-General,27066.00
"DORF, TANYA",DEMOCRATIC,KS,HOUSE DISTRICT 054,Open,Lost-General,26747.56
"LONG, MARGARET",DEMOCRATIC,KS,HOUSE DISTRICT 036,Incumbent,Won-General,26500.00
"ROTH, CHARLES B",REPUBLICAN,KS,HOUSE DISTRICT 071,Incumbent,Won-General,26450.00
"KRIEGSHAUSER, J DENNIS",REPUBLICAN,KS,HOUSE DISTRICT 016,Open,Lost-General,26388.15
"GARCIA, DELIA",DEMOCRATIC,KS,HOUSE DISTRICT 103,Incumbent,Won-General,26240.83
"GEORGE, PAT",REPUBLICAN,KS,HOUSE DISTRICT 119,Incumbent,Won-General,25985.94
"SANDLER, ANDY",DEMOCRATIC,KS,HOUSE DISTRICT 024,Challenger,Lost-General,25506.00
"MAST, PEGGY J",REPUBLICAN,KS,HOUSE DISTRICT 076,Incumbent,Won-General,25397.49
"HOLMES, MITCH",REPUBLICAN,KS,HOUSE DISTRICT 114,Incumbent,Won-General,25023.50
"OHARAH, LYNNE D",REPUBLICAN,KS,HOUSE DISTRICT 004,Incumbent,Lost-General,24950.38
"FEUERBORN, BILL",DEMOCRATIC,KS,HOUSE DISTRICT 005,Incumbent,Won-General,24600.00
"PALMER, SHIRLEY J",DEMOCRATIC,KS,HOUSE DISTRICT 004,Challenger,Won-General,24535.14
"WORLEY, RON",REPUBLICAN,KS,HOUSE DISTRICT 030,Open,Won-General,24350.11
"WILLARD, KENNETH R",REPUBLICAN,KS,BOARD OF EDUCATION DISTRICT 007,Incumbent,Won-General,24234.01
"MOHN, COREY",DEMOCRATIC,KS,HOUSE DISTRICT 039,Open,Lost-General,23964.00
"ARMSTRONG, JUDY",DEMOCRATIC,KS,HOUSE DISTRICT 081,Challenger,Lost-General,23683.58
"DAVIS, PAUL T",DEMOCRATIC,KS,HOUSE DISTRICT 046,Incumbent,Won-General,23601.30
"KNOX, FORREST J",REPUBLICAN,KS,HOUSE DISTRICT 013,Incumbent,Won-General,23425.00
"WHITHAM, JEFF",REPUBLICAN,KS,HOUSE DISTRICT 123,Open,Won-General,23233.00
"FUND, ROCKY",REPUBLICAN,KS,HOUSE DISTRICT 050,Open,Won-General,23065.89
"POTTORFF, JO ANN",REPUBLICAN,KS,HOUSE DISTRICT 083,Incumbent,Won-General,22918.00
"CRUZ, TIM",DEMOCRATIC,KS,BOARD OF EDUCATION DISTRICT 005,Open,Lost-General,22545.19
"MYERS, DON V",REPUBLICAN,KS,HOUSE DISTRICT 082,Incumbent,Won-General,22535.00
"TAYLOR, MISSY",DEMOCRATIC,KS,HOUSE DISTRICT 025,Challenger,Lost-General,22185.83
"MASTERSON, TY",REPUBLICAN,KS,HOUSE DISTRICT 099,Incumbent,Won-General,21841.00
"LIGHT, BILL",REPUBLICAN,KS,HOUSE DISTRICT 124,Incumbent,Won-General,21490.00
"LEYERZAPF, JUDY",DEMOCRATIC,KS,HOUSE DISTRICT 068,Open,Lost-General,21460.86
"WINN, VALDENIA C",DEMOCRATIC,KS,HOUSE DISTRICT 034,Incumbent,Won-General,21459.63
"BALLARD, BARBARA W",DEMOCRATIC,KS,HOUSE DISTRICT 044,Incumbent,Won-General,21431.21
"HUMERICKHOUSE, JOE D",REPUBLICAN,KS,HOUSE DISTRICT 059,Incumbent,Won-General,21100.00
"HODGE, BENJAMIN B",REPUBLICAN,KS,HOUSE DISTRICT 049,Open,Won-General,20596.04
"HORST, DEENA L",REPUBLICAN,KS,HOUSE DISTRICT 069,Incumbent,Won-General,20405.00
"OTTO, BILL",REPUBLICAN,KS,HOUSE DISTRICT 009,Incumbent,Won-General,20355.00
"MCLACHLAN, TERRY",DEMOCRATIC,KS,HOUSE DISTRICT 096,Challenger,Won-General,20077.59
"JOHNSTON, SARAH",DEMOCRATIC,KS,HOUSE DISTRICT 075,Challenger,Lost-General,20001.74
"CRAFT, BARBARA",REPUBLICAN,KS,HOUSE DISTRICT 065,Incumbent,Won-General,19985.00
"MILLER, DICK",REPUBLICAN,KS,HOUSE DISTRICT 067,Challenger,Lost-General,19982.75
"BURGESS, MIKE",REPUBLICAN,KS,HOUSE DISTRICT 051,Incumbent,Won-General,19783.07
"WEISS, DON",DEMOCRATIC,KS,BOARD OF EDUCATION DISTRICT 003,Challenger,Lost-General,19591.72
"SVATY, JOSHUA",DEMOCRATIC,KS,HOUSE DISTRICT 108,Incumbent,Won-General,19560.00
"RISING, RYAN",REPUBLICAN,KS,HOUSE DISTRICT 078,Challenger,Lost-General,19166.52
"FAULWELL, BOND",DEMOCRATIC,KS,HOUSE DISTRICT 049,Open,Lost-General,19038.97
"CRUM, J DAVID",REPUBLICAN,KS,HOUSE DISTRICT 077,Open,Won-General,18936.86
"SHULTZ, CLARK",REPUBLICAN,KS,HOUSE DISTRICT 073,Incumbent,Won-General,18750.00
"RUNYAN, CHARLES KENT",DEMOCRATIC,KS,BOARD OF EDUCATION DISTRICT 009,Open,Lost-General,18727.18
"SHIRLEY, WILLIAM A",DEMOCRATIC,KS,HOUSE DISTRICT 009,Challenger,Lost-General,18534.31
"KELLEY, KASHA",REPUBLICAN,KS,HOUSE DISTRICT 079,Incumbent,Won-General,18437.64
