Candidate,Party,State,Office,Incumbency,Result,Total Money
"MURPHY, JIM",REPUBLICAN,TX,HOUSE DISTRICT 133,Open,Won-General,506783.84
"JOHNSON, PHIL",REPUBLICAN,TX,SUPREME COURT-JOHNSON SEAT,Incumbent,Won-General,496867.97
"VO, HUBERT",DEMOCRATIC,TX,HOUSE DISTRICT 149,Incumbent,Won-General,481229.68
"ZERWAS, JOHN",REPUBLICAN,TX,HOUSE DISTRICT 028,Open,Won-General,475574.84
"SWINFORD, DAVID",REPUBLICAN,TX,HOUSE DISTRICT 087,Incumbent,Won-General,459219.41
"GOODMAN, TOBY",REPUBLICAN,TX,HOUSE DISTRICT 093,Incumbent,Lost-General,455739.93
"LUCIO III, EDDIE",DEMOCRATIC,TX,HOUSE DISTRICT 038,Open,Won-General,451768.17
"HOWARD, DONNA",DEMOCRATIC,TX,HOUSE DISTRICT 048,Open,Won-General,451125.28
"JEFFERSON, WALLACE B",REPUBLICAN,TX,SUPREME COURT-CHIEF JUSTICE,Incumbent,Won-General,441065.27
"COLEMAN, GARNET",DEMOCRATIC,TX,HOUSE DISTRICT 147,Incumbent,Won-General,411218.45
"TOUREILLES, YVONNE GONZALEZ",DEMOCRATIC,TX,HOUSE DISTRICT 035,Incumbent,Won-General,411080.96
"TRUITT, VICKI",REPUBLICAN,TX,HOUSE DISTRICT 098,Incumbent,Won-General,405242.95
"KEFFER, JAMES L (JIM)",REPUBLICAN,TX,HOUSE DISTRICT 060,Incumbent,Won-General,401829.18
"MILLER, HARRIET",DEMOCRATIC,TX,HOUSE DISTRICT 102,Challenger,Lost-General,392807.91
"ANDERSON, JODY",REPUBLICAN,TX,HOUSE DISTRICT 012,Challenger,Lost-General,387827.81
"BROWN, BETTY",REPUBLICAN,TX,HOUSE DISTRICT 004,Incumbent,Won-General,381595.83
"MEDINA, DAVID M",REPUBLICAN,TX,SUPREME COURT-MEDINA SEAT,Incumbent,Won-General,379430.44
"TURNER, SYLVESTER",DEMOCRATIC,TX,HOUSE DISTRICT 139,Incumbent,Won-General,378430.04
"ENGLAND, KIRK",REPUBLICAN,TX,HOUSE DISTRICT 106,Open,Won-General,377355.31
"KLEINSCHMIDT, TIM",REPUBLICAN,TX,HOUSE DISTRICT 017,Challenger,Lost-General,376754.90
"PATRICK, DIANE",REPUBLICAN,TX,HOUSE DISTRICT 094,Open,Won-General,373429.03
"HOMER, MARK STEVEN",DEMOCRATIC,TX,HOUSE DISTRICT 003,Incumbent,Won-General,364496.62
"STRAMA, MARK",DEMOCRATIC,TX,HOUSE DISTRICT 050,Incumbent,Won-General,364163.03
"COOK, ROBBY",DEMOCRATIC,TX,HOUSE DISTRICT 017,Incumbent,Won-General,358949.65
"FARIAS, JOE",DEMOCRATIC,TX,HOUSE DISTRICT 118,Open,Won-General,358811.00
"DARBY, DREW",REPUBLICAN,TX,HOUSE DISTRICT 072,Open,Won-General,355535.96
"FARABEE, DAVID",DEMOCRATIC,TX,HOUSE DISTRICT 069,Incumbent,Won-General,354966.01
"HAGGERTY, PATRICK B",REPUBLICAN,TX,HOUSE DISTRICT 078,Incumbent,Won-General,346992.38
"FLORES, KINO",DEMOCRATIC,TX,HOUSE DISTRICT 036,Incumbent,Won-General,336740.55
"MERRITT, THOMAS C (TOMMY)",REPUBLICAN,TX,HOUSE DISTRICT 007,Incumbent,Won-General,336627.99
"PIERSON, PAULA HIGHTOWER",DEMOCRATIC,TX,HOUSE DISTRICT 093,Challenger,Won-General,331572.59
"KRUSEE, MIKE",REPUBLICAN,TX,HOUSE DISTRICT 052,Incumbent,Won-General,330439.68
"SOLOMONS, BURT",REPUBLICAN,TX,HOUSE DISTRICT 065,Incumbent,Won-General,329856.01
"MCCALL, J BRIAN",REPUBLICAN,TX,HOUSE DISTRICT 066,Incumbent,Won-General,328302.41
"FLYNN, DAN",REPUBLICAN,TX,HOUSE DISTRICT 002,Incumbent,Won-General,322864.82
"HEFLIN, JOE",DEMOCRATIC,TX,HOUSE DISTRICT 085,Open,Won-General,316656.52
"MCREYNOLDS, JIM",DEMOCRATIC,TX,HOUSE DISTRICT 012,Incumbent,Won-General,315628.20
"WOOLLEY, BEVERLY",REPUBLICAN,TX,HOUSE DISTRICT 136,Incumbent,Won-General,304133.56
"ESPARZA, MICHAEL",REPUBLICAN,TX,HOUSE DISTRICT 035,Challenger,Lost-General,300357.61
"KEFFER, BILL",REPUBLICAN,TX,HOUSE DISTRICT 107,Incumbent,Lost-General,299374.85
"PUENTE, ROBERT R",DEMOCRATIC,TX,HOUSE DISTRICT 119,Incumbent,Won-General,285892.45
"HERNANDEZ, ANA E",DEMOCRATIC,TX,HOUSE DISTRICT 143,Incumbent,Won-General,280791.03
"JONES, DELWIN",REPUBLICAN,TX,HOUSE DISTRICT 083,Incumbent,Won-General,279156.41
"DAVIS, JOHN E",REPUBLICAN,TX,HOUSE DISTRICT 129,Incumbent,Won-General,278358.88
"AYCOCK, JIMMIE DON",REPUBLICAN,TX,HOUSE DISTRICT 054,Open,Won-General,276577.17
"PARKER, TAN",REPUBLICAN,TX,HOUSE DISTRICT 063,Open,Won-General,266348.37
"PHILLIPS, LARRY",REPUBLICAN,TX,HOUSE DISTRICT 062,Incumbent,Won-General,265707.27
"OLIVO, DORA",DEMOCRATIC,TX,HOUSE DISTRICT 027,Incumbent,Won-General,255678.48
"LEIBOWITZ, DAVID MCQUADE",DEMOCRATIC,TX,HOUSE DISTRICT 117,Incumbent,Won-General,255365.36
"CHRISTIAN, KEVIN",REPUBLICAN,TX,HOUSE DISTRICT 071,Open,Won-Primary,248170.22
"CHAVEZ, NORMA",DEMOCRATIC,TX,HOUSE DISTRICT 076,Incumbent,Won-General,245789.21
"CHISUM, WARREN",REPUBLICAN,TX,HOUSE DISTRICT 088,Incumbent,Won-General,236472.00
"CREIGHTON, CHARLES BRANDON",REPUBLICAN,TX,HOUSE DISTRICT 016,Open,Won-General,236310.53
"GATTIS, DAN",REPUBLICAN,TX,HOUSE DISTRICT 020,Incumbent,Won-General,234798.61
"KHAN, CHAD",DEMOCRATIC,TX,HOUSE DISTRICT 126,Open,Lost-General,233249.11
"ORTIZ JR, SOLOMON P",DEMOCRATIC,TX,HOUSE DISTRICT 033,Open,Won-General,232275.96
"HARPER-BROWN, LINDA L",REPUBLICAN,TX,HOUSE DISTRICT 105,Incumbent,Won-General,231399.11
"THIBAUT, KRISTI",DEMOCRATIC,TX,HOUSE DISTRICT 133,Open,Lost-General,229845.42
"HUBENER, KATY",DEMOCRATIC,TX,HOUSE DISTRICT 106,Open,Lost-General,228373.61
"EISSLER, ROB",REPUBLICAN,TX,HOUSE DISTRICT 015,Incumbent,Won-General,227084.50
"ISETT, CARL",REPUBLICAN,TX,HOUSE DISTRICT 084,Incumbent,Won-General,225038.27
"BOHAC, DWAYNE",REPUBLICAN,TX,HOUSE DISTRICT 138,Incumbent,Won-General,222561.78
"EILAND, CRAIG",DEMOCRATIC,TX,HOUSE DISTRICT 023,Incumbent,Won-General,218709.28
"MORRISON, GEANIE",REPUBLICAN,TX,HOUSE DISTRICT 030,Incumbent,Won-General,212582.28
"GALLEGO, PETE P",DEMOCRATIC,TX,HOUSE DISTRICT 074,Incumbent,Won-General,212271.11
"VAN OS, DAVID",DEMOCRATIC,TX,ATTORNEY GENERAL,Challenger,Lost-General,211474.10
"HAMILTON, MIKE (TUFFY)",REPUBLICAN,TX,HOUSE DISTRICT 019,Incumbent,Won-General,211105.03
"HILDEBRAN, HARVEY RAY",REPUBLICAN,TX,HOUSE DISTRICT 053,Incumbent,Won-General,210463.91
