Candidate,Party,State,Office,Incumbency,Result,Total Money
"EHRLICH JR, ROBERT L",REPUBLICAN,MD,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Lost-General,17451373.22
"OMALLEY, MARTIN J",DEMOCRATIC,MD,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Won-General,11917687.38
"BROWN, ANTHONY G",DEMOCRATIC,MD,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Won-General,1850278.35
"FRANCHOT, PETER V",DEMOCRATIC,MD,COMPTROLLER,Open,Won-General,1681456.38
"GANSLER, DOUGLAS F",DEMOCRATIC,MD,ATTORNEY GENERAL,Open,Won-General,1303215.59
"BUSCH, MICHAEL E (MIKE)",DEMOCRATIC,MD,HOUSE DISTRICT 030,Incumbent,Won-General,1186476.62
"MILLER JR, THOMAS V (MIKE)",DEMOCRATIC,MD,SENATE DISTRICT 027,Incumbent,Won-General,1171787.89
"COX, KRISTEN",REPUBLICAN,MD,GOVERNOR / LIEUTENANT GOVERNOR,Incumbent,Lost-General,590108.15
"MOONEY, ALEX",REPUBLICAN,MD,SENATE DISTRICT 003,Incumbent,Won-General,581843.20
"PEREZ, THOMAS EDWARD (TOM)",DEMOCRATIC,MD,ATTORNEY GENERAL,Open,Disqualified-General,571365.62
"HARRIS, ANDREW P (ANDY)",REPUBLICAN,MD,SENATE DISTRICT 007,Incumbent,Won-General,554938.73
"ROSAPEPE, JAMES C",DEMOCRATIC,MD,SENATE DISTRICT 021,Challenger,Won-General,521359.48
"CURRIE, ULYSSES",DEMOCRATIC,MD,SENATE DISTRICT 025,Incumbent,Won-General,467670.33
"GIANNETTI JR, JOHN A",REPUBLICAN,MD,SENATE DISTRICT 021,Incumbent,Lost-General,408061.79
"BROCHIN, JAMES M (JIM)",DEMOCRATIC,MD,SENATE DISTRICT 042,Incumbent,Won-General,404840.89
"MIDDLETON, THOMAS MCCLAIN (MAC)",DEMOCRATIC,MD,SENATE DISTRICT 028,Incumbent,Won-General,390714.78
"DEGRANGE SR, JAMES E",DEMOCRATIC,MD,SENATE DISTRICT 032,Incumbent,Won-General,347104.17
"SCHRADER, SANDRA B",REPUBLICAN,MD,SENATE DISTRICT 013,Incumbent,Lost-General,307561.45
"JACOBS, NANCY C",REPUBLICAN,MD,SENATE DISTRICT 034,Incumbent,Won-General,307202.87
"FROSH, BRIAN E",DEMOCRATIC,MD,SENATE DISTRICT 016,Incumbent,Won-General,291774.00
"ASTLE, JOHN C",DEMOCRATIC,MD,SENATE DISTRICT 030,Incumbent,Won-General,288613.61
"KLAUSMEIER, KATHERINE ANN",DEMOCRATIC,MD,SENATE DISTRICT 008,Incumbent,Won-General,287581.15
"GARAGIOLA, ROB",DEMOCRATIC,MD,SENATE DISTRICT 015,Incumbent,Won-General,274891.81
"ZIRKIN, ROBERT A (BOBBY)",DEMOCRATIC,MD,SENATE DISTRICT 011,Open,Won-General,267089.00
"ROBEY, JAMES N",DEMOCRATIC,MD,SENATE DISTRICT 013,Challenger,Won-General,265499.17
"SCHUH, STEVEN ROBERT",REPUBLICAN,MD,HOUSE DISTRICT 031,Challenger,Won-General,251650.00
"RASKIN, JAMIN BEN (JAMIE)",DEMOCRATIC,MD,SENATE DISTRICT 020,Open,Won-General,250892.76
"MCMILLAN, HERB",REPUBLICAN,MD,SENATE DISTRICT 030,Challenger,Lost-General,226168.61
"PIPKIN, E J",REPUBLICAN,MD,SENATE DISTRICT 036,Incumbent,Won-General,226042.45
"ROLLE, SCOTT L",REPUBLICAN,MD,ATTORNEY GENERAL,Open,Lost-General,219577.00
"STOLTZFUS, J LOWELL",REPUBLICAN,MD,SENATE DISTRICT 038,Incumbent,Won-General,216325.25
"HAMMEN, PETER A",DEMOCRATIC,MD,HOUSE DISTRICT 046,Incumbent,Won-General,208872.50
"LENETT, MICHAEL GARY",DEMOCRATIC,MD,SENATE DISTRICT 019,Open,Won-General,207553.00
"CONWAY, NORMAN H",DEMOCRATIC,MD,HOUSE DISTRICT 038B,Incumbent,Won-General,203568.51
"MCINTOSH, MAGGIE L",DEMOCRATIC,MD,HOUSE DISTRICT 043,Incumbent,Won-General,203210.00
"BARVE, KUMAR",DEMOCRATIC,MD,HOUSE DISTRICT 017,Incumbent,Won-General,200974.00
"COLBURN, RICHARD F",REPUBLICAN,MD,SENATE DISTRICT 037,Incumbent,Won-General,194033.04
"HIXSON, SHEILA ELLIS",DEMOCRATIC,MD,HOUSE DISTRICT 020,Incumbent,Won-General,190282.67
"MCFADDEN, NATHANIEL J",DEMOCRATIC,MD,SENATE DISTRICT 045,Incumbent,Won-General,189158.34
"WOOD JR, JOHN F",DEMOCRATIC,MD,HOUSE DISTRICT 029A,Incumbent,Won-General,187020.00
"RILEY, DOUGLAS B",REPUBLICAN,MD,SENATE DISTRICT 042,Challenger,Lost-General,185484.47
"MCKAY, THOMAS F (TOMMY)",REPUBLICAN,MD,SENATE DISTRICT 029,Challenger,Lost-General,183991.58
"ROSS, JUSTIN DAVID",DEMOCRATIC,MD,HOUSE DISTRICT 022,Incumbent,Won-General,182348.00
"GEORGE, RONALD A (RON)",REPUBLICAN,MD,HOUSE DISTRICT 030,Challenger,Won-General,180798.51
"BRANCH, TALMADGE",DEMOCRATIC,MD,HOUSE DISTRICT 045,Incumbent,Won-General,176060.54
"TAYLOR, HERMAN",DEMOCRATIC,MD,HOUSE DISTRICT 014,Incumbent,Won-General,173849.57
"ODONNELL, ANTHONY J",REPUBLICAN,MD,HOUSE DISTRICT 029C,Incumbent,Won-General,173738.46
"BRINKLEY, DAVID ROSS",REPUBLICAN,MD,SENATE DISTRICT 004,Incumbent,Won-General,173622.04
"PALIATH, DILIP",REPUBLICAN,MD,HOUSE DISTRICT 042,Challenger,Lost-General,172470.14
"DAVIS, DERECK EUGENE",DEMOCRATIC,MD,HOUSE DISTRICT 025,Incumbent,Won-General,171263.46
"MUSE, CHARLES ANTHONY",DEMOCRATIC,MD,SENATE DISTRICT 026,Open,Won-General,170846.00
"MORHAIM, DAN K",DEMOCRATIC,MD,HOUSE DISTRICT 011,Incumbent,Won-General,168072.00
"FRANK, WILLIAM J",REPUBLICAN,MD,HOUSE DISTRICT 042,Incumbent,Won-General,167439.44
"ROSENBERG, SAMUEL I (SANDY)",DEMOCRATIC,MD,HOUSE DISTRICT 041,Incumbent,Won-General,166876.50
"MALONE JR, JAMES E",DEMOCRATIC,MD,HOUSE DISTRICT 012A,Incumbent,Won-General,164417.43
"JAMES, MARY DULANY",DEMOCRATIC,MD,HOUSE DISTRICT 034A,Incumbent,Won-General,163651.00
"JAMES, MICHAEL JOHN",REPUBLICAN,MD,HOUSE DISTRICT 038B,Challenger,Lost-General,161572.75
"WALDSTREICHER, JEFFREY (JEFF)",DEMOCRATIC,MD,HOUSE DISTRICT 018,Challenger,Won-General,158941.01
"ELFENBEIN, RON",REPUBLICAN,MD,HOUSE DISTRICT 030,Challenger,Lost-General,157990.66
"MYERS JR, LEROY ELLSWORTH",REPUBLICAN,MD,HOUSE DISTRICT 001C,Incumbent,Won-General,155799.65
"SIMONAIRE, BRYAN WARNER",REPUBLICAN,MD,SENATE DISTRICT 031,Open,Won-General,149749.55
"KULLEN, SUE",DEMOCRATIC,MD,HOUSE DISTRICT 027B,Incumbent,Won-General,147745.88
"PETERS, DOUGLAS J J",DEMOCRATIC,MD,SENATE DISTRICT 023,Open,Won-General,145065.20
"CLAGETT, GALEN RONALD",DEMOCRATIC,MD,HOUSE DISTRICT 003A,Incumbent,Won-General,143369.03
"EDWARDS, GEORGE C",REPUBLICAN,MD,SENATE DISTRICT 001,Open,Won-General,143215.08
"BURNS III, EMMETT C",DEMOCRATIC,MD,HOUSE DISTRICT 010,Incumbent,Won-General,142292.71
"MURPHY, PETER F",DEMOCRATIC,MD,HOUSE DISTRICT 028,Challenger,Won-General,140581.28
"MIZEUR, HEATHER R",DEMOCRATIC,MD,HOUSE DISTRICT 020,Challenger,Won-General,140276.97
"KELLEY, DELORES GOODWIN",DEMOCRATIC,MD,SENATE DISTRICT 010,Incumbent,Won-General,137070.00
"JONES-RODWELL, VERNA",DEMOCRATIC,MD,SENATE DISTRICT 044,Incumbent,Won-General,136980.00
"MATHIAS, JAMES (JIM)",DEMOCRATIC,MD,HOUSE DISTRICT 038B,Incumbent,Won-General,136821.39
"SPENCE, HILARY",DEMOCRATIC,MD,SENATE DISTRICT 037,Challenger,Lost-General,136700.00
"BORNE, CRAIG D",REPUBLICAN,MD,SENATE DISTRICT 008,Challenger,Lost-General,136330.55
"GREENIP, JANET H",REPUBLICAN,MD,SENATE DISTRICT 033,Incumbent,Won-General,133312.89
"SMARICK, ANDY",REPUBLICAN,MD,HOUSE DISTRICT 030,Challenger,Lost-General,131640.26
"JONES, ADRIENNE A",DEMOCRATIC,MD,HOUSE DISTRICT 010,Incumbent,Won-General,131170.90
"CARDIN, JON S",DEMOCRATIC,MD,HOUSE DISTRICT 011,Incumbent,Won-General,130228.66
"LEE, SUSAN CLAIR",DEMOCRATIC,MD,HOUSE DISTRICT 016,Incumbent,Won-General,129202.98
"NATHAN-PULLIAM, SHIRLEY",DEMOCRATIC,MD,HOUSE DISTRICT 010,Incumbent,Won-General,129026.51
"KITTLEMAN, ALLAN H",REPUBLICAN,MD,SENATE DISTRICT 009,Incumbent,Won-General,127133.55
"FELDMAN, BRIAN J",DEMOCRATIC,MD,HOUSE DISTRICT 015,Incumbent,Won-General,125219.68
"SOPHOCLEUS, THEODORE JOHN",DEMOCRATIC,MD,HOUSE DISTRICT 032,Incumbent,Won-General,124734.00
"DOORY, ANN MARIE",DEMOCRATIC,MD,HOUSE DISTRICT 043,Incumbent,Won-General,122461.10
"ALI, SAQIB",DEMOCRATIC,MD,HOUSE DISTRICT 039,Challenger,Won-General,121877.17
"HECHT, C SUE",DEMOCRATIC,MD,HOUSE DISTRICT 003A,Challenger,Won-General,118998.00
"SHANDROWSKY, WALTER J",DEMOCRATIC,MD,SENATE DISTRICT 031,Open,Lost-General,118083.26
"VALLARIO JR, JOSEPH F",DEMOCRATIC,MD,HOUSE DISTRICT 027A,Incumbent,Won-General,117926.25
"KRAMER, BENJAMIN FRED (BEN)",DEMOCRATIC,MD,HOUSE DISTRICT 019,Challenger,Won-General,116890.00
"BOHANAN JR, JOHN L",DEMOCRATIC,MD,HOUSE DISTRICT 029B,Incumbent,Won-General,116399.00
"LEVY, MURRAY",DEMOCRATIC,MD,HOUSE DISTRICT 028,Incumbent,Won-General,115179.53
"CONWAY, JOAN CARTER",DEMOCRATIC,MD,SENATE DISTRICT 043,Incumbent,Won-General,113131.64
"FOERSTER, PATRICIA A",DEMOCRATIC,MD,SENATE DISTRICT 007,Challenger,Lost-General,111870.88
"OAKS, NATHANIEL T",DEMOCRATIC,MD,HOUSE DISTRICT 041,Incumbent,Won-General,110989.50
"BALA, JAY",REPUBLICAN,MD,SENATE DISTRICT 028,Challenger,Lost-General,110750.00
"VAUGHN, MICHAEL L",DEMOCRATIC,MD,HOUSE DISTRICT 024,Incumbent,Won-General,110394.96
"KASEMEYER, EDWARD J",DEMOCRATIC,MD,SENATE DISTRICT 012,Incumbent,Won-General,110128.78
