Candidate,Party,State,Office,Incumbency,Result,Total Money
"FREUDENTHAL, DAVE",DEMOCRATIC,WY,GOVERNOR,Incumbent,Won-General,1077654.16
"HUNKINS, RAY",REPUBLICAN,WY,GOVERNOR,Challenger,Lost-General,584670.48
"MEYER, RITA",REPUBLICAN,WY,AUDITOR,Open,Won-General,157824.00
"MAXFIELD, MAX",REPUBLICAN,WY,SECRETARY OF STATE,Open,Won-General,96667.52
"MEYER, JOE",REPUBLICAN,WY,TREASURER,Open,Won-General,60900.00
"HOFFMAN, MICHELLE L",DEMOCRATIC,WY,SUPERINTENDENT OF PUBLIC INSTRUCTION,Challenger,Lost-General,52446.00
"LARSON, GRANT C",REPUBLICAN,WY,SENATE DISTRICT 017,Incumbent,Won-General,49484.87
"MCBRIDE, JIM",REPUBLICAN,WY,SUPERINTENDENT OF PUBLIC INSTRUCTION,Incumbent,Won-General,42787.31
"CLAPP, LARRY R",DEMOCRATIC,WY,SENATE DISTRICT 029,Open,Lost-General,41977.48
"HERZ, CHUCK",DEMOCRATIC,WY,SENATE DISTRICT 017,Challenger,Lost-General,38900.66
"FECHT, ROBERT (BOB)",REPUBLICAN,WY,SENATE DISTRICT 005,Open,Won-General,32346.70
"MEIER, CURTIS (CURT)",REPUBLICAN,WY,SENATE DISTRICT 003,Incumbent,Won-General,26712.16
"JORGENSEN, PETER",DEMOCRATIC,WY,HOUSE DISTRICT 016,Incumbent,Won-General,23959.49
"WALSH, TOM",REPUBLICAN,WY,HOUSE DISTRICT 056,Incumbent,Won-General,23850.00
"THRONE, MARY ANN",DEMOCRATIC,WY,HOUSE DISTRICT 011,Open,Won-General,21759.34
"MEAD, KATE",REPUBLICAN,WY,HOUSE DISTRICT 016,Challenger,Lost-General,21533.62
"STEWARD, WILLIAM (JEB)",REPUBLICAN,WY,HOUSE DISTRICT 047,Open,Won-General,18227.78
"MILLIN, LORI A",DEMOCRATIC,WY,HOUSE DISTRICT 008,Challenger,Won-General,16740.90
"SAMUELSON, DOUG",REPUBLICAN,WY,HOUSE DISTRICT 007,Incumbent,Won-General,16630.86
"MEULI, R LARRY",REPUBLICAN,WY,HOUSE DISTRICT 008,Incumbent,Lost-General,14897.49
"HALLINAN, TIMOTHY P",REPUBLICAN,WY,HOUSE DISTRICT 032,Open,Won-General,14175.00
"SHEPPERSON, LISA",REPUBLICAN,WY,HOUSE DISTRICT 058,Open,Won-General,14010.00
"BUSH, DAVID",REPUBLICAN,WY,HOUSE DISTRICT 041,Open,Lost-General,13385.00
"PERKINS, DREW A",REPUBLICAN,WY,SENATE DISTRICT 029,Open,Won-General,12485.00
"DOVER, SLEETER C",DEMOCRATIC,WY,HOUSE DISTRICT 009,Challenger,Lost-General,11759.00
"EIKENBERRY, BILL",DEMOCRATIC,WY,AUDITOR,Open,Lost-General,11072.30
"HASTERT, JOHN M",DEMOCRATIC,WY,SENATE DISTRICT 013,Open,Won-General,10930.00
"ESQUIBEL, KEN A",DEMOCRATIC,WY,HOUSE DISTRICT 041,Open,Won-General,9745.00
"WALLIS, SUE",REPUBLICAN,WY,HOUSE DISTRICT 052,Open,Won-General,9538.52
"LOCKHART, TOM",REPUBLICAN,WY,HOUSE DISTRICT 057,Incumbent,Won-General,9325.00
"MEYER, SAUNDRA",DEMOCRATIC,WY,HOUSE DISTRICT 049,Open,Won-General,9028.30
"WHITE, KEVIN A",REPUBLICAN,WY,HOUSE DISTRICT 045,Incumbent,Won-General,8670.00
"SHOULTS, CHRISTOPHER",DEMOCRATIC,WY,SENATE DISTRICT 003,Challenger,Lost-General,8375.50
"VASEY, WILLIAM (BILL)",DEMOCRATIC,WY,SENATE DISTRICT 011,Incumbent,Won-General,8077.04
"EDMONDS, AMY L",REPUBLICAN,WY,HOUSE DISTRICT 012,Open,Won-General,7930.00
"JAGGI, ALLEN M",REPUBLICAN,WY,HOUSE DISTRICT 018,Open,Won-General,7883.22
"ILLOWAY, PETER S",REPUBLICAN,WY,HOUSE DISTRICT 042,Incumbent,Won-General,7678.54
"GENTILE, LIZ",DEMOCRATIC,WY,HOUSE DISTRICT 036,Challenger,Won-General,7590.00
"FLEMING, LINDA L",DEMOCRATIC,WY,HOUSE DISTRICT 047,Open,Lost-General,7587.60
"REA, TOM",DEMOCRATIC,WY,HOUSE DISTRICT 056,Challenger,Lost-General,7536.90
"ANDERSON, RODNEY (PETE)",REPUBLICAN,WY,HOUSE DISTRICT 010,Incumbent,Won-General,7475.00
"HARRIS, MARK W",REPUBLICAN,WY,HOUSE DISTRICT 049,Open,Lost-General,7470.78
"HARSHMAN, STEVE",REPUBLICAN,WY,HOUSE DISTRICT 037,Incumbent,Won-General,7460.00
"ALVANEY, JAN",DEMOCRATIC,WY,HOUSE DISTRICT 046,Challenger,Lost-General,7253.72
"GAY, GERALD S",REPUBLICAN,WY,HOUSE DISTRICT 036,Incumbent,Lost-General,7175.00
"ALDEN, DEBORAH",REPUBLICAN,WY,HOUSE DISTRICT 003,Incumbent,Won-General,6953.79
"DOCKSTADER, DAN",REPUBLICAN,WY,HOUSE DISTRICT 021,Open,Won-General,6668.06
"SLATER, JAMES J",REPUBLICAN,WY,HOUSE DISTRICT 046,Incumbent,Won-General,6600.00
"TEETERS, MATT",REPUBLICAN,WY,HOUSE DISTRICT 005,Open,Won-General,6451.12
"LANE, RANDALL M",DEMOCRATIC,WY,SENATE DISTRICT 005,Open,Lost-General,6232.00
"GOGGLES, W PATRICK",DEMOCRATIC,WY,HOUSE DISTRICT 033,Incumbent,Won-General,6070.83
"OLSEN, MONTE",REPUBLICAN,WY,HOUSE DISTRICT 022,Incumbent,Won-General,5550.00
"MALEK, JOE",REPUBLICAN,WY,HOUSE DISTRICT 033,Challenger,Lost-General,5538.41
"BARRASSO, JOHN",REPUBLICAN,WY,SENATE DISTRICT 027,Incumbent,Won-General,5500.00
"HILDT, ROMAN",REPUBLICAN,WY,HOUSE DISTRICT 011,Open,Lost-General,5330.00
"PETERSON, R RAY",REPUBLICAN,WY,SENATE DISTRICT 019,Incumbent,Won-General,5300.00
"MERCER, ERIN E",REPUBLICAN,WY,HOUSE DISTRICT 053,Incumbent,Won-General,5257.50
"LI, CYNTHIA",DEMOCRATIC,WY,HOUSE DISTRICT 058,Open,Lost-General,5142.27
"TAYLOR, BOB",REPUBLICAN,WY,HOUSE DISTRICT 015,Challenger,Lost-General,5060.00
"BAGBY, GEORGE W",DEMOCRATIC,WY,HOUSE DISTRICT 015,Incumbent,Won-General,4913.49
"ESQUIBEL, FLOYD A",DEMOCRATIC,WY,HOUSE DISTRICT 044,Incumbent,Won-General,4550.00
"GARCIA, LEO",DEMOCRATIC,WY,HOUSE DISTRICT 012,Open,Lost-General,4283.82
"ZWONITZER, DAN",REPUBLICAN,WY,HOUSE DISTRICT 043,Incumbent,Won-General,4119.02
"CARSON, SETH",DEMOCRATIC,WY,HOUSE DISTRICT 045,Challenger,Lost-General,3901.00
"KOENEKAMP, SCOTT",DEMOCRATIC,WY,HOUSE DISTRICT 037,Challenger,Lost-General,3755.00
"BLAKE, STAN",DEMOCRATIC,WY,HOUSE DISTRICT 039,Open,Won-General,3620.00
"MADDEN, MICHAEL K (MIKE)",REPUBLICAN,WY,HOUSE DISTRICT 040,Open,Won-General,3550.00
"HANS, PAT",DEMOCRATIC,WY,HOUSE DISTRICT 038,Challenger,Lost-General,3487.00
"COHEE, ROY G",REPUBLICAN,WY,HOUSE DISTRICT 035,Incumbent,Won-General,3325.00
"EDWARDS, DAVID R",REPUBLICAN,WY,HOUSE DISTRICT 006,Incumbent,Won-General,3175.00
"BRECHTEL, ROBERT",REPUBLICAN,WY,HOUSE DISTRICT 038,Incumbent,Won-General,3150.00
