,office,candidate,party,state,incumbency,result,total money,district
0,State Senator,Tina Belge,DEM,SC,Open,Pending-Primary,0.0,6.0
1,State Senator,Amy Doyle,REP,SC,Open,Pending-Primary,0.0,6.0
2,State Senator,Dwight Loftis,REP,SC,Open,Pending-Primary,0.0,6.0
3,State Senator,Jeffrey Stringer,REP,SC,Open,Pending-Primary,0.0,6.0
