Candidate,Party,State,Office,Incumbency,Result,Total Money
"CUNNINGHAM, DANIEL H & POWELL, ARTHUR (A J)",FREE ENERGY,HI,GOVERNOR / LIEUTENANT GOVERNOR,Open,Lost-General,0.00
"RYAN, TRACY AHN",LIBERTARIAN,HI,GOVERNOR,Open,Won-Primary,0.00
"HILL, KAUI (BU LAIA)",NATURAL LAW,HI,GOVERNOR,Open,Won-Primary,0.00
"STONE, TOM (POHAKU)",NATURAL LAW,HI,LIEUTENANT GOVERNOR,Open,Won-Primary,0.00
"HILL, KAUI (BU LAIA) & STONE, TOM (POHAKU)",NATURAL LAW,HI,GOVERNOR / LIEUTENANT GOVERNOR,Open,Lost-General,0.00
"LINGLE, LINDA",REPUBLICAN,HI,GOVERNOR,Open,Won-Primary,0.00
"VAUGHAN, KEN",LIBERTARIAN,HI,LIEUTENANT GOVERNOR,Open,Won-Primary,0.00
"BREWER JR, JIM",UNAFFILIATED,HI,GOVERNOR,Open,Won-Primary,0.00
"BREWER JR, JIM & ING, RENEE",UNAFFILIATED,HI,GOVERNOR / LIEUTENANT GOVERNOR,Open,Lost-General,0.00
"ING, RENEE",UNAFFILIATED,HI,LIEUTENANT GOVERNOR,Open,Won-Primary,0.00
"AIONA JR, JAMES R (DUKE)",REPUBLICAN,HI,LIEUTENANT GOVERNOR,Open,Won-Primary,0.00
