Candidate,Party,State,Office,Incumbency,Result,Total Money
"BLAGOJEVICH, ROD R & QUINN III, PATRICK JOSEPH (PAT)",DEMOCRATIC,IL,GOVERNOR / LIEUTENANT GOVERNOR,Open,Won-General,25368279.43
"RYAN, JAMES E & HAWKINSON, CARL",REPUBLICAN,IL,GOVERNOR / LIEUTENANT GOVERNOR,Open,Lost-General,14707758.30
"MADIGAN, LISA",DEMOCRATIC,IL,ATTORNEY GENERAL,Open,Won-General,10748886.58
"JONES JR, EMIL",DEMOCRATIC,IL,SENATE DISTRICT 014,Incumbent,Won-General,4405564.84
"BIRKETT, JOSEPH E",REPUBLICAN,IL,ATTORNEY GENERAL,Open,Lost-General,4109040.41
"HYNES, DANIEL W",DEMOCRATIC,IL,COMPTROLLER,Incumbent,Won-General,3537420.39
"DANIELS, LEE A",REPUBLICAN,IL,HOUSE DISTRICT 046,Incumbent,Won-General,3067788.66
"PHILIP, JAMES (PATE)",REPUBLICAN,IL,SENATE DISTRICT 023,Incumbent,Won-General,3021774.30
"TOPINKA, JUDY BAAR",REPUBLICAN,IL,TREASURER,Incumbent,Won-General,2761996.45
"WHITE, JESSE",DEMOCRATIC,IL,SECRETARY OF STATE,Incumbent,Won-General,2258803.94
"MADIGAN, MICHAEL J",DEMOCRATIC,IL,HOUSE DISTRICT 022,Incumbent,Won-General,2020807.02
"DART, THOMAS J",DEMOCRATIC,IL,TREASURER,Challenger,Lost-General,1699575.67
"LANG, LOUIS I (LOU)",DEMOCRATIC,IL,HOUSE DISTRICT 016,Incumbent,Won-General,1310284.41
"WATSON, FRANK",REPUBLICAN,IL,SENATE DISTRICT 051,Open,Won-General,1301624.42
"PARKER, KATHLEEN K",REPUBLICAN,IL,SENATE DISTRICT 029,Incumbent,Lost-General,1271848.33
"GARRETT, SUSAN",DEMOCRATIC,IL,SENATE DISTRICT 029,Challenger,Won-General,1255657.90
"ODANIEL, WILLIAM L",DEMOCRATIC,IL,SENATE DISTRICT 054,Incumbent,Lost-General,1114825.46
"GARMAN, RITA B",REPUBLICAN,IL,SUPREME COURT DISTRICT 004,Open,Won-General,987186.53
"RAUSCHENBERGER, STEVEN",REPUBLICAN,IL,SENATE DISTRICT 022,Open,Won-General,984999.66
"MANGIERI, PAUL L",DEMOCRATIC,IL,SENATE DISTRICT 037,Open,Lost-General,895061.54
"COHN, KRIS",REPUBLICAN,IL,SECRETARY OF STATE,Challenger,Lost-General,851544.93
"RISINGER, DALE",REPUBLICAN,IL,SENATE DISTRICT 037,Open,Won-General,843032.25
"MYERSCOUGH, SUE E",DEMOCRATIC,IL,SUPREME COURT DISTRICT 004,Open,Lost-General,801988.23
"WINKEL JR, RICHARD J (RICK)",REPUBLICAN,IL,SENATE DISTRICT 052,Open,Won-General,793194.77
"DILLARD, KIRK W",REPUBLICAN,IL,SENATE DISTRICT 024,Open,Won-General,777318.90
"RUTHERFORD, DAN L",REPUBLICAN,IL,SENATE DISTRICT 053,Open,Won-General,763930.79
"JONES, JOHN O",REPUBLICAN,IL,SENATE DISTRICT 054,Challenger,Won-General,735792.64
"MCCOLLUM, DAN",DEMOCRATIC,IL,SENATE DISTRICT 052,Open,Lost-General,717294.07
"SAVIANO, ANGELO (SKIP)",REPUBLICAN,IL,HOUSE DISTRICT 077,Incumbent,Won-General,671671.25
"SHAW, WILLIAM (BILL)",DEMOCRATIC,IL,SENATE DISTRICT 015,Incumbent,Lost-General,653456.63
"SYVERSON, DAVE",REPUBLICAN,IL,SENATE DISTRICT 034,Incumbent,Won-General,621808.77
"DELEO, JAMES A",DEMOCRATIC,IL,SENATE DISTRICT 010,Incumbent,Won-General,606978.21
"DONAHUE, LAURA KENT",REPUBLICAN,IL,SENATE DISTRICT 047,Open,Lost-General,590494.24
"BOMKE, LARRY K",REPUBLICAN,IL,SENATE DISTRICT 050,Incumbent,Won-General,555728.88
"LUECHTEFELD, DAVID",REPUBLICAN,IL,SENATE DISTRICT 058,Incumbent,Won-General,551822.86
"CROSS, TOM",REPUBLICAN,IL,HOUSE DISTRICT 084,Incumbent,Won-General,543289.02
"BERNS, TOM",REPUBLICAN,IL,HOUSE DISTRICT 103,Open,Lost-General,526782.69
"WELCH, DANIEL PATRICK",DEMOCRATIC,IL,SENATE DISTRICT 038,Incumbent,Won-General,510752.30
"FRANKS, JACK D",DEMOCRATIC,IL,HOUSE DISTRICT 063,Incumbent,Won-General,491649.13
"MEEKS, JAMES T",HONESTY & INTEGRITY,IL,SENATE DISTRICT 015,Challenger,Won-General,490403.79
"NEKRITZ, ELAINE",DEMOCRATIC,IL,HOUSE DISTRICT 057,Open,Won-General,461775.38
"CRONIN, DAN",REPUBLICAN,IL,SENATE DISTRICT 021,Open,Won-General,452334.24
"MUNOZ, ANTONIO (TONY)",DEMOCRATIC,IL,SENATE DISTRICT 001,Incumbent,Won-General,449963.66
"DEMUZIO, VINCE",DEMOCRATIC,IL,SENATE DISTRICT 049,Incumbent,Won-General,448623.84
"JAKOBSSON, NAOMI D",DEMOCRATIC,IL,HOUSE DISTRICT 103,Open,Won-General,424834.29
"VIVERITO, LOUIS S (LOU)",DEMOCRATIC,IL,SENATE DISTRICT 011,Incumbent,Won-General,424802.23
