,State,Position,District,Candidate,Party,Year Elected,Next Election,Number of Terms in Position,Unopposed in Last Election,DEM Unopposed in Primary,REP Unopposed in Primary
0,Tennessee,Governor,0.0,Bill Haslam,REP,2014,2018,2,No,No,No
1,Tennessee,Governor,0.0,Randy Boyd,REP,2018,2022,0,No,No,No
2,Tennessee,Governor,0.0,Randy Boyd,REP,2018,2022,0,No,No,No
3,Tennessee,Governor,0.0,Bill Haslam,REP,2014,2018,2,No,No,No
4,Tennessee,Governor,0.0,Randy Boyd,REP,2018,2022,0,No,No,No
5,Tennessee,Governor,0.0,Randy Boyd,REP,2018,2022,0,No,No,No
6,Tennessee,Governor,0.0,Bill Haslam,REP,2014,2018,2,No,No,No
7,Tennessee,State Representative,1.0,John Crawford,REP,2016,2018,1,Yes,Yes,Yes
8,Tennessee,State Representative,10.0,Tilman Goins,REP,2016,2018,3,Yes,Yes,No
9,Tennessee,State Representative,11.0,Jeremy Faison,REP,2016,2018,4,No,Yes,No
10,Tennessee,State Representative,12.0,Bruce Dale Carr,REP,2016,2018,3,Yes,Yes,Yes
11,Tennessee,State Representative,13.0,Eddie Smith,REP,2016,2018,2,No,Yes,Yes
12,Tennessee,State Representative,14.0,Jason Zachary,REP,2016,2018,2,No,No,Yes
13,Tennessee,State Representative,15.0,Rick Staples,DEM,2016,2018,1,No,Yes,Yes
14,Tennessee,State Representative,16.0,Bill Dunn,REP,2016,2018,9,Yes,Yes,Yes
15,Tennessee,State Representative,17.0,Andrew Farmer,REP,2016,2018,3,Yes,Yes,Yes
16,Tennessee,State Representative,18.0,Martin Daniel,REP,2016,2018,2,No,No,Yes
17,Tennessee,State Representative,19.0,Harry Brooks,REP,2016,2018,8,Yes,Yes,No
18,Tennessee,State Representative,2.0,Bud Hulsey,REP,2016,2018,2,No,Yes,Yes
19,Tennessee,State Representative,20.0,Bob Ramsey,REP,2016,2018,5,No,Yes,Yes
20,Tennessee,State Representative,21.0,Jimmy Lloyd Matlock,REP,2016,2018,6,No,Yes,No
21,Tennessee,State Representative,22.0,Dan Howell,REP,2016,2018,2,No,Yes,Yes
22,Tennessee,State Representative,23.0,John Forgety,REP,2016,2018,4,No,Yes,No
23,Tennessee,State Representative,24.0,Kevin Brooks,REP,2016,2018,6,Yes,Yes,No
24,Tennessee,State Representative,25.0,Cameron Sexton,REP,2016,2018,4,No,Yes,Yes
25,Tennessee,State Representative,26.0,Gerald McCormick,REP,2016,2018,7,Yes,No,Yes
26,Tennessee,State Representative,27.0,Patsy Hazlewood,REP,2016,2018,2,No,Yes,Yes
27,Tennessee,State Representative,28.0,Joanne Favors,DEM,2016,2018,3,Yes,No,Yes
28,Tennessee,State Representative,29.0,Mike Carter,REP,2016,2018,3,Yes,Yes,Yes
29,Tennessee,State Representative,3.0,Timothy Hill,REP,2016,2018,3,No,Yes,Yes
30,Tennessee,State Representative,30.0,Marc Gravitt,REP,2016,2018,2,No,Yes,No
31,Tennessee,State Representative,31.0,Ron Travis,REP,2016,2018,3,Yes,Yes,Yes
32,Tennessee,State Representative,32.0,Kent Calfee,REP,2016,2018,3,No,Yes,Yes
33,Tennessee,State Representative,33.0,John Ragan,REP,2016,2018,4,No,No,Yes
34,Tennessee,State Representative,34.0,Tim Rudd,REP,2016,2018,1,No,Yes,Yes
35,Tennessee,State Representative,35.0,Jerry Sexton,REP,2016,2018,2,Yes,Yes,No
36,Tennessee,State Representative,36.0,Dennis Powers,REP,2016,2018,4,No,Yes,Yes
37,Tennessee,State Representative,37.0,Dawn White,REP,2016,2018,3,No,Yes,Yes
