State,Year,Position,District,Candidate,Party,Actual Vote Share,Unrounded Actual Vote Share
GA,2018,Attorney General,Statewide,Charlie Bailey,DEM,48.7,48.69567131062016
GA,2018,Attorney General,Statewide,Chris Carr,REP,51.3,51.304328689379844
GA,2018,Commissioner Of Agriculture,Statewide,Fred Swann,DEM,46.92,46.92057718525919
GA,2018,Commissioner Of Agriculture,Statewide,Gary Black,REP,53.08,53.07942281474081
GA,2018,Commissioner Of Insurance,Statewide,Janice Laws,DEM,46.99,46.98796491114492
GA,2018,Commissioner Of Insurance,Statewide,Donnie Foster,LIB,2.65,2.645596089729065
GA,2018,Commissioner Of Insurance,Statewide,Jim Beck,REP,50.37,50.36643899912602
GA,2018,Commissioner Of Labor,Statewide,Richard Keatley,DEM,47.54,47.540843497122964
GA,2018,Commissioner Of Labor,Statewide,Mark Butler,REP,52.46,52.459156502877036
GA,2018,Governor,Statewide,Stacey Abrams,DEM,48.83,48.83282123245386
GA,2018,Governor,Statewide,Ted Metz,LIB,0.95,0.9452119752404471
GA,2018,Governor,Statewide,Brian Kemp,REP,50.22,50.22196679230569
GA,2018,Lieutenant Governor,Statewide,Sarah Riggs Amico,DEM,48.37,48.370871760577984
GA,2018,Lieutenant Governor,Statewide,Geoff Duncan,REP,51.63,51.629128239422016
GA,2018,Secretary Of State,Statewide,John Barrow,DEM,48.67,48.67424349713178
GA,2018,Secretary Of State,Statewide,Smythe Duval,LIB,2.23,2.2323651751444666
GA,2018,Secretary Of State,Statewide,Brad Raffensperger,REP,49.09,49.09339132772375
GA,2018,State Representative,1,Colton Moore,REP,100.0,100.0
GA,2018,State Representative,2,Steve Tarvin,REP,100.0,100.0
GA,2018,State Representative,3,Dewayne Hill,REP,100.0,100.0
GA,2018,State Representative,4,Kasey Carpenter,REP,100.0,100.0
GA,2018,State Representative,5,Brian Rosser,DEM,18.44,18.436177603739026
GA,2018,State Representative,5,John Meadows,REP,81.56,81.56382239626097
GA,2018,State Representative,6,Jason T. Ridley,REP,100.0,100.0
GA,2018,State Representative,7,Rick D. Day,DEM,15.66,15.656666800176232
GA,2018,State Representative,7,David Ralston,REP,84.34,84.34333319982376
GA,2018,State Representative,8,Matt Gurtler,REP,100.0,100.0
GA,2018,State Representative,9,Kevin Tanner,REP,100.0,100.0
GA,2018,State Representative,10,Terry Rogers,REP,100.0,100.0
GA,2018,State Representative,11,Lee A. Shiver,DEM,14.05,14.051341439876472
GA,2018,State Representative,11,Rick Jasperse,REP,85.95,85.94865856012352
