Candidate,Party,State,Office,Incumbency,Result,Total Money
"CLARK, MARCUS R",REPUBLICAN,LA,SUPREME COURT DISTRICT 004,Open,Default Winner-General,710913.29
"MCPHERSON, JOE",DEMOCRATIC,LA,PUBLIC SERVICE COMMISSIONER DISTRICT 004,Open,Withdrew-General,548602.40
"HOLLOWAY, CLYDE C",REPUBLICAN,LA,PUBLIC SERVICE COMMISSIONER DISTRICT 004,Open,Won-General,236041.78
"GRAVOIS, JUDE G",DEMOCRATIC,LA,APPELLATE COURT DISTRICT 5TH CIRCUIT 002-DIVISION A,Incumbent,Won-General,218872.54
"BECNEL, MARY HOTARD",DEMOCRATIC,LA,APPELLATE COURT DISTRICT 5TH CIRCUIT 002-DIVISION A,Challenger,Lost-Top Two Primary,153169.43
"PINAC, GIL",REPUBLICAN,LA,PUBLIC SERVICE COMMISSIONER DISTRICT 004,Open,Lost-Top Two Primary,100042.78
"DARENSBURG, JUNE BERRY",DEMOCRATIC,LA,APPELLATE COURT DISTRICT 5TH CIRCUIT 001-SECTION 2C,Open,Lost-Top Two Primary,89380.24
"JOHNSON, MARC E",DEMOCRATIC,LA,APPELLATE COURT DISTRICT 5TH CIRCUIT 001-SECTION 2C,Open,Won-General,82791.21
