Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Hawaii Governor,2014,Aiona,R,32.5,Hannemann,I,10.5,Ige,D,45.3
Hawaii Governor,2014,Aiona,R,22,Hannemann,I,5,Ige,D,54
Hawaii Governor,2014,Aiona,R,34,Hannemann,I,11,Ige,D,40
Hawaii Governor,2014,Aiona,R,35,Hannemann,I,12,Ige,D,47
Hawaii Governor,2014,Aiona,R,39,Hannemann,I,14,Ige,D,40
Hawaii Governor,2010,Abercrombie,D,50.0,Aiona,R,45.0,,,
Hawaii Governor,2010,Abercrombie,D,50,Aiona,R,45,,,
Hawaii Governor,2010,Abercrombie,D,51,Aiona,R,43,,,
Hawaii Governor,2010,Abercrombie,D,49,Aiona,R,47,,,
Hawaii Senate,2010,Cavasso,R,40,Inouye,D,53,,,
Hawaii Senate,2010,Cavasso,R,29,Inouye,D,65,,,
Hawaii 1st District,2010,Djou,R,45,Hanabusa,D,50,,,
Hawaii 1st District,2010,Djou,R,48,Hanabusa,D,45,,,
Hawaii 1st District,2010,Djou,R,45,Hanabusa,D,41,,,
Hawaii 1st District,2010,Djou,R,47,Hanabusa,D,48,,,
