Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Indiana Senate,2016,Young,R,42.7,Bayh,D,42.0,,,
Indiana Senate,2016,Young,R,46,Bayh,D,41,,,
Indiana Senate,2016,Young,R,37,Bayh,D,40,,,
Indiana Senate,2016,Young,R,45,Bayh,D,45,,,
Indiana Governor,2016,Gregg,D,44.0,Holcomb,R,40.7,,,
Indiana Governor,2016,Gregg,D,42,Holcomb,R,42,,,
Indiana Governor,2016,Gregg,D,42,Holcomb,R,38,,,
Indiana Governor,2016,Gregg,D,48,Holcomb,R,42,,,
Indiana Governor,2012,Gregg,D,40,Pence,R,47,,,
Indiana Governor,2012,Gregg,D,34,Pence,R,47,,,
Indiana Governor,2012,Gregg,D,31,Pence,R,44,,,
Indiana Senate,2010,Coats,R,53.0,Ellsworth,D,33.7,,,
Indiana Senate,2010,Coats,R,54,Ellsworth,D,32,,,
Indiana Senate,2010,Coats,R,52,Ellsworth,D,34,,,
Indiana Senate,2010,Coats,R,53,Ellsworth,D,35,,,
Indiana 2nd District,2010,Donnelly,D,48,Walorski,R,43,,,
Indiana 2nd District,2010,Donnelly,D,48,Walorski,R,39,,,
Indiana 2nd District,2010,Donnelly,D,46,Walorski,R,44,,,
Indiana Governor,2008,Daniels,R,55.8,Thompson,D,36.3,,,
Indiana Governor,2008,Daniels,R,55,Thompson,D,38,,,
Indiana Governor,2008,Daniels,R,54,Thompson,D,36,,,
Indiana Governor,2008,Daniels,R,53,Thompson,D,41,,,
Indiana Governor,2008,Daniels,R,61,Thompson,D,30,,,
Indiana 3rd District,2008,Montagano,D,40,Souder,R,45,,,
Indiana - 2,2006,Chocola,R,39,Donnelly,D,52,Und.,N/A,6
Indiana - 2,2006,Chocola,R,45,Donnelly,D,48,Und.,N/A,7
Indiana - 2,2006,Chocola,R,45,Donnelly,D,50,Und.,N/A,5
Indiana - 2,2006,Chocola,R,46,Donnelly,D,50,Und.,N/A,4
Indiana - 2,2006,Chocola,R,44,Donnelly,D,45,Und.,N/A,11
Indiana - 2,2006,Chocola,R,36,Donnelly,D,52,Und.,N/A,11
Indiana - 2,2006,Chocola,R,39,Donnelly,D,49,Und.,N/A,11
Indiana - 2,2006,Chocola,R,46,Donnelly,D,41,Und.,N/A,13
Indiana - 2,2006,Chocola,R,42,Donnelly,D,50,Und.,N/A,13
Indiana - 2,2006,Chocola,R,40,Donnelly,D,52,Und.,N/A,7
Indiana - 2,2006,Chocola,R,41,Donnelly,D,46,Und.,N/A,13
Indiana - 2,2006,Chocola,R,38,Donnelly,D,48,Und.,N/A,--
Indiana - 7,2006,Dickerson,R,45,Carson,D,42,Und.,N/A,9
Indiana - 7,2006,Dickerson,R,35,Carson,D,55,Und.,N/A,10
Indiana - 8,2006,Hostettler,R,43,Ellsworth,D,50,Und.,N/A,7
Indiana - 8,2006,Hostettler,R,32,Ellsworth,D,55,Und.,N/A,11
Indiana - 8,2006,Hostettler,R,32,Ellsworth,D,47,Und.,N/A,17
Indiana - 8,2006,Hostettler,R,34,Ellsworth,D,51,Und.,N/A,--
Indiana - 8,2006,Hostettler,R,45,Ellsworth,D,51,Und.,N/A,4
Indiana - 8,2006,Hostettler,R,40,Ellsworth,D,44,Und.,N/A,16
Indiana - 9,2006,Sodrel,R,46,Hill,D,48,Und.,N/A,4
Indiana - 9,2006,Sodrel,R,43,Hill,D,51,Und.,N/A,7
Indiana - 9,2006,Sodrel,R,43,Hill,D,47,Und.,N/A,5
Indiana - 9,2006,Sodrel,R,45,Hill,D,47,Und.,N/A,8
Indiana - 9,2006,Sodrel,R,46,Hill,D,48,Und.,N/A,4
Indiana - 9,2006,Sodrel,R,38,Hill,D,46,Und.,N/A,14
Indiana - 9,2006,Sodrel,R,42,Hill,D,53,Und.,N/A,5
Indiana - 9,2006,Sodrel,R,40,Hill,D,46,Und.,N/A,14
Indiana - 9,2006,Sodrel,R,38,Hill,D,48,Und.,N/A,--
