Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Nebraska Governor,2014,Hassebrook,D,35,Ricketts,R,55,,,
Nebraska Governor,2014,Hassebrook,D,35,Ricketts,R,55,,,
Nebraska Governor,2014,Hassebrook,D,34,Ricketts,R,54,,,
Nebraska Governor,2014,Hassebrook,D,41,Ricketts,R,49,,,
Nebraska Governor,2014,Hassebrook,D,40,Ricketts,R,47,,,
Nebraska Senate,2014,Domina,D,32.0,Sasse,R,55.0,,,
Nebraska Senate,2014,Domina,D,30,Sasse,R,59,,,
Nebraska Senate,2014,Domina,D,34,Sasse,R,51,,,
Nebraska Senate,2012,Fischer,R,54,Kerrey,D,41,,,
Nebraska Senate,2012,Fischer,R,49,Kerrey,D,46,,,
Nebraska Senate,2012,Fischer,R,56,Kerrey,D,40,,,
Nebraska Senate,2012,Fischer,R,56,Kerrey,D,38,,,
Nebraska Senate,2012,Fischer,R,48,Kerrey,D,38,,,
Nebraska Senate,2012,Fischer,R,46,Kerrey,D,34,,,
Nebraska 2nd District,2012,Ewing,D,43,Terry,R,47,,,
Nebraska 2nd District,2012,Ewing,D,38,Terry,R,51,,,
Nebraska Governor,2010,Heineman,R,66,Meister,D,24,,,
Nebraska Governor,2010,Heineman,R,61,Meister,D,28,,,
Nebraska Governor,2010,Heineman,R,71,Meister,D,18,,,
Nebraska Senate,2008,Johanns,R,60,Kleeb,D,34,,,
Nebraska Senate,2008,Johanns,R,60,Kleeb,D,33,,,
Nebraska Senate,2008,Johanns,R,58,Kleeb,D,31,,,
Nebraska Senate,2008,Johanns,R,55,Kleeb,D,40,,,
Nebraska Senate,2008,Johanns,R,59,Kleeb,D,28,,,
