Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Iowa Senate,2016,Grassley,R,56.3,Judge,D,34.0,,,
Iowa Senate,2016,Grassley,R,56,Judge,D,33,,,
Iowa Senate,2016,Grassley,R,60,Judge,D,32,,,
Iowa Senate,2016,Grassley,R,53,Judge,D,37,,,
Iowa 1st District,2016,Blum,R,45,Vernon,D,38,,,
Iowa 3rd District,2016,Young,R,46,Mowrer,D,36,,,
Iowa Governor,2014,Branstad,R,53.7,Hatch,D,36.7,,,
Iowa Governor,2014,Branstad,R,51,Hatch,D,40,,,
Iowa Governor,2014,Branstad,R,52,Hatch,D,41,,,
Iowa Governor,2014,Branstad,R,59,Hatch,D,35,,,
Iowa Governor,2014,Branstad,R,49,Hatch,D,34,,,
Iowa Governor,2014,Branstad,R,55,Hatch,D,37,,,
Iowa Governor,2014,Branstad,R,53,Hatch,D,36,,,
Iowa Governor,2014,Branstad,R,57,Hatch,D,34,,,
Iowa 1st District,2014,Blum,R,44,Murphy,D,42,,,
Iowa 1st District,2014,Blum,R,33,Murphy,D,35,,,
Iowa 2nd District,2014,Loebsack,D,51,Miller-Meeks,R,38,,,
Iowa 2nd District,2014,Loebsack,D,49,Miller-Meeks,R,32,,,
Iowa 3rd District,2014,Appel,D,44,Young,R,46,,,
Iowa 3rd District,2014,Appel,D,42,Young,R,46,,,
Iowa 3rd District,2014,Appel,D,40,Young,R,34,,,
Iowa 4th District,2014,King,R,51,Mowrer,D,39,,,
Iowa 4th District,2014,King,R,47,Mowrer,D,36,,,
Iowa Governor,2010,Branstad,R,52.3,Culver,D,37.3,,,
Iowa Governor,2010,Branstad,R,50,Culver,D,38,,,
Iowa Governor,2010,Branstad,R,55,Culver,D,37,,,
Iowa Governor,2010,Branstad,R,52,Culver,D,37,,,
Iowa Senate,2010,Conlin,D,30,Grassley,R,61,,,
Iowa Senate,2010,Conlin,D,37,Grassley,R,55,,,
Iowa Senate,2010,Conlin,D,30,Grassley,R,61,,,
Iowa Senate,2010,Conlin,D,35,Grassley,R,55,,,
Iowa Senate,2010,Conlin,D,37,Grassley,R,54,,,
Iowa Senate,2010,Conlin,D,42,Grassley,R,50,,,
Iowa Senate,2010,Conlin,D,31,Grassley,R,57,,,
Iowa Senate,2010,Conlin,D,40,Grassley,R,49,,,
Iowa Senate,2010,Conlin,D,40,Grassley,R,53,,,
Iowa Senate,2010,Conlin,D,36,Grassley,R,55,,,
Iowa Senate,2010,Conlin,D,36,Grassley,R,53,,,
Iowa Senate,2010,Conlin,D,35,Grassley,R,56,,,
Iowa 1st District,2010,Braley,D,50,Lange,R,39,,,
Iowa 2nd District,2010,Loebsack,D,47,Miller-Meeks,R,39,,,
Iowa 3rd District,2010,Boswell,D,49,Zaun,R,37,,,
Iowa 3rd District,2010,Boswell,D,48,Zaun,R,39,,,
Iowa 3rd District,2010,Boswell,D,41,Zaun,R,51,,,
