Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
California Senate,2016,Harris,D,46.0,Sanchez,D,25.3,,,
California Senate,2016,Harris,D,47,Sanchez,D,27,,,
California Senate,2016,Harris,D,47,Sanchez,D,23,,,
California Senate,2016,Harris,D,48,Sanchez,D,31,,,
California Senate,2016,Harris,D,42,Sanchez,D,20,,,
California 21st District,2014,Renteria,D,42,Valadao,R,47,,,
California 21st District,2014,Renteria,D,37,Valadao,R,56,,,
California 52nd District,2014,DeMaio,R,45,Peters,D,44,,,
California 52nd District,2014,DeMaio,R,46,Peters,D,45,,,
California 52nd District,2014,DeMaio,R,48,Peters,D,45,,,
California 52nd District,2014,DeMaio,R,46,Peters,D,47,,,
California 52nd District,2014,DeMaio,R,51,Peters,D,44,,,
California Senate,2012,Emken,R,35.0,Feinstein,D,55.8,,,
California Senate,2012,Emken,R,33,Feinstein,D,54,,,
California Senate,2012,Emken,R,38,Feinstein,D,55,,,
California Senate,2012,Emken,R,34,Feinstein,D,60,,,
California Senate,2012,Emken,R,35,Feinstein,D,54,,,
California Governor,2010,Brown,D,49.3,Whitman,R,42.7,,,
California Governor,2010,Brown,D,51,Whitman,R,46,,,
California Governor,2010,Brown,D,48,Whitman,R,37,,,
California Governor,2010,Brown,D,49,Whitman,R,45,,,
California Senate,2010,Boxer,D,48.3,Fiorina,R,43.3,,,
California Senate,2010,Boxer,D,50,Fiorina,R,46,,,
California Senate,2010,Boxer,D,46,Fiorina,R,38,,,
California Senate,2010,Boxer,D,49,Fiorina,R,46,,,
California 4th District,2008,Brown,D,46,McClintock,R,41,,,
California Governor Race,2006,Arnold S.,R,37.0,Angelides,D,51.7,Und.,N/A,8.0
California Governor Race,2006,Arnold S.,R,53,Angelides,D,38,Und.,N/A,9
California Governor Race,2006,Arnold S.,R,49,Angelides,D,33,Und.,N/A,12
California Governor Race,2006,Arnold S.,R,53,Angelides,D,40,Und.,N/A,3
California - 4,2006,Doolittle,R,39,Brown,D,39,Und.,N/A,5
California - 4,2006,Doolittle,R,51,Brown,D,41,Und.,N/A,3
California - 4,2006,Doolittle,R,52,Brown,D,44,Und.,N/A,4
California - 4,2006,Doolittle,R,41,Brown,D,39,Und.,N/A,17
California - 11,2006,Pombo,R,46,McNerney,D,48,Und.,N/A,--
California - 11,2006,Pombo,R,42,McNerney,D,46,Und.,N/A,--
