Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Connecticut Senate,2016,Blumenthal,D,54,Carter,R,33,,,
Connecticut Senate,2016,Blumenthal,D,60,Carter,R,30,,,
Connecticut Gov,2014,Foley,R,41.0,Malloy,D,42.3,Visconti,N/A,5.7
Connecticut Gov,2014,Foley,R,42,Malloy,D,43,Visconti,N/A,8
Connecticut Gov,2014,Foley,R,41,Malloy,D,44,Visconti,N/A,6
Connecticut Gov,2014,Foley,R,40,Malloy,D,40,Visconti,N/A,3
Connecticut Governor,2010,Foley,R,47.5,Malloy,D,45.8,,,
Connecticut Governor,2010,Foley,R,48,Malloy,D,46,,,
Connecticut Governor,2010,Foley,R,48,Malloy,D,45,,,
Connecticut Governor,2010,Foley,R,49,Malloy,D,47,,,
Connecticut Governor,2010,Foley,R,45,Malloy,D,45,,,
Connecticut Senate,2010,Blumenthal,D,53.0,McMahon,R,44.3,,,
Connecticut Senate,2010,Blumenthal,D,53,McMahon,R,46,,,
Connecticut Senate,2010,Blumenthal,D,53,McMahon,R,44,,,
Connecticut Senate,2010,Blumenthal,D,54,McMahon,R,43,,,
Connecticut Senate,2010,Blumenthal,D,52,McMahon,R,44,,,
Connecticut 1st District,2010,Brickley,R,38,Larson,D,56,,,
Connecticut 1st District,2010,Brickley,R,45,Larson,D,52,,,
Connecticut 2nd District,2010,Courtney,D,57,Peckinpaugh,R,38,,,
Connecticut 2nd District,2010,Courtney,D,55,Peckinpaugh,R,41,,,
Connecticut 4th Distirct,2010,Himes,D,46,Debicella,R,42,,,
Connecticut 5th District,2010,Caligiuri,R,52,Murphy,D,44,,,
Connecticut 5th District,2010,Caligiuri,R,47,Murphy,D,46,,,
Connecticut 5th District,2010,Caligiuri,R,50,Murphy,D,44,,,
Connecticut 4th District,2008,Himes,D,48,Shays,R,45,,,
Connecticut 4th District,2008,Himes,D,31,Shays,R,41,,,
Connecticut Governor Race,2006,Rell,R,36,DeStefano,D,58,Und.,N/A,6
Connecticut Governor Race,2006,Rell,R,35,DeStefano,D,59,Und.,N/A,6
Connecticut Governor Race,2006,Rell,R,35,DeStefano,D,57,Und.,N/A,5
Connecticut Senate Race,2006,Lieberman,I,49.8,Lamont,D,38.0,Schlesinger,R,8
Connecticut Senate Race,2006,Lieberman,I,50,Lamont,D,38,Schlesinger,R,8
Connecticut Senate Race,2006,Lieberman,I,49,Lamont,D,38,Schlesinger,R,9
Connecticut Senate Race,2006,Lieberman,I,51,Lamont,D,39,Schlesinger,R,7
Connecticut Senate Race,2006,Lieberman,I,49,Lamont,D,37,Schlesinger,R,8
Connecticut-2,2006,Simmons,R,47,Courtney,D,42,Und.,N/A,11
Connecticut-2,2006,Simmons,R,45,Courtney,D,51,Und.,N/A,4
Connecticut-2,2006,Simmons,R,42,Courtney,D,46,Und.,N/A,--
Connecticut-2,2006,Simmons,R,50,Courtney,D,43,Und.,N/A,--
Connecticut-2,2006,Simmons,R,46,Courtney,D,44,Und.,N/A,8
Connecticut-2,2006,Simmons,R,44,Courtney,D,41,Und.,N/A,15
Connecticut-2,2006,Simmons,R,50,Courtney,D,36,Und.,N/A,--
Connecticut-2,2006,Simmons,R,40,Courtney,D,41,Und.,N/A,--
Connecticut-2,2006,Simmons,R,45,Courtney,D,51,Und.,N/A,3
Connecticut-2,2006,Simmons,R,44,Courtney,D,35,Und.,N/A,--
Connecticut - 4,2006,Shays,R,43,Farrell,D,47,Und.,N/A,10
Connecticut - 4,2006,Shays,R,52,Farrell,D,43,Und.,N/A,6
Connecticut - 4,2006,Shays,R,43,Farrell,D,43,Und.,N/A,11
Connecticut - 4,2006,Shays,R,41,Farrell,D,44,Und.,N/A,--
Connecticut - 4,2006,Shays,R,41,Farrell,D,46,Und.,N/A,11
Connecticut - 4,2006,Shays,R,46,Farrell,D,41,Und.,N/A,12
Connecticut - 4,2006,Shays,R,49,Farrell,D,42,Und.,N/A,9
Connecticut-5,2006,Johnson,R,42,Murphy,D,46,Und.,N/A,9
Connecticut-5,2006,Johnson,R,43,Murphy,D,51,Und.,N/A,7
Connecticut-5,2006,Johnson,R,40,Murphy,D,45,Und.,N/A,--
Connecticut-5,2006,Johnson,R,52,Murphy,D,46,Und.,N/A,2
Connecticut-5,2006,Johnson,R,52,Murphy,D,42,Und.,N/A,--
Connecticut-5,2006,Johnson,R,42,Murphy,D,42,Und.,N/A,--
Connecticut-5,2006,Johnson,R,50,Murphy,D,36,Und.,N/A,--
Connecticut-5,2006,Johnson,R,49,Murphy,D,44,Und.,N/A,7
