Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Minnesota 2nd District,2016,Craig,D,46,Lewis,R,41,,,
Minnesota 3rd District,2016,Paulsen,R,49,Bonoff,D,38,,,
Minnesota 8th District,2016,Mills,R,45,Nolan,D,41,,,
Minnesota Governor,2014,Dayton,D,47.3,Johnson,R,40.3,,,
Minnesota Governor,2014,Dayton,D,47,Johnson,R,42,,,
Minnesota Governor,2014,Dayton,D,50,Johnson,R,41,,,
Minnesota Governor,2014,Dayton,D,45,Johnson,R,38,,,
Minnesota Senate,2014,Franken,D,50.0,McFadden,R,40.0,,,
Minnesota Senate,2014,Franken,D,51,McFadden,R,40,,,
Minnesota Senate,2014,Franken,D,51,McFadden,R,41,,,
Minnesota Senate,2014,Franken,D,48,McFadden,R,39,,,
Minnesota 2nd District,2014,Kline,R,54,Obermueller,D,32,,,
Minnesota 7th District,2014,Peterson,D,50,Westrom,R,41,,,
Minnesota 8th District,2014,Mills,R,47,Nolan,D,39,,,
Minnesota Senate,2012,Bills,R,29.3,Klobuchar,D,60.8,,,
Minnesota Senate,2012,Bills,R,32,Klobuchar,D,62,,,
Minnesota Senate,2012,Bills,R,30,Klobuchar,D,60,,,
Minnesota Senate,2012,Bills,R,22,Klobuchar,D,65,,,
Minnesota Senate,2012,Bills,R,33,Klobuchar,D,56,,,
Minnesota 6th District,2012,Bachmann,R,51,Graves,D,45,,,
Minnesota 6th District,2012,Bachmann,R,50,Graves,D,41,,,
Minnesota 8th District,2012,Cravaack,R,45,Nolan,D,47,,,
Minnesota 8th District,2012,Cravaack,R,43,Nolan,D,50,,,
Minnesota Governor,2010,Dayton,D,41.6,Emmer,R,36.4,Horner,I,12.4
Minnesota Governor,2010,Dayton,D,43,Emmer,R,40,Horner,I,15
Minnesota Governor,2010,Dayton,D,39,Emmer,R,38,Horner,I,13
Minnesota Governor,2010,Dayton,D,41,Emmer,R,29,Horner,I,11
Minnesota Governor,2010,Dayton,D,41,Emmer,R,34,Horner,I,13
Minnesota Governor,2010,Dayton,D,44,Emmer,R,41,Horner,I,10
Minnesota 1st District,2010,Demmer,R,41,Walz,D,50,,,
Minnesota 1st District,2010,Demmer,R,42,Walz,D,47,,,
Minnesota 6th District,2010,Bachmann,R,49,Clark,D,40,,,
Minnesota 6th District,2010,Bachmann,R,48,Clark,D,39,,,
Minnesota 8th District,2010,Cravaack,R,46,Oberstar,D,47,,,
Minnesota Senate,2008,Coleman,R,42.0,Franken,D,39.2,Barkley,I,14.4
Minnesota Senate,2008,Coleman,R,44,Franken,D,39,Barkley,I,16
Minnesota Senate,2008,Coleman,R,38,Franken,D,42,Barkley,I,15
Minnesota Senate,2008,Coleman,R,43,Franken,D,40,Barkley,I,15
Minnesota Senate,2008,Coleman,R,43,Franken,D,39,Barkley,I,14
Minnesota Senate,2008,Coleman,R,42,Franken,D,36,Barkley,I,12
Minnesota 3rd District,2008,Madia,D,44,Paulsen,R,45,,,
Minnesota 3rd District,2008,Madia,D,46,Paulsen,R,43,,,
Minnesota 3rd District,2008,Madia,D,41,Paulsen,R,44,,,
Minnesota 6th District,2008,Bachmann,R,43,Tinklenberg,D,45,,,
Minnesota 6th District,2008,Bachmann,R,44,Tinklenberg,D,47,,,
Minnesota Governor Race,2006,Pawlenty,R,42.6,Hatch,D,45.0,Und.,N/A,4.6
Minnesota Governor Race,2006,Pawlenty,R,44,Hatch,D,41,Und.,N/A,7
Minnesota Governor Race,2006,Pawlenty,R,45,Hatch,D,45,Und.,N/A,1
Minnesota Governor Race,2006,Pawlenty,R,47,Hatch,D,45,Und.,N/A,1
Minnesota Governor Race,2006,Pawlenty,R,45,Hatch,D,39,Und.,N/A,7
Minnesota Governor Race,2006,Pawlenty,R,44,Hatch,D,43,Und.,N/A,7
Minnesota - 6,2006,Bachmann,R,52,Wetterling,D,42,Und.,N/A,4
Minnesota - 6,2006,Bachmann,R,48,Wetterling,D,47,Und.,N/A,5
Minnesota - 6,2006,Bachmann,R,49,Wetterling,D,43,Und.,N/A,3
Minnesota - 6,2006,Bachmann,R,40,Wetterling,D,48,Und.,N/A,5
Minnesota - 6,2006,Bachmann,R,45,Wetterling,D,50,Und.,N/A,6
Minnesota - 6,2006,Bachmann,R,47,Wetterling,D,44,Und.,N/A,2
Minnesota - 6,2006,Bachmann,R,46,Wetterling,D,43,Und.,N/A,10
Minnesota - 6,2006,Bachmann,R,44,Wetterling,D,41,Und.,N/A,--
Minnesota - 6,2006,Bachmann,R,50,Wetterling,D,41,Und.,N/A,3
