Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Alaska Governor,2014,Parnell,R,43.4,Walker,I,44.6,,,
Alaska Governor,2014,Parnell,R,45,Walker,I,46,,,
Alaska Governor,2014,Parnell,R,43,Walker,I,50,,,
Alaska Governor,2014,Parnell,R,42,Walker,I,39,,,
Alaska Governor,2014,Parnell,R,42,Walker,I,37,,,
Alaska Governor,2014,Parnell,R,45,Walker,I,51,,,
Alaska At-Large,2014,Dunbar,D,41,McDermott,L,6,Young,R,47
Alaska At-Large,2014,Dunbar,D,43,McDermott,L,10,Young,R,44
Alaska At-Large,2014,Dunbar,D,33,McDermott,L,9,Young,R,48
Alaska Governor,2010,Berkowitz,D,39.5,Parnell,R,55.0,,,
Alaska Governor,2010,Berkowitz,D,43,Parnell,R,54,,,
Alaska Governor,2010,Berkowitz,D,40,Parnell,R,52,,,
Alaska Governor,2010,Berkowitz,D,36,Parnell,R,62,,,
Alaska Governor,2010,Berkowitz,D,39,Parnell,R,52,,,
Alaska Senate,2010,McAdams,D,30,Miller,R,37,Murkowski,N/A,30
Alaska Senate,2010,McAdams,D,23,Miller,R,27,Murkowski,N/A,37
Alaska Senate,2010,McAdams,D,23,Miller,R,37,Murkowski,N/A,37
Alaska Senate,2010,McAdams,D,27,Miller,R,35,Murkowski,N/A,34
Alaska Senate,2010,McAdams,D,26,Miller,R,35,Murkowski,N/A,33
Alaska Senate,2010,McAdams,D,22,Miller,R,38,Murkowski,N/A,36
Alaska Senate,2010,McAdams,D,25,Miller,R,42,Murkowski,N/A,27
Alaska Senate,2008,Begich,D,52.0,Stevens,R,41.7,,,
Alaska Senate,2008,Begich,D,58,Stevens,R,36,,,
Alaska Senate,2008,Begich,D,52,Stevens,R,44,,,
Alaska Senate,2008,Begich,D,46,Stevens,R,45,,,
Alaska  At-Large,2008,Berkowitz,D,51,Young,R,43,,,
Alaska  At-Large,2008,Berkowitz,D,50,Young,R,44,,,
Alaska  At-Large,2008,Berkowitz,D,51,Young,R,42,,,
Alaska  At-Large,2008,Berkowitz,D,49,Young,R,44,,,
Alaska  At-Large,2008,Berkowitz,D,53,Young,R,39,,,
Alaska  At-Large,2008,Berkowitz,D,51,Young,R,40,,,
Alaska  At-Large,2008,Berkowitz,D,50,Young,R,40,,,
Alaska Governor Race,2006,Palin,R,48,Knowles,D,43,Und.,N/A,4
Alaska Governor Race,2006,Palin,R,45,Knowles,D,44,Und.,N/A,5
Alaska Governor Race,2006,Palin,R,48,Knowles,D,39,Und.,N/A,--
Alaska Governor Race,2006,Palin,R,43,Knowles,D,43,Und.,N/A,--
Alaska Governor Race,2006,Palin,R,47,Knowles,D,40,Und.,N/A,7
Alaska Governor Race,2006,Palin,R,48,Knowles,D,37,Und.,N/A,--
Alaska Governor Race,2006,Palin,R,52,Knowles,D,38,Und.,N/A,10
Alaska Governor Race,2006,Palin,R,46,Knowles,D,29,Und.,N/A,22
Alaska Governor Race,2006,Palin,R,51,Knowles,D,38,Und.,N/A,6
Alaska Governor Race,2006,Palin,R,39,Knowles,D,43,Und.,N/A,12
