Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Mississippi Senate,2014,Childers,D,29.3,Cochran,R,45.7,,,
Mississippi Senate,2014,Childers,D,28,Cochran,R,50,,,
Mississippi Senate,2014,Childers,D,26,Cochran,R,41,,,
Mississippi Senate,2014,Childers,D,34,Cochran,R,46,,,
Mississippi Governor,2011,Bryant,R,54,DuPree,D,40,,,
Mississippi 1st District,2010,Childers,D,39,Nunnelee,R,44,,,
Mississippi Senate,2008,Musgrove,D,39.7,Wicker,R,50.0,,,
Mississippi Senate,2008,Musgrove,D,44,Wicker,R,51,,,
Mississippi Senate,2008,Musgrove,D,43,Wicker,R,54,,,
Mississippi Senate,2008,Musgrove,D,32,Wicker,R,45,,,
