Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Arizona Senate,2016,McCain,R,49.5,Kirkpatrick,D,39.5,,,
Arizona Senate,2016,McCain,R,55,Kirkpatrick,D,39,,,
Arizona Senate,2016,McCain,R,54,Kirkpatrick,D,41,,,
Arizona Senate,2016,McCain,R,46,Kirkpatrick,D,40,,,
Arizona Senate,2016,McCain,R,43,Kirkpatrick,D,38,,,
Arizona Governor,2014,Ducey,R,48.5,DuVal,D,41.0,,,
Arizona Governor,2014,Ducey,R,50,DuVal,D,40,,,
Arizona Governor,2014,Ducey,R,47,DuVal,D,42,,,
Arizona 2nd District,2014,Barber,D,48,McSally,R,46,,,
Arizona Senate,2012,Carmona,D,45.0,Flake,R,50.5,,,
Arizona Senate,2012,Carmona,D,46,Flake,R,51,,,
Arizona Senate,2012,Carmona,D,44,Flake,R,50,,,
Arizona Governor,2010,Brewer,R,50.3,Goddard,D,39.3,,,
Arizona Governor,2010,Brewer,R,53,Goddard,D,39,,,
Arizona Governor,2010,Brewer,R,52,Goddard,D,44,,,
Arizona Governor,2010,Brewer,R,46,Goddard,D,35,,,
Arizona Senate,2010,Glassman,D,30.7,McCain,R,54.7,,,
Arizona Senate,2010,Glassman,D,32,McCain,R,52,,,
Arizona Senate,2010,Glassman,D,38,McCain,R,56,,,
Arizona Senate,2010,Glassman,D,22,McCain,R,56,,,
Arizona 1st District,2010,Gosar,R,46,Kirkpatrick,D,39,,,
Arizona 1st District,2010,Gosar,R,47,Kirkpatrick,D,41,,,
Arizona 3rd District,2010,Hulburd,D,46,Quayle,R,44,,,
Arizona 5th District,2010,Mitchell,D,42,Schweikert,R,45,,,
Arizona 5th District,2010,Mitchell,D,44,Schweikert,R,50,,,
Arizona 7th District,2010,Grijalva,D,40,McClung,R,38,,,
Arizona 8th District,2010,Giffords,D,46,Kelly,R,46,,,
Arizona 3rd District,2008,Lord,D,39,Shadegg,R,48,,,
Arizona Senate Race,2006,Kyl,R,49.3,Pederson,D,40.7,Und.,N/A,6.3
Arizona Senate Race,2006,Kyl,R,53,Pederson,D,40,Und.,N/A,3
Arizona Senate Race,2006,Kyl,R,49,Pederson,D,41,Und.,N/A,7
Arizona Senate Race,2006,Kyl,R,46,Pederson,D,41,Und.,N/A,9
Arizona - 1,2006,Renzi,R,45,Simon,D,32,Und.,N/A,21
Arizona - 1,2006,Renzi,R,46,Simon,D,50,Und.,N/A,4
Arizona - 5,2006,Hayworth,R,47,Mitchell,D,46,Und.,N/A,--
Arizona - 5,2006,Hayworth,R,48,Mitchell,D,45,Und.,N/A,2
Arizona - 5,2006,Hayworth,R,52,Mitchell,D,38,Und.,N/A,10
Arizona - 5,2006,Hayworth,R,52,Mitchell,D,40,Und.,N/A,4
Arizona - 5,2006,Hayworth,R,37,Mitchell,D,40,Und.,N/A,--
Arizona - 5,2006,Hayworth,R,49,Mitchell,D,34,Und.,N/A,--
Arizona - 5,2006,Hayworth,R,50,Mitchell,D,45,Und.,N/A,5
Arizona-8,2006,Graf,R,35,Giffords,D,50,Und.,N/A,11
Arizona-8,2006,Graf,R,38,Giffords,D,48,Und.,N/A,10
Arizona-8,2006,Graf,R,37,Giffords,D,45,Und.,N/A,16
Arizona-8,2006,Graf,R,29,Giffords,D,54,Und.,N/A,--
Arizona-8,2006,Graf,R,36,Giffords,D,48,Und.,N/A,13
Arizona-8,2006,Graf,R,35,Giffords,D,54,Und.,N/A,--
Arizona-8,2006,Graf,R,36,Giffords,D,46,Und.,N/A,19
