Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Maryland Senate,2016,Van Hollen,D,58,Szeliga,R,29,,,
Maryland Senate,2016,Van Hollen,D,54,Szeliga,R,24,,,
Maryland Senate,2016,Van Hollen,D,55,Szeliga,R,26,,,
Maryland Governor,2014,Brown,D,39,Hogan,R,44,,,
Maryland Governor,2014,Brown,D,46,Hogan,R,44,,,
Maryland Governor,2014,Brown,D,51,Hogan,R,38,,,
Maryland Governor,2014,Brown,D,49,Hogan,R,42,,,
Maryland Governor,2014,Brown,D,47,Hogan,R,38,,,
Maryland Governor,2014,Brown,D,55,Hogan,R,38,,,
Maryland Governor,2014,Brown,D,51,Hogan,R,37,,,
Maryland Governor,2014,Brown,D,52,Hogan,R,39,,,
Maryland Governor,2014,Brown,D,48,Hogan,R,35,,,
Maryland Governor,2014,Brown,D,51,Hogan,R,33,,,
Maryland Senate,2012,Bongino,R,22.7,Cardin,D,51.0,Sobhani,I,16.3
Maryland Senate,2012,Bongino,R,24,Cardin,D,50,Sobhani,I,14
Maryland Senate,2012,Bongino,R,22,Cardin,D,53,Sobhani,I,14
Maryland Senate,2012,Bongino,R,22,Cardin,D,50,Sobhani,I,21
Maryland 6th District,2012,Bartlett,R,41,Delaney,D,42,,,
Maryland Governor,2010,Ehrlich,R,40.5,O'Malley,D,51.3,,,
Maryland Governor,2010,Ehrlich,R,42,O'Malley,D,52,,,
Maryland Governor,2010,Ehrlich,R,40,O'Malley,D,54,,,
Maryland Governor,2010,Ehrlich,R,38,O'Malley,D,52,,,
Maryland Governor,2010,Ehrlich,R,42,O'Malley,D,47,,,
Maryland Senate,2010,Mikulski,D,58.5,Wargotz,R,33.8,,,
Maryland Senate,2010,Mikulski,D,56,Wargotz,R,38,,,
Maryland Senate,2010,Mikulski,D,64,Wargotz,R,27,,,
Maryland Senate,2010,Mikulski,D,59,Wargotz,R,32,,,
Maryland Senate,2010,Mikulski,D,55,Wargotz,R,38,,,
Maryland 1st District,2010,Harris,R,40,Kratovil,D,40,,,
Maryland 1st District,2010,Harris,R,53,Kratovil,D,42,,,
Maryland 1st District,2010,Harris,R,43,Kratovil,D,40,,,
Maryland 1st District,2010,Harris,R,39,Kratovil,D,36,,,
