Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
West Virginia Governor,2016,Justice,D,41,Cole,R,35,,,
West Virginia Senate,2012,Manchin,D,62,Raese,R,23,,,
West Virginia Senate,2012,Manchin,D,61,Raese,R,29,,,
West Virginia Senate,2012,Manchin,D,60,Raese,R,31,,,
West Virginia Senate Special Election,2010,Manchin,D,50.5,Raese,R,46.0,,,
West Virginia Senate Special Election,2010,Manchin,D,50,Raese,R,46,,,
West Virginia Senate Special Election,2010,Manchin,D,51,Raese,R,46,,,
West Virginia 1st District,2010,McKinley,R,39,Oliverio,D,42,,,
West Virginia 3rd District,2010,Maynard,R,37,Rahall,D,53,,,
West Virginia Governor,2008,Manchin,D,71,Weeks,R,21,,,
West Virginia Senate,2008,Rockefeller,D,61,Wolfe,R,33,,,
