Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Missouri Senate,2016,Blunt,R,46.8,Kander,D,45.5,,,
Missouri Senate,2016,Blunt,R,45,Kander,D,46,,,
Missouri Senate,2016,Blunt,R,48,Kander,D,44,,,
Missouri Senate,2016,Blunt,R,47,Kander,D,46,,,
Missouri Senate,2016,Blunt,R,47,Kander,D,46,,,
Missouri Governor,2016,Greitens,R,46.0,Koster,D,45.5,,,
Missouri Governor,2016,Greitens,R,46,Koster,D,45,,,
Missouri Governor,2016,Greitens,R,46,Koster,D,46,,,
Missouri Governor,2012,Nixon,D,49.7,Spence,R,42.0,,,
Missouri Governor,2012,Nixon,D,53,Spence,R,45,,,
Missouri Governor,2012,Nixon,D,48,Spence,R,39,,,
Missouri Governor,2012,Nixon,D,48,Spence,R,42,,,
Missouri Senate,2010,Blunt,R,51.7,Carnahan,D,41.3,,,
Missouri Senate,2010,Blunt,R,54,Carnahan,D,41,,,
Missouri Senate,2010,Blunt,R,49,Carnahan,D,40,,,
Missouri Senate,2010,Blunt,R,52,Carnahan,D,43,,,
Missouri 3rd District,2010,Carnahan,D,54,Martin,R,38,,,
Missouri 3rd District,2010,Carnahan,D,48,Martin,R,39,,,
Missouri 4th District,2010,Hartzler,R,39,Skelton,D,46,,,
Missouri 4th District,2010,Hartzler,R,35,Skelton,D,47,,,
Missouri 4th District,2010,Hartzler,R,42,Skelton,D,45,,,
Missouri Governor,2008,Hulshof,R,39.3,Nixon,D,55.3,,,
Missouri Governor,2008,Hulshof,R,39,Nixon,D,54,,,
Missouri Governor,2008,Hulshof,R,41,Nixon,D,55,,,
Missouri Governor,2008,Hulshof,R,38,Nixon,D,57,,,
Missouri 6th District,2008,Barnes,D,40,Graves,R,51,,,
Missouri 6th District,2008,Barnes,D,42,Graves,R,51,,,
Missouri 6th District,2008,Barnes,D,44,Graves,R,48,,,
Missouri 6th District,2008,Barnes,D,39,Graves,R,49,,,
Missouri 9th District,2008,Baker,D,40,Luetkemeyer,R,49,,,
Missouri 9th District,2008,Baker,D,38,Luetkemeyer,R,50,,,
