Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Colorado Senate,2016,Bennet,D,48.2,Glenn,R,40.8,,,
Colorado Senate,2016,Bennet,D,50,Glenn,R,40,,,
Colorado Senate,2016,Bennet,D,49,Glenn,R,38,,,
Colorado Senate,2016,Bennet,D,47,Glenn,R,44,,,
Colorado Senate,2016,Bennet,D,48,Glenn,R,40,,,
Colorado Senate,2016,Bennet,D,47,Glenn,R,42,,,
Colorado Governor,2014,Beauprez,R,44.8,Hickenlooper,D,45.3,,,
Colorado Governor,2014,Beauprez,R,46,Hickenlooper,D,46,,,
Colorado Governor,2014,Beauprez,R,45,Hickenlooper,D,43,,,
Colorado Governor,2014,Beauprez,R,42,Hickenlooper,D,44,,,
Colorado Governor,2014,Beauprez,R,46,Hickenlooper,D,46,,,
Colorado Governor,2014,Beauprez,R,49,Hickenlooper,D,47,,,
Colorado Governor,2014,Beauprez,R,41,Hickenlooper,D,46,,,
Colorado Governor,2010,Hickenlooper,D,47.3,Maes,R,7.0,Tancredo,N/A,43.3
Colorado Governor,2010,Hickenlooper,D,48,Maes,R,8,Tancredo,N/A,43
Colorado Governor,2010,Hickenlooper,D,47,Maes,R,6,Tancredo,N/A,44
Colorado Governor,2010,Hickenlooper,D,47,Maes,R,--,Tancredo,N/A,43
Colorado Senate,2010,Bennet,D,46.3,Buck,R,49.3,,,
Colorado Senate,2010,Bennet,D,48,Buck,R,49,,,
Colorado Senate,2010,Bennet,D,46,Buck,R,50,,,
Colorado Senate,2010,Bennet,D,45,Buck,R,49,,,
Colorado 3rd District,2010,Salazar,D,43,Tipton,R,47,,,
Colorado 3rd District,2010,Salazar,D,43,Tipton,R,51,,,
Colorado 4th District,2010,Gardner,R,44,Markey,D,41,,,
Colorado 4th District,2010,Gardner,R,50,Markey,D,39,,,
Colorado 7th District,2010,Frazier,R,40,Perlmutter,D,39,,,
Colorado Senate,2008,Schaffer,R,38.3,Udall,D,50.8,,,
Colorado Senate,2008,Schaffer,R,43,Udall,D,53,,,
Colorado Senate,2008,Schaffer,R,36,Udall,D,51,,,
Colorado Senate,2008,Schaffer,R,36,Udall,D,48,,,
Colorado Senate,2008,Schaffer,R,38,Udall,D,51,,,
Colorado Governor Race,2006,Beauprez,R,34.8,Ritter,D,53.5,Und.,N/A,7.3
Colorado Governor Race,2006,Beauprez,R,57,Ritter,D,35,Und.,N/A,3
Colorado Governor Race,2006,Beauprez,R,55,Ritter,D,33,Und.,N/A,7
Colorado Governor Race,2006,Beauprez,R,50,Ritter,D,38,Und.,N/A,7
Colorado Governor Race,2006,Beauprez,R,52,Ritter,D,33,Und.,N/A,12
Colorado - 4,2006,Musgrave,R,45,Paccione,D,48,Und.,N/A,7
Colorado - 4,2006,Musgrave,R,42,Paccione,D,45,Und.,N/A,--
Colorado - 4,2006,Musgrave,R,48,Paccione,D,38,Und.,N/A,4
Colorado - 4,2006,Musgrave,R,46,Paccione,D,36,Und.,N/A,12
Colorado - 4,2006,Musgrave,R,46,Paccione,D,42,Und.,N/A,5
Colorado - 4,2006,Musgrave,R,47,Paccione,D,41,Und.,N/A,12
Colorado - 4,2006,Musgrave,R,46,Paccione,D,42,Und.,N/A,4
Colorado - 4,2006,Musgrave,R,47,Paccione,D,46,Und.,N/A,--
Colorado - 5,2006,Lamborn,R,47,Fawcett,D,40,Und.,N/A,13
Colorado - 5,2006,Lamborn,R,51,Fawcett,D,38,Und.,N/A,12
Colorado - 5,2006,Lamborn,R,49,Fawcett,D,32,Und.,N/A,--
Colorado - 5,2006,Lamborn,R,37,Fawcett,D,37,Und.,N/A,26
Colorado - 7,2006,O Donnell,R,40,Perlmutter,D,54,Und.,N/A,5
Colorado - 7,2006,O Donnell,R,46,Perlmutter,D,51,Und.,N/A,4
Colorado - 7,2006,O Donnell,R,47,Perlmutter,D,47,Und.,N/A,5
Colorado - 7,2006,O Donnell,R,39,Perlmutter,D,45,Und.,N/A,11
Colorado - 7,2006,O Donnell,R,34,Perlmutter,D,45,Und.,N/A,21
Colorado - 7,2006,O Donnell,R,37,Perlmutter,D,54,Und.,N/A,6
Colorado - 7,2006,O Donnell,R,46,Perlmutter,D,48,Und.,N/A,6
Colorado - 7,2006,O Donnell,R,45,Perlmutter,D,45,Und.,N/A,6
Colorado - 7,2006,O Donnell,R,38,Perlmutter,D,32,Und.,N/A,--
