Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Arkansas Senate,2016,Boozman,R,52,Eldridge,D,34,,,
Arkansas Senate,2016,Boozman,R,44,Eldridge,D,30,,,
Arkansas Governor,2014,Hutchinson,R,49.0,Ross,D,41.0,,,
Arkansas Governor,2014,Hutchinson,R,51,Ross,D,41,,,
Arkansas Governor,2014,Hutchinson,R,50,Ross,D,43,,,
Arkansas Governor,2014,Hutchinson,R,50,Ross,D,39,,,
Arkansas Governor,2014,Hutchinson,R,47,Ross,D,44,,,
Arkansas Governor,2014,Hutchinson,R,47,Ross,D,38,,,
Arkansas Governor,2014,Hutchinson,R,49,Ross,D,41,,,
Arkansas 2nd District,2014,Hays,D,46,Hill,R,42,,,
Arkansas 2nd District,2014,Hays,D,43,Hill,R,44,,,
Arkansas 4th District,2014,Westerman,R,44,Witt,D,42,,,
Arkansas 4th District,2014,Westerman,R,48,Witt,D,34,,,
Arkansas Governor,2010,Beebe,D,60.3,Keet,R,35.3,,,
Arkansas Governor,2010,Beebe,D,60,Keet,R,38,,,
Arkansas Governor,2010,Beebe,D,62,Keet,R,35,,,
Arkansas Governor,2010,Beebe,D,59,Keet,R,33,,,
Arkansas Senate,2010,Boozman,R,54.7,Lincoln,D,35.0,,,
Arkansas Senate,2010,Boozman,R,55,Lincoln,D,36,,,
Arkansas Senate,2010,Boozman,R,54,Lincoln,D,35,,,
Arkansas Senate,2010,Boozman,R,55,Lincoln,D,34,,,
Arkansas 1st District,2010,Causey,D,34,Crawford,R,42,,,
Arkansas 1st District,2010,Causey,D,34,Crawford,R,46,,,
Arkansas 1st District,2010,Causey,D,32,Crawford,R,48,,,
Arkansas 2nd District,2010,Elliott,D,38,Griffin,R,50,,,
Arkansas 2nd District,2010,Elliott,D,35,Griffin,R,52,,,
Arkansas 4th District,2010,Rankin,R,34,Ross,D,52,,,
Arkansas 4th District,2010,Rankin,R,31,Ross,D,49,,,
