Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Texas Governor,2014,Abbott,R,52.7,Davis,D,35.7,,,
Texas Governor,2014,Abbott,R,57,Davis,D,37,,,
Texas Governor,2014,Abbott,R,54,Davis,D,38,,,
Texas Governor,2014,Abbott,R,47,Davis,D,32,,,
Texas Senate,2014,Alameel,D,31.3,Cornyn,R,53.0,,,
Texas Senate,2014,Alameel,D,35,Cornyn,R,57,,,
Texas Senate,2014,Alameel,D,31,Cornyn,R,57,,,
Texas Senate,2014,Alameel,D,29,Cornyn,R,50,,,
Texas Senate,2014,Alameel,D,30,Cornyn,R,48,,,
Texas Senate,2012,Cruz,R,51,Sadler,D,33,,,
Texas Senate,2012,Cruz,R,50,Sadler,D,24,,,
Texas Senate,2012,Cruz,R,44,Sadler,D,34,,,
Texas Senate,2012,Cruz,R,41,Sadler,D,31,,,
Texas Governor,2010,Perry,R,51.0,White,D,41.3,,,
Texas Governor,2010,Perry,R,53,White,D,44,,,
Texas Governor,2010,Perry,R,49,White,D,37,,,
Texas Governor,2010,Perry,R,51,White,D,43,,,
Texas 17th District,2010,Edwards,D,40,Flores,R,52,,,
Texas Senate,2008,Cornyn,R,55,Noriega,D,40,,,
Texas Senate,2008,Cornyn,R,50,Noriega,D,44,,,
Texas Senate,2008,Cornyn,R,50,Noriega,D,43,,,
Texas Senate,2008,Cornyn,R,52,Noriega,D,38,,,
Texas Senate,2008,Cornyn,R,50,Noriega,D,39,,,
Texas Senate,2008,Cornyn,R,44,Noriega,D,31,,,
Texas Senate,2008,Cornyn,R,48,Noriega,D,35,,,
Texas Senate,2008,Cornyn,R,38,Noriega,D,36,,,
Texas Senate,2008,Cornyn,R,52,Noriega,D,35,,,
Texas Senate,2008,Cornyn,R,49,Noriega,D,33,,,
Texas Senate,2008,Cornyn,R,48,Noriega,D,44,,,
Texas Senate,2008,Cornyn,R,47,Noriega,D,43,,,
