Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
New York Senate,2016,Schumer,D,67,Long,R,25,,,
New York Senate,2016,Schumer,D,66,Long,R,27,,,
New York Senate,2016,Schumer,D,69,Long,R,23,,,
New York Senate,2016,Schumer,D,60,Long,R,23,,,
New York Senate,2016,Schumer,D,60,Long,R,28,,,
New York Senate,2016,Schumer,D,66,Long,R,23,,,
New York Senate,2016,Schumer,D,64,Long,R,22,,,
New York Senate,2016,Schumer,D,64,Long,R,24,,,
New York Senate,2016,Schumer,D,55,Long,R,23,,,
New York Senate,2016,Schumer,D,63,Long,R,24,,,
New York 1st District,2016,Zeldin,R,53,Throne-Holst,D,38,,,
New York 3rd District,2016,Suozzi,D,50,Martins,R,34,,,
New York 19th District,2016,Faso,R,42,Teachout,D,45,,,
New York 1st District,2014,Bishop,D,45,Zeldin,R,50,,,
New York 1st District,2014,Bishop,D,51,Zeldin,R,41,,,
New York 4th District,2014,Blakeman,R,42,Rice,D,52,,,
New York 4th District,2014,Blakeman,R,37,Rice,D,55,,,
New York 11th District,2014,Grimm,R,53,Recchia,D,34,,,
New York 11th District,2014,Grimm,R,44,Recchia,D,40,,,
New York 18th District,2014,Hayworth,R,44,Maloney,D,49,,,
New York 18th District,2014,Hayworth,R,42,Maloney,D,50,,,
New York 19th District,2014,Eldridge,D,35,Gibson,R,58,,,
New York 19th District,2014,Eldridge,D,33,Gibson,R,57,,,
New York 21st District,2014,Funiciello,G,11,Stefanik,R,50,Woolf,D,32
New York 21st District,2014,Funiciello,G,8,Stefanik,R,45,Woolf,D,37
New York 21st District,2014,Funiciello,G,10,Stefanik,R,46,Woolf,D,33
New York 24th District,2014,Katko,R,52,Maffei,D,42,,,
New York 24th District,2014,Katko,R,42,Maffei,D,50,,,
New York Senate,2012,Gillibrand,D,66.3,Long,R,23.3,,,
New York Senate,2012,Gillibrand,D,64,Long,R,22,,,
New York Senate,2012,Gillibrand,D,67,Long,R,24,,,
New York Senate,2012,Gillibrand,D,68,Long,R,24,,,
2012 Key New York House Races,2012,Altschuler,R,39,Bishop,D,52,,,
New York Governor,2010,Cuomo,D,55.0,Paladino,R,35.0,,,
New York Governor,2010,Cuomo,D,58,Paladino,R,33,,,
New York Governor,2010,Cuomo,D,56,Paladino,R,37,,,
New York Governor,2010,Cuomo,D,55,Paladino,R,33,,,
New York Governor,2010,Cuomo,D,55,Paladino,R,35,,,
New York Governor,2010,Cuomo,D,51,Paladino,R,37,,,
New York Senate,2010,Schumer,D,61.8,Townsend,R,32.6,,,
New York Senate,2010,Schumer,D,64,Townsend,R,32,,,
New York Senate,2010,Schumer,D,60,Townsend,R,36,,,
New York Senate,2010,Schumer,D,62,Townsend,R,32,,,
New York Senate,2010,Schumer,D,64,Townsend,R,32,,,
New York Senate,2010,Schumer,D,59,Townsend,R,31,,,
New York Senate Special Election,2010,DioGuardi,R,36.0,Gillibrand,D,55.8,,,
New York Senate Special Election,2010,DioGuardi,R,37,Gillibrand,D,57,,,
New York Senate Special Election,2010,DioGuardi,R,40,Gillibrand,D,55,,,
New York Senate Special Election,2010,DioGuardi,R,36,Gillibrand,D,56,,,
New York Senate Special Election,2010,DioGuardi,R,34,Gillibrand,D,57,,,
New York Senate Special Election,2010,DioGuardi,R,33,Gillibrand,D,54,,,
2010 Key New York House Races,2010,Altschuler,R,39,Bishop,D,51,,,
2010 Key New York House Races,2010,Altschuler,R,45,Bishop,D,47,,,
New York 26th District,2008,Kryzan,D,34,Lee,R,48,,,
New York 26th District,2008,Kryzan,D,37,Lee,R,48,,,
New York 29th District,2008,Kuhl,R,42,Massa,D,49,,,
New York 29th District,2008,Kuhl,R,44,Massa,D,51,,,
New York Governor Race,2006,Faso,R,23.3,Spitzer,D,69.7,Und.,N/A,7.0
New York Governor Race,2006,Faso,R,69,Spitzer,D,24,Und.,N/A,7
New York Governor Race,2006,Faso,R,69,Spitzer,D,24,Und.,N/A,7
New York Governor Race,2006,Faso,R,71,Spitzer,D,22,Und.,N/A,7
New York - 19,2006,Kelly,R,48,Hall,D,46,Und.,N/A,--
New York - 19,2006,Kelly,R,40,Hall,D,49,Und.,N/A,10
New York - 19,2006,Kelly,R,49,Hall,D,44,Und.,N/A,7
New York-20,2006,Sweeney,R,42,Gillibrand,D,53,Und.,N/A,5
New York-20,2006,Sweeney,R,40,Gillibrand,D,43,Und.,N/A,--
New York-20,2006,Sweeney,R,42,Gillibrand,D,44,Und.,N/A,--
New York-20,2006,Sweeney,R,53,Gillibrand,D,39,Und.,N/A,9
New York-20,2006,Sweeney,R,41,Gillibrand,D,54,Und.,N/A,5
New York-20,2006,Sweeney,R,42,Gillibrand,D,41,Und.,N/A,--
New York-20,2006,Sweeney,R,51,Gillibrand,D,37,Und.,N/A,--
New York-20,2006,Sweeney,R,43,Gillibrand,D,31,Und.,N/A,--
New York-20,2006,Sweeney,R,47,Gillibrand,D,39,Und.,N/A,14
New York-20,2006,Sweeney,R,53,Gillibrand,D,34,Und.,N/A,13
New York-20,2006,Sweeney,R,51,Gillibrand,D,27,Und.,N/A,22
New York - 24,2006,Meier,R,42,Arcuri,D,31,Und.,N/A,--
New York - 25,2006,Walsh,R,44,Maffei,D,53,Und.,N/A,3
New York - 25,2006,Walsh,R,43,Maffei,D,51,Und.,N/A,7
New York - 25,2006,Walsh,R,44,Maffei,D,40,Und.,N/A,--
