Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Wisconsin Senate,2016,Feingold,D,47.0,Johnson,R,44.3,,,
Wisconsin Senate,2016,Feingold,D,47,Johnson,R,45,,,
Wisconsin Senate,2016,Feingold,D,45,Johnson,R,44,,,
Wisconsin Senate,2016,Feingold,D,49,Johnson,R,44,,,
Wisconsin Governor,2014,Burke,D,45.3,Walker,R,47.5,,,
Wisconsin Governor,2014,Burke,D,43,Walker,R,45,,,
Wisconsin Governor,2014,Burke,D,43,Walker,R,50,,,
Wisconsin Governor,2014,Burke,D,49,Walker,R,48,,,
Wisconsin Governor,2014,Burke,D,46,Walker,R,47,,,
Wisconsin Governor Recall Election,2012,Barrett,D,44.8,Walker,R,51.5,,,
Wisconsin Governor Recall Election,2012,Barrett,D,42,Walker,R,54,,,
Wisconsin Governor Recall Election,2012,Barrett,D,47,Walker,R,50,,,
Wisconsin Governor Recall Election,2012,Barrett,D,45,Walker,R,52,,,
Wisconsin Governor Recall Election,2012,Barrett,D,45,Walker,R,50,,,
Wisconsin Senate,2012,Baldwin,D,48.6,Thompson,R,46.4,,,
Wisconsin Senate,2012,Baldwin,D,51,Thompson,R,48,,,
Wisconsin Senate,2012,Baldwin,D,49,Thompson,R,46,,,
Wisconsin Senate,2012,Baldwin,D,48,Thompson,R,48,,,
Wisconsin Senate,2012,Baldwin,D,48,Thompson,R,47,,,
Wisconsin Senate,2012,Baldwin,D,47,Thompson,R,43,,,
Wisconsin Governor,2010,Barrett,D,43.3,Walker,R,52.0,,,
Wisconsin Governor,2010,Barrett,D,44,Walker,R,51,,,
Wisconsin Governor,2010,Barrett,D,44,Walker,R,53,,,
Wisconsin Governor,2010,Barrett,D,42,Walker,R,52,,,
Wisconsin Senate,2010,Feingold,D,45.0,Johnson,R,52.7,,,
Wisconsin Senate,2010,Feingold,D,45,Johnson,R,52,,,
Wisconsin Senate,2010,Feingold,D,44,Johnson,R,53,,,
Wisconsin Senate,2010,Feingold,D,46,Johnson,R,53,,,
Wisconsin 7th District,2010,Duffy,R,46,Lassa,D,39,,,
Wisconsin 7th District,2010,Duffy,R,44,Lassa,D,35,,,
Wisconsin 7th District,2010,Duffy,R,42,Lassa,D,33,,,
Wisconsin 8th District,2010,Kagen,D,37,Ribble,R,40,,,
Wisconsin 8th District,2010,Kagen,D,44,Ribble,R,45,,,
Wisconsin 8th District,2010,Kagen,D,39,Ribble,R,49,,,
Wisconsin 8th District,2010,Kagen,D,37,Ribble,R,40,,,
Wisconsin 8th District,2010,Kagen,D,44,Ribble,R,45,,,
Wisconsin 8th District,2010,Kagen,D,39,Ribble,R,49,,,
Wisconsin Governor Race,2006,Green,R,42.8,Doyle,D,48.8,Und.,N/A,6.0
Wisconsin Governor Race,2006,Green,R,44,Doyle,D,50,Und.,N/A,4
Wisconsin Governor Race,2006,Green,R,47,Doyle,D,47,Und.,N/A,6
Wisconsin Governor Race,2006,Green,R,36,Doyle,D,50,Und.,N/A,10
Wisconsin Governor Race,2006,Green,R,44,Doyle,D,48,Und.,N/A,4
Wisconsin - 8,2006,Gard,R,43,Kagen,D,43,Und.,N/A,10
Wisconsin - 8,2006,Gard,R,46,Kagen,D,48,Und.,N/A,6
