Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Maine 1st District,2016,Pingree,D,61,Holbrook,R,28,,,
Maine 1st District,2016,Pingree,D,57,Holbrook,R,37,,,
Maine 2nd District,2016,Poliquin,R,44,Cain,D,46,,,
Maine 2nd District,2016,Poliquin,R,50,Cain,D,45,,,
Maine Governor,2014,Cutler,I,12.3,LePage,R,41.2,Michaud,D,39.8
Maine Governor,2014,Cutler,I,9,LePage,R,44,Michaud,D,45
Maine Governor,2014,Cutler,I,13,LePage,R,42,Michaud,D,42
Maine Governor,2014,Cutler,I,7,LePage,R,35,Michaud,D,37
Maine Governor,2014,Cutler,I,13,LePage,R,40,Michaud,D,40
Maine Governor,2014,Cutler,I,16,LePage,R,45,Michaud,D,35
Maine Governor,2014,Cutler,I,16,LePage,R,41,Michaud,D,40
Maine Senate,2014,Bellows,D,32.2,Collins,R,61.4,,,
Maine Senate,2014,Bellows,D,37,Collins,R,57,,,
Maine Senate,2014,Bellows,D,32,Collins,R,64,,,
Maine Senate,2014,Bellows,D,35,Collins,R,54,,,
Maine Senate,2014,Bellows,D,27,Collins,R,67,,,
Maine Senate,2014,Bellows,D,30,Collins,R,65,,,
Maine Senate,2012,Dill,D,11.3,King,I,49.0,Summers,R,34.3
Maine Senate,2012,Dill,D,11,King,I,48,Summers,R,34
Maine Senate,2012,Dill,D,12,King,I,50,Summers,R,36
Maine Senate,2012,Dill,D,11,King,I,49,Summers,R,33
Maine 2nd District,2012,Michaud,D,50,Raye,R,46,,,
Maine 2nd District,2012,Michaud,D,55,Raye,R,36,,,
Maine 2nd District,2012,Michaud,D,52,Raye,R,32,,,
Maine 2nd District,2012,Michaud,D,56,Raye,R,37,,,
Maine 2nd District,2012,Michaud,D,54,Raye,R,39,,,
Maine 2nd District,2012,Michaud,D,47,Raye,R,35,,,
Maine 2nd District,2012,Michaud,D,53,Raye,R,37,,,
Maine Governor,2010,Cutler,I,26.5,LePage,R,39.3,Mitchell,D,23.3
Maine Governor,2010,Cutler,I,21,LePage,R,40,Mitchell,D,21
Maine Governor,2010,Cutler,I,28,LePage,R,40,Mitchell,D,24
Maine Governor,2010,Cutler,I,31,LePage,R,37,Mitchell,D,22
Maine Governor,2010,Cutler,I,26,LePage,R,40,Mitchell,D,26
Maine 1st District,2010,Pingree,D,41,Scontras,R,45,,,
Maine 1st District,2010,Pingree,D,45,Scontras,R,40,,,
Maine 1st District,2010,Pingree,D,49,Scontras,R,33,,,
Maine 1st District,2010,Pingree,D,48,Scontras,R,33,,,
Maine 1st District,2010,Pingree,D,46,Scontras,R,38,,,
Maine 1st District,2010,Pingree,D,54,Scontras,R,26,,,
Maine 1st District,2010,Pingree,D,53,Scontras,R,29,,,
Maine 1st District,2010,Pingree,D,47,Scontras,R,38,,,
Maine 2nd District,2010,Levesque,R,40,Michaud,D,44,,,
Maine 2nd District,2010,Levesque,R,30,Michaud,D,49,,,
Maine 2nd District,2010,Levesque,R,29,Michaud,D,49,,,
Maine 2nd District,2010,Levesque,R,30,Michaud,D,43,,,
Maine 2nd District,2010,Levesque,R,32,Michaud,D,44,,,
Maine 2nd District,2010,Levesque,R,28,Michaud,D,48,,,
Maine 2nd District,2010,Levesque,R,38,Michaud,D,45,,,
Maine Senate,2008,Allen,D,40.4,Collins,R,55.0,,,
Maine Senate,2008,Allen,D,41,Collins,R,57,,,
Maine Senate,2008,Allen,D,43,Collins,R,54,,,
Maine Senate,2008,Allen,D,42,Collins,R,54,,,
Maine Senate,2008,Allen,D,36,Collins,R,57,,,
Maine Senate,2008,Allen,D,40,Collins,R,53,,,
