Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Delaware Senate,2014,Coons,D,51.0,Wade,R,31.7,,,
Delaware Senate,2014,Coons,D,54,Wade,R,36,,,
Delaware Senate,2014,Coons,D,50,Wade,R,25,,,
Delaware Senate,2014,Coons,D,49,Wade,R,34,,,
Delaware Senate,2010,Coons,D,53.0,O'Donnell,R,39.0,,,
Delaware Senate,2010,Coons,D,51,O'Donnell,R,41,,,
Delaware Senate,2010,Coons,D,57,O'Donnell,R,36,,,
Delaware Senate,2010,Coons,D,51,O'Donnell,R,40,,,
Delaware At-Large,2010,Carney,D,51,Urquhart,R,44,,,
Delaware At-Large,2010,Carney,D,53,Urquhart,R,36,,,
Delaware At-Large,2010,Carney,D,53,Urquhart,R,44,,,
Delaware At-Large,2010,Carney,D,51,Urquhart,R,36,,,
Delaware At-Large,2010,Carney,D,48,Urquhart,R,37,,,
Delaware At-Large,2010,Carney,D,48,Urquhart,R,30,,,
