Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
New Hampshire Governor,2016,Sununu,R,44.4,Ostern,D,43.2,,,
New Hampshire Governor,2016,Sununu,R,37,Ostern,D,48,,,
New Hampshire Governor,2016,Sununu,R,41,Ostern,D,37,,,
New Hampshire Governor,2016,Sununu,R,48,Ostern,D,44,,,
New Hampshire Governor,2016,Sununu,R,49,Ostern,D,44,,,
New Hampshire Governor,2016,Sununu,R,47,Ostern,D,43,,,
New Hampshire Senate,2016,Ayotte,R,47.1,Hassan,D,45.6,,,
New Hampshire Senate,2016,Ayotte,R,49,Hassan,D,46,,,
New Hampshire Senate,2016,Ayotte,R,45,Hassan,D,49,,,
New Hampshire Senate,2016,Ayotte,R,46,Hassan,D,44,,,
New Hampshire Senate,2016,Ayotte,R,44,Hassan,D,42,,,
New Hampshire Senate,2016,Ayotte,R,49,Hassan,D,46,,,
New Hampshire Senate,2016,Ayotte,R,51,Hassan,D,45,,,
New Hampshire Senate,2016,Ayotte,R,46,Hassan,D,47,,,
New Hampshire 1st District,2016,Shea-Porter,D,39.0,Guinta,R,34.5,,,
New Hampshire 1st District,2016,Shea-Porter,D,37,Guinta,R,32,,,
New Hampshire 1st District,2016,Shea-Porter,D,41,Guinta,R,37,,,
N.H. Governor,2014,Hassan,D,49.2,Havenstein,R,45.7,,,
N.H. Governor,2014,Hassan,D,51,Havenstein,R,46,,,
N.H. Governor,2014,Hassan,D,50,Havenstein,R,49,,,
N.H. Governor,2014,Hassan,D,51,Havenstein,R,44,,,
N.H. Governor,2014,Hassan,D,51,Havenstein,R,42,,,
N.H. Governor,2014,Hassan,D,48,Havenstein,R,46,,,
N.H. Governor,2014,Hassan,D,44,Havenstein,R,47,,,
N.H. 1st District,2014,Guinta,R,50,Shea-Porter,D,49,,,
N.H. 1st District,2014,Guinta,R,52,Shea-Porter,D,43,,,
N.H. 1st District,2014,Guinta,R,40,Shea-Porter,D,44,,,
N.H. 1st District,2014,Guinta,R,49,Shea-Porter,D,43,,,
N.H. 1st District,2014,Guinta,R,47,Shea-Porter,D,46,,,
N.H. 1st District,2014,Guinta,R,37,Shea-Porter,D,54,,,
N.H. 1st District,2014,Guinta,R,46,Shea-Porter,D,44,,,
N.H. 1st District,2014,Guinta,R,39,Shea-Porter,D,42,,,
N.H. 1st District,2014,Guinta,R,44,Shea-Porter,D,47,,,
N.H. 1st District,2014,Guinta,R,51,Shea-Porter,D,41,,,
N.H. 1st District,2014,Guinta,R,45,Shea-Porter,D,45,,,
N.H. 1st District,2014,Guinta,R,42,Shea-Porter,D,46,,,
N.H. 1st District,2014,Guinta,R,45,Shea-Porter,D,41,,,
N.H. 1st District,2014,Guinta,R,47,Shea-Porter,D,43,,,
N.H. 1st District,2014,Guinta,R,35,Shea-Porter,D,44,,,
N.H. 1st District,2014,Guinta,R,45,Shea-Porter,D,39,,,
N.H. 1st District,2014,Guinta,R,32,Shea-Porter,D,48,,,
N.H. 1st District,2014,Guinta,R,42,Shea-Porter,D,43,,,
New Hampshire 2nd District,2014,Garcia,R,46,Kuster,D,53,,,
New Hampshire 2nd District,2014,Garcia,R,42,Kuster,D,53,,,
New Hampshire 2nd District,2014,Garcia,R,30,Kuster,D,53,,,
New Hampshire 2nd District,2014,Garcia,R,42,Kuster,D,49,,,
New Hampshire 2nd District,2014,Garcia,R,43,Kuster,D,49,,,
New Hampshire 2nd District,2014,Garcia,R,48,Kuster,D,43,,,
New Hampshire 2nd District,2014,Garcia,R,43,Kuster,D,46,,,
New Hampshire 2nd District,2014,Garcia,R,41,Kuster,D,37,,,
New Hampshire 2nd District,2014,Garcia,R,38,Kuster,D,50,,,
New Hampshire 2nd District,2014,Garcia,R,39,Kuster,D,50,,,
New Hampshire 2nd District,2014,Garcia,R,38,Kuster,D,49,,,
New Hampshire 2nd District,2014,Garcia,R,37,Kuster,D,50,,,
New Hampshire 2nd District,2014,Garcia,R,36,Kuster,D,39,,,
New Hampshire 2nd District,2014,Garcia,R,36,Kuster,D,50,,,
New Hampshire 2nd District,2014,Garcia,R,33,Kuster,D,34,,,
New Hampshire 2nd District,2014,Garcia,R,30,Kuster,D,36,,,
New Hampshire Governor,2012,Hassan,D,50.2,Lamontagne,R,44.8,,,
New Hampshire Governor,2012,Hassan,D,50,Lamontagne,R,45,,,
New Hampshire Governor,2012,Hassan,D,51,Lamontagne,R,47,,,
New Hampshire Governor,2012,Hassan,D,47,Lamontagne,R,45,,,
New Hampshire Governor,2012,Hassan,D,54,Lamontagne,R,43,,,
New Hampshire Governor,2012,Hassan,D,49,Lamontagne,R,44,,,
New Hampshire 1st District,2012,Guinta,R,46,Shea-Porter,D,49,,,
New Hampshire 1st District,2012,Guinta,R,48,Shea-Porter,D,41,,,
