Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Vermont Governor,2016,Scott,R,47,Minter,D,40,,,
Vermont Governor,2016,Scott,R,39,Minter,D,38,,,
Vermont Senate,2016,Leahy,D,59,Milne,R,22,,,
Vermont Senate,2016,Leahy,D,57,Milne,R,34,,,
Vermont Governor,2014,Milne,R,35,Shumlin,D,47,,,
Vermont Governor,2014,Milne,R,29,Shumlin,D,46,,,
Vermont Governor,2014,Milne,R,35,Shumlin,D,45,,,
Vermont Governor,2014,Milne,R,36,Shumlin,D,48,,,
Vermont Governor,2014,Milne,R,27,Shumlin,D,52,,,
Vermont Governor,2012,Brock,R,26,Shumlin,D,60,,,
Vermont Governor,2012,Brock,R,27,Shumlin,D,60,,,
Vermont Governor,2012,Brock,R,29,Shumlin,D,51,,,
Vermont Governor,2010,Dubie,R,45,Shumlin,D,50,,,
Vermont Governor,2010,Dubie,R,44,Shumlin,D,43,,,
Vermont Governor,2010,Dubie,R,46,Shumlin,D,49,,,
Vermont Governor,2010,Dubie,R,55,Shumlin,D,36,,,
Vermont Governor,2010,Dubie,R,51,Shumlin,D,33,,,
Vermont Governor,2010,Dubie,R,45,Shumlin,D,35,,,
Vermont Senate,2010,Britton,R,27,Leahy,D,62,,,
Vermont Senate,2010,Britton,R,32,Leahy,D,62,,,
Vermont Senate,2010,Britton,R,29,Leahy,D,64,,,
