Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Kentucky Senate,2016,Paul,R,55,Gray,D,39,,,
Kentucky Senate,2016,Paul,R,50,Gray,D,38,,,
Kentucky Governor,2015,Conway,D,44.3,Bevin,R,41.3,Curtis,I,6.3
Kentucky Governor,2015,Conway,D,44,Bevin,R,44,Curtis,I,6
Kentucky Governor,2015,Conway,D,45,Bevin,R,40,Curtis,I,6
Kentucky Governor,2015,Conway,D,45,Bevin,R,40,Curtis,I,7
Kentucky Governor,2015,Conway,D,43,Bevin,R,41,Curtis,I,6
Kentucky Governor,2011,Beshear,D,54,Galbraith,I,9,Williams,R,29
Kentucky Governor,2011,Beshear,D,55,Galbraith,I,10,Williams,R,28
Kentucky Governor,2011,Beshear,D,51,Galbraith,I,6,Williams,R,30
Kentucky Senate,2010,Conway,D,40.8,Paul,R,51.8,,,
Kentucky Senate,2010,Conway,D,40,Paul,R,55,,,
Kentucky Senate,2010,Conway,D,41,Paul,R,53,,,
Kentucky Senate,2010,Conway,D,39,Paul,R,47,,,
Kentucky Senate,2010,Conway,D,43,Paul,R,52,,,
Kentucky 3rd District,2010,Lally,R,46,Yarmuth,D,50,,,
Kentucky 3rd District,2010,Lally,R,31,Yarmuth,D,58,,,
Kentucky 3rd District,2010,Lally,R,30,Yarmuth,D,53,,,
Kentucky 3rd District,2010,Lally,R,45,Yarmuth,D,47,,,
Kentucky 3rd District,2010,Lally,R,29,Yarmuth,D,52,,,
Kentucky 6th District,2010,Barr,R,44,Chandler,D,48,,,
Kentucky 6th District,2010,Barr,R,37,Chandler,D,51,,,
Kentucky 6th District,2010,Barr,R,32,Chandler,D,46,,,
Kentucky Senate,2008,Lunsford,D,43.8,McConnell,R,49.5,,,
Kentucky Senate,2008,Lunsford,D,45,McConnell,R,53,,,
Kentucky Senate,2008,Lunsford,D,44,McConnell,R,51,,,
Kentucky Senate,2008,Lunsford,D,44,McConnell,R,47,,,
Kentucky Senate,2008,Lunsford,D,42,McConnell,R,47,,,
Kentucky 3rd District,2008,Northup,R,41,Yarmuth,D,57,,,
Kentucky 3rd District,2008,Northup,R,45,Yarmuth,D,53,,,
Kentucky 3rd District,2008,Northup,R,43,Yarmuth,D,53,,,
Kentucky 3rd District,2008,Northup,R,40,Yarmuth,D,57,,,
Kentucky - 3,2006,Northup,R,44,Yarmuth,D,52,Und.,N/A,--
Kentucky - 3,2006,Northup,R,46,Yarmuth,D,52,Und.,N/A,--
Kentucky - 3,2006,Northup,R,48,Yarmuth,D,42,Und.,N/A,--
Kentucky - 3,2006,Northup,R,47,Yarmuth,D,48,Und.,N/A,--
Kentucky - 3,2006,Northup,R,45,Yarmuth,D,44,Und.,N/A,--
Kentucky - 3,2006,Northup,R,48,Yarmuth,D,48,Und.,N/A,--
Kentucky - 3,2006,Northup,R,50,Yarmuth,D,44,Und.,N/A,--
Kentucky - 3,2006,Northup,R,47,Yarmuth,D,46,Und.,N/A,--
Kentucky - 4,2006,Davis,R,42,Lucas,D,45,Und.,N/A,8
Kentucky - 4,2006,Davis,R,46,Lucas,D,50,Und.,N/A,5
Kentucky - 4,2006,Davis,R,46,Lucas,D,44,Und.,N/A,3
Kentucky - 4,2006,Davis,R,49,Lucas,D,46,Und.,N/A,4
Kentucky - 4,2006,Davis,R,47,Lucas,D,44,Und.,N/A,3
Kentucky - 4,2006,Davis,R,42,Lucas,D,36,Und.,N/A,20
Kentucky - 4,2006,Davis,R,44,Lucas,D,48,Und.,N/A,8
Kentucky - 4,2006,Davis,R,49,Lucas,D,46,Und.,N/A,5
Kentucky - 4,2006,Davis,R,46,Lucas,D,44,Und.,N/A,10
Kentucky - 4,2006,Davis,R,41,Lucas,D,50,Und.,N/A,8
Kentucky - 4,2006,Davis,R,36,Lucas,D,50,Und.,N/A,--
Kentucky - 4,2006,Davis,R,37,Lucas,D,47,Und.,N/A,--
