Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
New Mexico Governor,2014,King,D,37.7,Martinez,R,51.0,,,
New Mexico Governor,2014,King,D,38,Martinez,R,53,,,
New Mexico Governor,2014,King,D,38,Martinez,R,50,,,
New Mexico Governor,2014,King,D,37,Martinez,R,50,,,
New Mexico Senate,2014,Udall,D,50,Weh,R,43,,,
New Mexico Senate,2014,Udall,D,52,Weh,R,36,,,
New Mexico Senate,2014,Udall,D,53,Weh,R,35,,,
New Mexico Senate,2014,Udall,D,52,Weh,R,39,,,
New Mexico Senate,2014,Udall,D,51,Weh,R,38,,,
New Mexico Senate,2014,Udall,D,54,Weh,R,36,,,
New Mexico Senate,2014,Udall,D,53,Weh,R,35,,,
New Mexico Senate,2014,Udall,D,52,Weh,R,44,,,
New Mexico Senate,2014,Udall,D,54,Weh,R,33,,,
New Mexico Senate,2014,Udall,D,53,Weh,R,33,,,
New Mexico Senate,2016,Heinrich,D,51.3,Wilson,R,40.7,,,
New Mexico Senate,2016,Heinrich,D,50,Wilson,R,42,,,
New Mexico Senate,2016,Heinrich,D,52,Wilson,R,39,,,
New Mexico Senate,2016,Heinrich,D,52,Wilson,R,41,,,
New Mexico 1st District,2012,Arnold-Jones,R,36,Grisham,D,51,,,
New Mexico 1st District,2012,Arnold-Jones,R,37,Grisham,D,51,,,
New Mexico 1st District,2012,Arnold-Jones,R,34,Grisham,D,46,,,
New Mexico Governor,2010,Denish,D,42.3,Martinez,R,53.0,,,
New Mexico Governor,2010,Denish,D,43,Martinez,R,53,,,
New Mexico Governor,2010,Denish,D,42,Martinez,R,52,,,
New Mexico Governor,2010,Denish,D,42,Martinez,R,54,,,
New Mexico 1st District,2010,Barela,R,49,Heinrich,D,46,,,
New Mexico 1st District,2010,Barela,R,41,Heinrich,D,48,,,
New Mexico 1st District,2010,Barela,R,43,Heinrich,D,50,,,
New Mexico 1st District,2010,Barela,R,42,Heinrich,D,49,,,
New Mexico 1st District,2010,Barela,R,41,Heinrich,D,47,,,
New Mexico 1st District,2010,Barela,R,51,Heinrich,D,45,,,
New Mexico 1st District,2010,Barela,R,36,Heinrich,D,45,,,
New Mexico 2nd District,2010,Pearce,R,48,Teague,D,45,,,
New Mexico 2nd District,2010,Pearce,R,46,Teague,D,42,,,
New Mexico 2nd District,2010,Pearce,R,45,Teague,D,44,,,
New Mexico 2nd District,2010,Pearce,R,48,Teague,D,47,,,
New Mexico 2nd District,2010,Pearce,R,42,Teague,D,45,,,
New Mexico 2nd District,2010,Pearce,R,43,Teague,D,41,,,
New Mexico 3rd District,2010,Lujan,D,49,Mullins,R,43,,,
New Mexico 3rd District,2010,Lujan,D,42,Mullins,R,36,,,
New Mexico Senate,2008,Pearce,R,39.7,Udall,D,54.3,,,
New Mexico Senate,2008,Pearce,R,42,Udall,D,56,,,
New Mexico Senate,2008,Pearce,R,41,Udall,D,56,,,
New Mexico Senate,2008,Pearce,R,36,Udall,D,51,,,
New Mexico 1st District,2008,Heinrich,D,51,White,R,46,,,
New Mexico Governor Race,2006,Dendahl,R,28,Richardson,D,60,Und.,N/A,12
New Mexico Governor Race,2006,Dendahl,R,26,Richardson,D,61,Und.,N/A,7
New Mexico Governor Race,2006,Dendahl,R,28,Richardson,D,57,Und.,N/A,11
New Mexico-1,2006,Wilson,R,45,Madrid,D,49,Und.,N/A,6
New Mexico-1,2006,Wilson,R,48,Madrid,D,46,Und.,N/A,5
New Mexico-1,2006,Wilson,R,44,Madrid,D,53,Und.,N/A,2
New Mexico-1,2006,Wilson,R,42,Madrid,D,45,Und.,N/A,9
New Mexico-1,2006,Wilson,R,45,Madrid,D,53,Und.,N/A,3
New Mexico-1,2006,Wilson,R,44,Madrid,D,52,Und.,N/A,4
New Mexico-1,2006,Wilson,R,40,Madrid,D,50,Und.,N/A,6
New Mexico-1,2006,Wilson,R,44,Madrid,D,44,Und.,N/A,7
New Mexico-1,2006,Wilson,R,51,Madrid,D,46,Und.,N/A,3
New Mexico-1,2006,Wilson,R,45,Madrid,D,42,Und.,N/A,10
New Mexico-1,2006,Wilson,R,48,Madrid,D,45,Und.,N/A,7
New Mexico-1,2006,Wilson,R,46,Madrid,D,44,Und.,N/A,10
New Mexico-1,2006,Wilson,R,44,Madrid,D,43,Und.,N/A,--
