Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
2017 Montana At-Large,2017,Gianforte,R,49,Quist,D,35,Wicks,L,8
2017 Montana At-Large,2017,Gianforte,R,45,Quist,D,37,Wicks,L,5
2017 Montana At-Large,2017,Gianforte,R,52,Quist,D,39,Wicks,L,6
Montana Governor,2016,Bullock,D,44,Gianforte,R,32,,,
Montana At-Large,2016,Zinke,R,50,Juneau,D,31,,,
Montana At-Large,2014,Lewis,D,33,Zinke,R,40,,,
Montana Governor,2012,Bullock,D,44.0,Hill,R,45.7,,,
Montana Governor,2012,Bullock,D,48,Hill,R,48,,,
Montana Governor,2012,Bullock,D,46,Hill,R,49,,,
Montana Governor,2012,Bullock,D,38,Hill,R,40,,,
Montana Senate,2012,Rehberg,R,47.7,Tester,D,47.3,,,
Montana Senate,2012,Rehberg,R,46,Tester,D,48,,,
Montana Senate,2012,Rehberg,R,49,Tester,D,45,,,
Montana Senate,2012,Rehberg,R,48,Tester,D,49,,,
Montana At-Large,2012,Daines,R,48,Gillan,D,44,,,
Montana At-Large,2012,Daines,R,51,Gillan,D,40,,,
Montana At-Large,2012,Daines,R,43,Gillan,D,34,,,
Montana At-Large,2012,Daines,R,36,Gillan,D,23,,,
Montana At-Large,2012,Daines,R,46,Gillan,D,38,,,
Montana At-Large,2012,Daines,R,40,Gillan,D,37,,,
Montana At-Large,2012,Daines,R,33,Gillan,D,27,,,
Montana At-Large,2012,Daines,R,35,Gillan,D,27,,,
Montana Senate Race,2006,Burns,R,45.5,Tester,D,48.5,Und.,N/A,4.0
Montana Senate Race,2006,Burns,R,48,Tester,D,50,Und.,N/A,1
Montana Senate Race,2006,Burns,R,41,Tester,D,50,Und.,N/A,6
Montana Senate Race,2006,Burns,R,47,Tester,D,47,Und.,N/A,5
Montana Senate Race,2006,Burns,R,46,Tester,D,47,Und.,N/A,4
