Race,Year,Cand 1,Cand 1 Party,Cand 1 Result,Cand 2,Cand 2 Party,Cand 2 Result,Cand 3,Cand 3 Party,Cand 3 Result
Nevada Senate,2016,Cortez Masto,D,47.3,Heck,R,45.5,,,
Nevada Senate,2016,Cortez Masto,D,48,Heck,R,47,,,
Nevada Senate,2016,Cortez Masto,D,49,Heck,R,43,,,
Nevada Senate,2016,Cortez Masto,D,45,Heck,R,43,,,
Nevada Senate,2016,Cortez Masto,D,47,Heck,R,49,,,
Nevada Senate,2012,Berkley,D,44.0,Heller,R,48.0,,,
Nevada Senate,2012,Berkley,D,46,Heller,R,48,,,
Nevada Senate,2012,Berkley,D,40,Heller,R,46,,,
Nevada Senate,2012,Berkley,D,45,Heller,R,48,,,
Nevada Senate,2012,Berkley,D,45,Heller,R,50,,,
Nevada 3rd District,2012,Heck,R,50,Oceguera,D,40,,,
Nevada 4th District,2012,Horsford,D,42,Tarkanian,R,47,,,
Nevada 4th District,2012,Horsford,D,42,Tarkanian,R,45,,,
Nevada Governor,2010,Reid,D,39.0,Sandoval,R,55.7,,,
Nevada Governor,2010,Reid,D,44,Sandoval,R,55,,,
Nevada Governor,2010,Reid,D,38,Sandoval,R,54,,,
Nevada Governor,2010,Reid,D,35,Sandoval,R,58,,,
Nevada Senate,2010,Angle,R,48.0,Reid,D,45.3,,,
Nevada Senate,2010,Angle,R,47,Reid,D,46,,,
Nevada Senate,2010,Angle,R,48,Reid,D,45,,,
Nevada Senate,2010,Angle,R,49,Reid,D,45,,,
Nevada 3rd District,2010,Heck,R,53,Titus,D,43,,,
Nevada 3rd District,2010,Heck,R,47,Titus,D,44,,,
Nevada 3rd District,2010,Heck,R,43,Titus,D,47,,,
Nevada 3rd District,2010,Heck,R,48,Titus,D,45,,,
Nevada 3rd District,2010,Heck,R,42,Titus,D,43,,,
Nevada 3rd District,2010,Heck,R,40,Titus,D,42,,,
Nevada 3rd District,2010,Heck,R,49,Titus,D,44,,,
Nevada 3rd District,2010,Heck,R,40,Titus,D,40,,,
Nevada 3rd District,2008,Porter,R,45,Titus,D,47,,,
Nevada 3rd District,2008,Porter,R,43,Titus,D,40,,,
Nevada 3rd District,2008,Porter,R,45,Titus,D,42,,,
Nevada Governor Race,2006,Gibbons,R,46.3,Titus,D,42.3,Und.,N/A,6.3
Nevada Governor Race,2006,Gibbons,R,48,Titus,D,46,Und.,N/A,5
Nevada Governor Race,2006,Gibbons,R,44,Titus,D,40,Und.,N/A,8
Nevada Governor Race,2006,Gibbons,R,47,Titus,D,41,Und.,N/A,6
Nevada - 2,2006,Heller,R,48,Derby,D,40,Und.,N/A,12
Nevada - 2,2006,Heller,R,40,Derby,D,40,Und.,N/A,15
Nevada - 2,2006,Heller,R,45,Derby,D,42,Und.,N/A,12
Nevada - 2,2006,Heller,R,45,Derby,D,37,Und.,N/A,18
Nevada - 2,2006,Heller,R,39,Derby,D,31,Und.,N/A,--
Nevada - 2,2006,Heller,R,43,Derby,D,25,Und.,N/A,--
Nevada - 3,2006,Porter,R,51,Hafen,D,44,Und.,N/A,5
Nevada - 3,2006,Porter,R,47,Hafen,D,37,Und.,N/A,13
Nevada - 3,2006,Porter,R,51,Hafen,D,43,Und.,N/A,6
