office,candidate,party,state,incumbency,result,total money,district
State Senator,Ira Lapides,IND,TN,Open,Lost-General,14726.96,8
State Representative,Vince Dean,REP,TN,Incumbent,Won-General,14400.0,30
State Representative,James Coley,REP,TN,Incumbent,Won-General,14145.99,97
State Representative,Eddie Bass,DEM,TN,Incumbent,Won-General,12600.0,65
State Representative,Joe Towns Jr.,DEM,TN,Incumbent,Won-General,11525.0,84
State Representative,John Tidwell,DEM,TN,Incumbent,Won-General,11282.5,74
State Representative,Jeanne Richardson,DEM,TN,Incumbent,Won-General,8275.0,89
State Representative,Rip Van Winkle,REP,TN,Challenger,Lost-General,8260.0,37
State Representative,Tommie Brown,DEM,TN,Incumbent,Won-General,7675.0,28
State Representative,John Mark Windle,DEM,TN,Incumbent,Won-General,7650.0,41
State Representative,Michael Blain Surgenor,DEM,TN,Challenger,Lost-General,7441.57,1
State Senator,Bill Jones,DEM,TN,Challenger,Lost-General,6633.25,2
State Representative,David Seal,IND,TN,Challenger,Lost-General,5295.0,17
State Representative,Rory Bricco,REP,TN,Challenger,Lost-General,5033.1,81
State Senator,Gary Farmer,DEM,TN,Challenger,Lost-General,4482.0,6
State Representative,Alex Moseley,REP,TN,Challenger,Lost-General,4238.0,33
State Representative,Tim Cook,REP,TN,Challenger,Lost-General,3839.03,93
State Representative,W Hampton Sr.,DEM,TN,Challenger,Lost-General,3589.66,70
State Representative,Casey Nicholson,DEM,TN,Challenger,Lost-General,2875.0,5
State Representative,Ron Hickman,REP,TN,Challenger,Lost-General,2807.95,60
State Representative,Timothy Lee,REP,TN,Challenger,Lost-General,2700.0,55
State Representative,Stephen Childers,IND,TN,Open,Lost-General,2142.41,71
State Representative,David Vinciarelli,IND,TN,Challenger,Lost-General,1340.75,88
State Representative,Mike Williams,IND,TN,Challenger,Lost-General,528.33,7
State Representative,Greg Cain,IND,TN,Challenger,Lost-General,289.89,24
State Representative,Lisa Leeds,IND,TN,Challenger,Lost-General,160.0,58
State Representative,Rachel Ray,REP,TN,Challenger,Lost-General,20.0,15
State Representative,Wm Ryan Akin,IND,TN,Challenger,Lost-General,0.0,69
State Representative,Ray Amalfitano,IND,TN,Open,Lost-General,0.0,40
State Representative,Edward Baldwin,IND,TN,Challenger,Lost-General,0.0,35
State Senator,Oscar Brown,REP,TN,Challenger,Lost-General,0.0,10
State Representative,Timothy Edward Cook Jr.,REP,TN,Challenger,Lost-General,0.0,91
State Representative,George Edwards III,REP,TN,Challenger,Lost-General,0.0,86
State Senator,Christopher Fenner,IND,TN,Open,Lost-General,0.0,12
State Representative,Richard Dale Gabriel,DEM,TN,Challenger,Lost-General,0.0,9
State Representative,Virgil Kidwell,IND,TN,Open,Lost-General,0.0,36
State Representative,Basil Marceaux Jr.,REP,TN,Challenger,Lost-General,0.0,29
State Representative,Leonard Merritt,IND,TN,Challenger,Lost-General,0.0,9
State Representative,Dan Scott,IND,TN,Open,Lost-General,0.0,52
State Representative,Priscilla Steele,IND,TN,Challenger,Lost-General,0.0,4
Appellate Court District Middle-Bennett Seat,Andy Bennett,IND,TN,Incumbent,Won-Retention,0.0,nan
Appellate Court District Middle-Dinkins Seat,Richard Dinkins,IND,TN,Incumbent,Won-Retention,0.0,nan
Supreme Court-Koch Seat,William Koch Jr.,IND,TN,Incumbent,Won-Retention,0.0,nan
Criminal Appellate Court District Western-Mcmullen Seat,Camille McMullen,IND,TN,Incumbent,Won-Retention,0.0,nan
Appellate Court District Western-Stafford Seat,Steven Stafford,IND,TN,Incumbent,Won-Retention,0.0,nan
Criminal Appellate Court District Eastern-Thomas Seat,Kelly Thomas Jr.,IND,TN,Incumbent,Won-Retention,0.0,nan
Supreme Court-Wade Seat,Gary Wade,IND,TN,Incumbent,Won-Retention,0.0,nan
