office,candidate,party,state,incumbency,result,total money,district
Representative Ninth Norfolk,Richard Ross,REP,MA,Incumbent,Won-General,60149.83,nan
Representative Twenty-Eighth Middlesex,Stephen Stat Smith,DEM,MA,Incumbent,Won-General,59665.88,nan
Representative Twelfth Plymouth,Thomas Calter III,DEM,MA,Incumbent,Won-General,59212.99,nan
Representative Second Middlesex,Paul Avella,REP,MA,Open,Lost-General,59100.33,nan
Representative Fourth Berkshire,William Pignatelli,DEM,MA,Incumbent,Won-General,59065.0,nan
Representative Thirty-Second Middlesex,Katherine Clark,DEM,MA,Incumbent,Won-General,58975.23,nan
"Representative Barnstable, Dukes And Nantucket",Daniel James Larkosh,DEM,MA,Open,Lost-General,58814.87,nan
Representative Seventeenth Essex,Barry Finegold,DEM,MA,Incumbent,Won-General,58797.76,nan
Representative Fourth Middlesex,Danielle Gregoire,DEM,MA,Open,Won-General,58352.91,nan
Representative Third Bristol,James Fagan,DEM,MA,Incumbent,Won-General,58263.99,nan
Representative Thirteenth Middlesex,Thomas Conroy,DEM,MA,Incumbent,Won-General,58123.9,nan
Representative Sixth Worcester,Ronald Chernisky,REP,MA,Challenger,Lost-General,57820.36,nan
Representative Fourth Middlesex,Arthur Vigeant,REP,MA,Open,Lost-General,57514.81,nan
Representative Eighteenth Essex,Barbara Litalien,DEM,MA,Incumbent,Won-General,57485.0,nan
Representative Fifth Hampden,Michael Kane,DEM,MA,Incumbent,Won-General,57421.94,nan
Representative Fifteenth Suffolk,Jeffrey Sanchez,DEM,MA,Incumbent,Won-General,56925.0,nan
Representative Ninth Essex,Mark Falzone,DEM,MA,Incumbent,Won-General,56536.62,nan
Senator Second Middlesex And Norfolk,Karen Spilka,DEM,MA,Incumbent,Won-General,55900.95,nan
Representative First Plymouth,Viriato Manuel Demacedo,REP,MA,Incumbent,Won-General,54670.0,nan
Representative Second Hampden,William Scibelli,REP,MA,Challenger,Lost-General,54396.5,nan
Representative Eleventh Essex,Steven Walsh,DEM,MA,Incumbent,Won-General,53871.0,nan
Representative Thirteenth Bristol,Antonio D Cabral,DEM,MA,Incumbent,Won-General,53606.44,nan
Representative Thirteenth Norfolk,Lida Harkins,DEM,MA,Incumbent,Won-General,53241.21,nan
Executive Councilor District 006,Michael Callahan,DEM,MA,Incumbent,Won-General,52254.0,nan
Representative Fifth Plymouth,Robert Nyman,DEM,MA,Incumbent,Won-General,51091.75,nan
Representative Sixth Middlesex,Pam Richardson,DEM,MA,Incumbent,Won-General,50921.96,nan
Representative Eighth Middlesex,Carolyn Dykema,DEM,MA,Open,Won-General,50641.52,nan
Representative Second Barnstable,Demetruis Atsalis,DEM,MA,Incumbent,Won-General,50507.79,nan
Representative Seventh Worcester,Paul Frost,REP,MA,Incumbent,Won-General,50489.99,nan
Representative Fifteenth Worcester,Vincent Pedone,DEM,MA,Incumbent,Won-General,50360.01,nan
Representative Eighth Suffolk,Martha Marty Walz,DEM,MA,Incumbent,Won-General,49288.06,nan
Representative Eleventh Norfolk,Paul McMurtry,DEM,MA,Incumbent,Won-General,48754.0,nan
Representative Sixth Hampden,James Welch,DEM,MA,Incumbent,Won-General,48151.0,nan
Representative Second Middlesex,James Arciero,DEM,MA,Open,Won-General,47981.95,nan
Representative Third Barnstable,Matthew Patrick,DEM,MA,Incumbent,Won-General,47380.79,nan
Representative Second Bristol,Bill Bowles,DEM,MA,Open,Won-General,47237.79,nan
Senator Fourth Middlesex,Brion Cangiamila,REP,MA,Open,Lost-General,47050.96,nan
