office,candidate,party,state,incumbency,result,total money,district
Governor,Beverly Perdue,DEM,NC,Open,Won-General,14704018.79,nan
Governor,Patrick McCrory,REP,NC,Open,Lost-General,6191739.34,nan
Lieutenant Governor,Robert Pittenger,REP,NC,Open,Lost-General,5517555.31,nan
Lieutenant Governor,Walter Dalton,DEM,NC,Open,Won-General,2478523.27,nan
Attorney General,Roy Asberry Cooper III,DEM,NC,Incumbent,Won-General,2351412.03,nan
Treasurer,Janet Cowell,DEM,NC,Open,Won-General,1749008.05,nan
State Senator,Marc Basnight,DEM,NC,Incumbent,Won-General,1606894.19,1
Attorney General,Bob Crumley,REP,NC,Challenger,Lost-General,1055717.54,nan
State Representative,Joe Hackney,DEM,NC,Incumbent,Won-General,923944.96,54
State Senator,Robert C) Soles Jr.,DEM,NC,Incumbent,Won-General,814233.16,8
State Senator,Julia Boseman,DEM,NC,Incumbent,Won-General,805440.68,9
State Senator,Keith Melton,DEM,NC,Open,Lost-General,725998.88,46
Treasurer,Bill Daughtridge Jr.,REP,NC,Open,Lost-General,696789.9,nan
State Senator,Tony Foriest,DEM,NC,Incumbent,Won-General,659191.66,24
State Senator,David Hoyle,DEM,NC,Incumbent,Won-General,645043.86,43
Agriculture Commissioner,Steve Troxler,REP,NC,Incumbent,Won-General,553623.04,nan
State Senator,Joshua Stein,DEM,NC,Open,Won-General,542345.92,16
State Senator,Joe Sam Queen,DEM,NC,Incumbent,Won-General,515965.19,47
Auditor,Leslie Merritt,REP,NC,Incumbent,Lost-General,508966.77,nan
State Senator,Tony Rand,DEM,NC,Incumbent,Won-General,505448.97,19
Insurance Commissioner,Wayne Goodwin,DEM,NC,Open,Won-General,485606.48,nan
State Senator,Robert Rucho,REP,NC,Incumbent,Won-General,476455.0,39
State Senator,Donald Davis,DEM,NC,Open,Won-General,456876.07,5
Insurance Commissioner,John Odom,REP,NC,Open,Lost-General,433844.81,nan
State Senator,Richard Gunn Jr.,REP,NC,Challenger,Lost-General,386875.32,24
Superintendent Of Public Instruction,June St Clair Atkinson,DEM,NC,Incumbent,Won-General,378110.31,nan
State Senator,David Cheston Rouzer,REP,NC,Open,Won-General,369119.12,12
State Representative,Randy Stewart,DEM,NC,Open,Won-General,353170.72,25
State Representative,Ty Harrell,DEM,NC,Incumbent,Won-General,347040.92,41
State Representative,Hugh Holliman,DEM,NC,Incumbent,Won-General,345227.72,81
Supreme Court-Edmunds Seat,Robert Edmunds Jr.,IND,NC,Incumbent,Won-General,340237.37,nan
Supreme Court-Edmunds Seat,Suzanne Reynolds,IND,NC,Challenger,Lost-General,325607.69,nan
State Senator,Louis Milford Pate Jr.,REP,NC,Open,Lost-General,305011.23,5
State Representative,Margaret Highsmith Dickson,DEM,NC,Incumbent,Won-General,293146.2,44
State Representative,Barbara Garrity-Blake,DEM,NC,Challenger,Lost-General,275254.0,13
State Senator,Michael Vincent Lee,REP,NC,Challenger,Lost-General,262372.21,9
State Representative,Joseph Lindsey Tart,DEM,NC,Challenger,Lost-General,258834.35,53
Appellate Court-Mccullough Seat,John Douglas McCullough,IND,NC,Incumbent,Lost-General,257302.1,nan
State Senator,Linda Garrou,DEM,NC,Incumbent,Won-General,255568.52,32
State Representative,Jane Whilden,DEM,NC,Open,Won-General,254562.07,116
Appellate Court-Stephens Seat,Linda Stephens,IND,NC,Incumbent,Won-General,252682.68,nan
State Representative,Ray Warren,DEM,NC,Incumbent,Won-General,251169.47,88
Appellate Court-Tyson Seat,Kristin Ruth,IND,NC,Open,Lost-General,249823.17,nan
Appellate Court-Arrowood Seat,John Stanley Arrowood,IND,NC,Incumbent,Lost-General,247459.88,nan
Appellate Court-Arrowood Seat,Robert Neal Hunter Jr.,IND,NC,Challenger,Won-General,247112.7,nan
State Representative,Pryor Gibson,DEM,NC,Incumbent,Won-General,245103.16,69
State Representative,Cullie Tarleton,DEM,NC,Incumbent,Won-General,244288.7,93
State Representative,Van Braxton,DEM,NC,Incumbent,Won-General,241480.0,10
State Senator,Debbie Ann Clary,REP,NC,Open,Won-General,239306.03,46
Labor Commissioner,Cherie Berry,REP,NC,Incumbent,Won-General,238221.11,nan
Appellate Court-Stephens Seat,Charles Daniel Barrett,IND,NC,Challenger,Lost-General,237958.84,nan
Appellate Court-Mccullough Seat,Cheri Lynn Beasley,IND,NC,Challenger,Won-General,236800.68,nan
Secretary Of State,Elaine Marshall,DEM,NC,Incumbent,Won-General,235968.0,nan
Appellate Court-Tyson Seat,Samuel James Ervin IV,IND,NC,Open,Won-General,232151.68,nan
