office,candidate,party,state,incumbency,result,total money,district
State Representative,William Glaser,REP,MT,Incumbent,Won-General,8135.0,44
State Representative,Michele Reinhart,DEM,MT,Incumbent,Won-General,8108.0,97
State Representative,Scott Reichner,REP,MT,Open,Won-General,8033.0,9
State Senator,Max Graham,REP,MT,Challenger,Lost-General,7987.4,26
State Representative,Yvonne Gritzner,DEM,MT,Challenger,Lost-General,7963.0,90
State Representative,Patricia Banister,REP,MT,Open,Lost-General,7950.5,38
Public Service Commissioner District 004,Douglas Mood,REP,MT,Incumbent,Lost-General,7779.73,nan
State Representative,Ron Stoker,REP,MT,Incumbent,Won-General,7720.0,87
State Representative,Tari Elam,REP,MT,Challenger,Lost-General,7567.28,80
State Representative,Will Deschamps,REP,MT,Open,Lost-General,7483.29,98
State Representative,Pat Noonan,DEM,MT,Open,Won-General,7461.0,73
State Representative,Elsie Arntzen,REP,MT,Incumbent,Won-General,7363.1,53
State Representative,Kim Miller,DEM,MT,Open,Lost-General,7165.0,71
State Representative,Robyn Driscoll,DEM,MT,Incumbent,Won-General,6794.0,51
State Representative,Edd Blackler,DEM,MT,Open,Lost-General,6712.97,9
State Representative,John Fuller,REP,MT,Challenger,Lost-General,6712.78,4
State Senator,Jim Keane,DEM,MT,Open,Won-General,6630.0,38
State Representative,Ronald Marquardt,REP,MT,Open,Lost-General,6380.28,12
State Representative,Bob Wagner,REP,MT,Open,Won-General,6315.0,71
State Senator,Jesse Laslovich,DEM,MT,Incumbent,Won-General,6225.0,43
State Representative,Ray Hawk,REP,MT,Incumbent,Won-General,6170.0,90
State Representative,Stan Voreyer,DEM,MT,Challenger,Lost-General,6155.06,77
State Senator,Kim Gillan,DEM,MT,Incumbent,Won-General,6140.0,24
State Representative,Sue Dickenson,DEM,MT,Incumbent,Won-General,6118.02,25
State Representative,Brady Wiseman,DEM,MT,Incumbent,Won-General,6068.96,65
State Representative,Roy Hollandsworth,REP,MT,Open,Won-General,6032.29,28
State Representative,Dennis Getz,DEM,MT,Open,Won-General,5830.74,38
State Representative,Bill Beck,REP,MT,Incumbent,Won-General,5755.0,6
State Representative,Trudy Skari,DEM,MT,Open,Lost-General,5739.02,28
State Representative,Gordon Vance,REP,MT,Open,Won-General,5700.0,67
State Representative,Robert Brastrup,DEM,MT,Challenger,Lost-General,5654.0,68
State Senator,Joe Balyeat,REP,MT,Incumbent,Won-General,5595.0,34
State Representative,Thomas Berry,REP,MT,Open,Won-General,5480.0,45
State Representative,Gary Maclaren,REP,MT,Incumbent,Won-General,5290.0,89
State Representative,George Day,IND,MT,Open,Lost-General,5248.0,56
State Representative,Diane Sands,DEM,MT,Incumbent,Won-General,5234.6,95
State Representative,Jon Sonju,REP,MT,Incumbent,Won-General,5202.0,7
State Representative,Gordon Hendrick,REP,MT,Incumbent,Won-General,5160.0,14
State Senator,John Brueggeman,REP,MT,Incumbent,Won-General,5130.0,6
State Representative,Mark Wade Blasdel,REP,MT,Incumbent,Won-General,5099.0,10
State Representative,Nick Ethridge,DEM,MT,Challenger,Lost-General,4927.0,19
State Representative,Keith Regier,REP,MT,Open,Won-General,4675.0,5
State Representative,Robin Hamilton,DEM,MT,Incumbent,Won-General,4664.95,92
State Representative,John Milanovich,REP,MT,Challenger,Lost-General,4636.0,66
State Representative,Betsy Hands,DEM,MT,Incumbent,Won-General,4630.24,99
State Senator,Lynn Giles,DEM,MT,Open,Lost-General,4571.0,36
State Representative,Harry Klock,REP,MT,Incumbent,Won-General,4529.0,83
State Senator,Sharon Stewart-Peregoy,DEM,MT,Open,Won-General,4308.08,21
State Representative,Lee Randall,REP,MT,Open,Won-General,4304.0,39
State Representative,Steven Eschenbacher,REP,MT,Challenger,Lost-General,4230.0,96
State Representative,Penny Hanson,DEM,MT,Challenger,Lost-General,4203.0,47
State Representative,Walt Hill,REP,MT,Open,Lost-General,4155.0,91
State Senator,Steve Gallus,DEM,MT,Incumbent,Won-General,4148.0,37
Governor,Stanley Jones,LIB,MT,Challenger,Lost-General,4028.6,nan
State Representative,Nicholas Mahan,REP,MT,Challenger,Lost-General,3860.0,65
State Senator,Robert Dwyer,REP,MT,Challenger,Lost-General,3770.0,37
State Representative,George Groesbeck,DEM,MT,Incumbent,Won-General,3710.0,74
State Representative,Penny Morgan,REP,MT,Incumbent,Won-General,3680.0,57
State Representative,Wayne Stahl,REP,MT,Incumbent,Won-General,3485.0,35
State Representative,Dan Villa,DEM,MT,Incumbent,Won-General,3405.0,86
State Representative,Dave Kasten,REP,MT,Incumbent,Won-General,3210.0,30
State Representative,William Jeremiah Schubert,REP,MT,Challenger,Lost-General,3200.0,85
State Representative,Bill Wilson,DEM,MT,Incumbent,Won-General,3105.0,22
State Representative,Joel Steinmetz,DEM,MT,Open,Lost-General,3050.0,67
State Representative,Russell Bean,REP,MT,Open,Won-General,2955.0,17
State Representative,Pete Rising,REP,MT,Challenger,Lost-General,2890.0,36
State Representative,Laura McGee,DEM,MT,Challenger,Lost-General,2889.15,18
State Representative,Carla Augustad,DEM,MT,Challenger,Lost-General,2797.17,10
State Representative,Leroy Baublitz,DEM,MT,Challenger,Lost-General,2777.78,35
State Representative,Dan Teigen,DEM,MT,Challenger,Lost-General,2775.0,30
State Representative,Cynthia Hiner,DEM,MT,Incumbent,Won-General,2560.0,85
State Representative,Walter McNutt,REP,MT,Incumbent,Won-General,2560.0,37
State Representative,Ken Champion,REP,MT,Challenger,Lost-General,2445.0,64
State Senator,Donald Steinbeisser,REP,MT,Incumbent,Won-General,2430.0,19
State Senator,Randen Schoppe,REP,MT,Open,Lost-General,2410.01,21
State Senator,Robert Leach,REP,MT,Challenger,Lost-General,2407.65,41
State Representative,Mary Rahn,REP,MT,Challenger,Withdrew-General,2282.04,62
State Representative,Kirk Lundby,REP,MT,Open,Lost-General,2245.0,26
State Senator,James Shockley,REP,MT,Incumbent,Won-General,2205.0,45
State Representative,Steve Dogiakos,REP,MT,Open,Lost-General,2160.0,93
State Representative,Margarett Campbell,DEM,MT,Incumbent,Won-General,1940.0,31
State Representative,Edith McClafferty,DEM,MT,Open,Won-General,1935.0,75
State Representative,Jon Sesso,DEM,MT,Incumbent,Won-General,1805.0,76
Secretary Of State,Sieglinde Sharbono,CON,MT,Challenger,Lost-General,1746.41,nan
State Representative,Kyle Austin,REP,MT,Challenger,Lost-General,1675.0,33
State Representative,Carolyn Pease-Lopez,DEM,MT,Open,Won-General,1425.0,42
State Representative,Frank Mastandrea,DEM,MT,Open,Lost-General,1420.0,72
State Senator,Richard Motta,REP,MT,Challenger,Lost-General,1400.0,43
State Representative,Bill Joseph,REP,MT,Open,Lost-General,1256.0,42
State Representative,Jedediah Cox,REP,MT,Challenger,Lost-General,1195.0,99
State Representative,Kassidy Olson,REP,MT,Challenger,Lost-General,1160.0,49
State Representative,Carol Minjaves,REP,MT,Challenger,Lost-General,990.0,97
State Senator,Kandi Matthew-Jenkins,CON,MT,Open,Lost-General,980.0,50
State Representative,Cindy Grimm,DEM,MT,Challenger,Lost-General,945.0,14
State Representative,Ryan Shore,REP,MT,Challenger,Lost-General,930.0,52
State Representative,Tod Glenn,REP,MT,Challenger,Lost-General,834.0,81
State Representative,Joe Hensleigh,DEM,MT,Open,Lost-General,805.0,69
State Representative,Jake Pannell,DEM,MT,Open,Lost-General,755.68,5
State Representative,Dan Stusek,REP,MT,Challenger,Lost-General,750.0,92
State Representative,Shannon Hanson,DEM,MT,Challenger,Lost-General,710.0,7
State Representative,Shannon James Augare,DEM,MT,Incumbent,Won-General,680.0,16
Supreme Court-003,Patricia Cotter,IND,MT,Incumbent,Won-Retention,560.0,nan
State Representative,Frosty Calf Boss Ribs,DEM,MT,Open,Won-General,490.0,15
State Representative,Chris Sinrud,REP,MT,Open,Lost-General,480.0,82
State Representative,Paul Oleary,LIB,MT,Challenger,Lost-General,460.0,25
State Senator,Nick Landeros,REP,MT,Challenger,Lost-General,450.0,33
State Representative,Ronald Vandevender,LIB,MT,Open,Lost-General,432.65,84
State Representative,Kristina Davis,DEM,MT,Challenger,Withdrew-General,350.28,18
State Representative,Tony Belcourt,DEM,MT,Open,Won-General,320.0,32
State Representative,Dale Busby,REP,MT,Challenger,Lost-General,272.77,25
State Representative,Patrick Estenson,DEM,MT,Challenger,Lost-General,60.0,11
State Senator,Neal Donohue,CON,MT,Challenger,Lost-General,25.0,6
State Representative,Kevin Blackler,REP,MT,Challenger,Lost-General,0.0,95
State Representative,Warren Bodeker,CON,MT,Challenger,Lost-General,0.0,13
State Senator,Wilfred Ebert,REP,MT,Challenger,Lost-General,0.0,24
Superintendent Of Public Instruction,Donald Eisenmenger,LIB,MT,Open,Lost-General,0.0,nan
State Representative,Fred Froelicher,DEM,MT,Challenger,Lost-General,0.0,83
State Representative,Kent Holtz,CON,MT,Open,Lost-General,0.0,21
State Representative,Freeman Johnson,CON,MT,Open,Lost-General,0.0,1
State Representative,Raymond King,REP,MT,Open,Lost-General,0.0,41
State Representative,Jonathan Martin,CON,MT,Challenger,Lost-General,0.0,22
State Representative,Timothy Martin,CON,MT,Challenger,Lost-General,0.0,6
State Representative,Henry Plott,DEM,MT,Open,Lost-General,0.0,45
State Representative,Terry Poupa,CON,MT,Challenger,Lost-General,0.0,20
State Representative,Dan Simpson,DEM,MT,Challenger,Lost-General,0.0,29
State Representative,Neil Templeton,IND,MT,Open,Lost-General,0.0,79
State Representative,Connie Wardell,DEM,MT,Challenger,Lost-General,0.0,57
State Representative,David Roundstone,DEM,MT,Open,Won-General,0.0,41
