Candidate,Party,State,Office,Incumbency,Result,Total Money
"OSSOFF, THOMAS JONATHAN (JON)",DEMOCRATIC,GA,US HOUSE DISTRICT GA 006,Open,Lost-General Runoff,29517849.79
"HANDEL, KAREN CHRISTINE",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Won-General Runoff,6856710.65
"MOODY, DAN",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,5955002.90
"HILL, JUDSON",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,807766.73
"GRAY, BOB",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,748999.75
"KIRKPATRICK, KAY",REPUBLICAN,GA,SENATE DISTRICT 032,Open,Won-General Runoff,577653.09
"JORDAN, JENNIFER (JEN)",DEMOCRATIC,GA,SENATE DISTRICT 006,Open,Won-General Runoff,420513.06
"WILSON, KURT",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,338170.66
"ALDRIDGE, LEAH",REPUBLICAN,GA,SENATE DISTRICT 006,Open,Lost-General,316649.74
"VARGHESE, SACHIN",DEMOCRATIC,GA,HOUSE DISTRICT 089,Open,Lost-General Runoff,301905.40
"ABROMS, DAVID",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,288850.87
"HOWARD, JAHA",DEMOCRATIC,GA,SENATE DISTRICT 006,Open,Lost-General Runoff,217733.16
"GAINES, HOUSTON",REPUBLICAN,GA,HOUSE DISTRICT 117,Open,Lost-General,211500.66
"FIVEASH, CHARLIE",REPUBLICAN,GA,SENATE DISTRICT 006,Open,Lost-General,182528.51
"WILLIAMS, NIKEMA",DEMOCRATIC,GA,SENATE DISTRICT 039,Open,Won-General Runoff,148477.99
"NGUYEN, BEE",DEMOCRATIC,GA,HOUSE DISTRICT 089,Open,Won-General Runoff,147606.89
"BENTLEY, MATT",REPUBLICAN,GA,SENATE DISTRICT 006,Open,Lost-General,113203.96
"DANIELS, ROYDEN (ROY)",REPUBLICAN,GA,SENATE DISTRICT 032,Open,Lost-General,107500.20
"LORD, LAWTON (TOM)",REPUBLICAN,GA,HOUSE DISTRICT 119,Open,Lost-General,92885.59
"MAKRIS, GUS",REPUBLICAN,GA,SENATE DISTRICT 032,Open,Lost-General,86063.66
"WISKIND, BOB",DEMOCRATIC,GA,SENATE DISTRICT 032,Open,Lost-General,85703.42
"GONZALEZ, DEBORAH",DEMOCRATIC,GA,HOUSE DISTRICT 117,Open,Won-General,81651.77
"SLOTIN, RON",DEMOCRATIC,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,80427.80
"LEVELL, BRUCE",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,65301.00
"KEATLEY, RICHARD",DEMOCRATIC,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,56232.42
"TRIEBSCH, CHRISTINE",DEMOCRATIC,GA,SENATE DISTRICT 032,Open,Lost-General Runoff,53986.70
"WALLACE, JONATHAN",DEMOCRATIC,GA,HOUSE DISTRICT 119,Open,Won-General,51194.78
"MORRIS, MARC",REPUBLICAN,GA,HOUSE DISTRICT 026,Open,Won-General,47676.00
"EICHENBLATT, KATHY",REPUBLICAN,GA,SENATE DISTRICT 006,Open,Lost-General,39269.31
"WIEDOWER, MARCUS A",REPUBLICAN,GA,HOUSE DISTRICT 119,Open,Lost-General,34970.00
"CARPENTER, KASEY",REPUBLICAN,GA,HOUSE DISTRICT 004,Open,Won-General,31627.87
"BHUIYAN, MOHAMMAD ALI",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,30908.20
"KEANE, MONIQUE",DEMOCRATIC,GA,HOUSE DISTRICT 089,Open,Lost-General,26929.90
"GRAWERT, KEITH",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,22683.79
"CAMPBELL, MATT",REPUBLICAN,GA,SENATE DISTRICT 032,Open,Lost-General,22680.00
"ANULEWICZ, TERI",DEMOCRATIC,GA,HOUSE DISTRICT 042,Open,Default Winner-General,21930.27
"KREMER, AMY",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,19852.00
"CALDWELL, EDDIE",REPUBLICAN,GA,HOUSE DISTRICT 004,Open,Lost-General,18359.25
"SCHOFIELD, KIM",DEMOCRATIC,GA,HOUSE DISTRICT 060,Open,Won-General Runoff,17345.00
"STRICKLAND, STEVEN",REPUBLICAN,GA,HOUSE DISTRICT 119,Open,Lost-General,10710.00
"TRENT, TINA",REPUBLICAN,GA,HOUSE DISTRICT 026,Open,Lost-General,7731.00
"HERNANDEZ, ALEXANDER",INDEPENDENT,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,6035.54
"ADAMS, SPARKLE",DEMOCRATIC,GA,HOUSE DISTRICT 060,Open,Lost-General,5332.24
"POLLARD, ANDRE",INDEPENDENT,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,5250.00
"HOWARD, EXTON",DEMOCRATIC,GA,SENATE DISTRICT 032,Open,Lost-General,5200.50
"PATTON, BEAU",REPUBLICAN,GA,HOUSE DISTRICT 004,Open,Lost-General,4769.00
"ABBOTT, DAVID",DEMOCRATIC,GA,HOUSE DISTRICT 089,Open,Lost-General,4000.78
"SMITH, STEVE",DEMOCRATIC,GA,HOUSE DISTRICT 026,Open,Lost-General,2670.00
"LLOP, WILLIAM",REPUBLICAN,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,2500.00
"POCIASK, PETER",DEMOCRATIC,GA,HOUSE DISTRICT 004,Open,Lost-General,2370.00
"PICKETT, DEANDRE S",DEMOCRATIC,GA,HOUSE DISTRICT 060,Open,Lost-General Runoff,2365.00
"WYNN, TAOS",DEMOCRATIC,GA,SENATE DISTRICT 006,Open,Lost-General,1100.00
"CARLSON, NICK",REPUBLICAN,GA,SENATE DISTRICT 039,Open,Lost-General,400.00
"EDWARDS, RAGIN",DEMOCRATIC,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,0.00
"QUIGG, REBECCA",DEMOCRATIC,GA,US HOUSE DISTRICT GA 006,Open,Lost-General,0.00
"BECK, HAMILTON MATTHEW",REPUBLICAN,GA,SENATE DISTRICT 032,Open,Lost-General,0.00
"SMITH, LEO",REPUBLICAN,GA,SENATE DISTRICT 006,Open,Lost-General,0.00
"TUTT, ELIJAH",DEMOCRATIC,GA,SENATE DISTRICT 039,Open,Lost-General,0.00
"PRITCHETT, LINDA",DEMOCRATIC,GA,SENATE DISTRICT 039,Open,Lost-General Runoff,0.00
"DEJESUS, MARCKEITH",DEMOCRATIC,GA,SENATE DISTRICT 039,Open,Lost-General,0.00
