Candidate,Party,State,Office,Incumbency,Result,Total Money
"BENJAMIN, BRIAN A",DEMOCRATIC,NY,SENATE DISTRICT 030,Open,Won-General,295894.00
"PELLEGRINO, CHRISTINE",DEMOCRATIC,NY,ASSEMBLY DISTRICT 009,Open,Won-General,221056.02
"KAVANAGH, BRIAN P",DEMOCRATIC,NY,SENATE DISTRICT 026,Open,Won-General,184526.30
"GARGIULO, THOMAS A",REPUBLICAN,NY,ASSEMBLY DISTRICT 009,Open,Lost-General,46525.00
"ROSENTHAL, DANIEL A",DEMOCRATIC,NY,ASSEMBLY DISTRICT 027,Open,Won-General,31671.00
"TAYLOR, ALFRED (AL)",DEMOCRATIC,NY,ASSEMBLY DISTRICT 071,Open,Won-General,20577.45
"SIMMONS, DAWN",REPUBLICAN,NY,SENATE DISTRICT 030,Open,Lost-General,0.00
"VARGAS, RUBEN DARIO",REFORM,NY,SENATE DISTRICT 030,Open,Lost-General,0.00
"ALEXANDER, ANALICIA",REPUBLICAN,NY,SENATE DISTRICT 026,Open,Lost-General,0.00
