,State,Year,Position,Party,Total Seats,Seats Up for Election,Seats Needed for Majority,Seats Needed for Supermajority,Actual Seats Won
0,MO,2018,State Senator,REP,34,17,17.0,22.666666666666664,
1,MO,2018,State Senator,DEM,34,17,17.0,22.666666666666664,
2,MO,2018,State Senator,IND,34,17,17.0,22.666666666666664,
