,State,Year,Position,Party,Total Seats,Seats Up for Election,Seats Needed for Majority,Seats Needed for Supermajority,Actual Seats Won
0,MA,2018,State Senator,REP,40,40,20.0,26.666666666666664,
1,MA,2018,State Senator,DEM,40,40,20.0,26.666666666666664,
2,MA,2018,State Senator,IND,40,40,20.0,26.666666666666664,
