,State,Year,Position,Party,Total Seats,Seats Up for Election,Seats Needed for Majority,Seats Needed for Supermajority,Actual Seats Won
0,ID,2018,State Senator,REP,35,35,17.5,23.333333333333332,
1,ID,2018,State Senator,DEM,35,35,17.5,23.333333333333332,
2,ID,2018,State Senator,IND,35,35,17.5,23.333333333333332,
