,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,FL,2018,U.S. Representative,1,Matt Gaetz,REP,
1,FL,2018,U.S. Representative,1,Jennifer Zimmerman,DEM,
2,FL,2018,U.S. Representative,10,Valdez Demings,DEM,
3,FL,2018,U.S. Representative,11,Daniel Webster,REP,
4,FL,2018,U.S. Representative,11,Dana Cottrell,DEM,
5,FL,2018,U.S. Representative,12,Gus Michael Bilirakis,REP,
6,FL,2018,U.S. Representative,12,Chris Hunter,DEM,
7,FL,2018,U.S. Representative,13,Charles Joseph Crist Jr.,DEM,
8,FL,2018,U.S. Representative,13,George Buck,REP,
9,FL,2018,U.S. Representative,14,Kathy Castor,DEM,
10,FL,2018,U.S. Representative,15,Kristen Carlson,DEM,
11,FL,2018,U.S. Representative,15,Ross Spano,REP,
12,FL,2018,U.S. Representative,16,Vern Buchanan,REP,
13,FL,2018,U.S. Representative,16,David Shapiro,DEM,
14,FL,2018,U.S. Representative,17,April June Freeman,DEM,
15,FL,2018,U.S. Representative,17,Greg Steube,REP,
16,FL,2018,U.S. Representative,18,Brian Mast,REP,
17,FL,2018,U.S. Representative,18,Lauren Baer,DEM,
18,FL,2018,U.S. Representative,19,Laurence Francis Rooney III,REP,
19,FL,2018,U.S. Representative,19,David Holden,DEM,
20,FL,2018,U.S. Representative,2,Neal Patrick Dunn,REP,
21,FL,2018,U.S. Representative,2,Robert Bruce Rackleff,DEM,
22,FL,2018,U.S. Representative,20,Alcee Hastings,DEM,
23,FL,2018,U.S. Representative,21,Lois Frankel,DEM,
24,FL,2018,U.S. Representative,22,Ted Deutch,DEM,
25,FL,2018,U.S. Representative,22,Nicolas Kimaz,REP,
26,FL,2018,U.S. Representative,23,Debbie Wasserman Schultz,DEM,
27,FL,2018,U.S. Representative,23,Timothy Canova,IND,
28,FL,2018,U.S. Representative,23,Joseph Kaufman,REP,
29,FL,2018,U.S. Representative,24,Frederica Wilson,DEM,
30,FL,2018,U.S. Representative,25,Mario Diaz-Balart,REP,
31,FL,2018,U.S. Representative,25,Mary Barzee Flores,DEM,
32,FL,2018,U.S. Representative,26,Carlos Luis Curbelo,REP,
33,FL,2018,U.S. Representative,26,Debbie Mucarsel-Powell,DEM,
34,FL,2018,U.S. Representative,27,Donna Shalala,DEM,
35,FL,2018,U.S. Representative,27,Maria Elvira Salazar,REP,
36,FL,2018,U.S. Representative,3,Theodore Scott Yoho,REP,
37,FL,2018,U.S. Representative,3,Yvonne Hayes Hinson,DEM,
38,FL,2018,U.S. Representative,4,John Rutherford,REP,
39,FL,2018,U.S. Representative,4,George Selmont,DEM,
40,FL,2018,U.S. Representative,5,Alfred Lawson Jr.,DEM,
41,FL,2018,U.S. Representative,5,Virginia Fuller,REP,
42,FL,2018,U.S. Representative,6,Nancy Soderberg,DEM,
43,FL,2018,U.S. Representative,6,Michael Waltz,REP,
44,FL,2018,U.S. Representative,7,Stephanie Murphy,DEM,
45,FL,2018,U.S. Representative,7,Mike Miller,REP,
46,FL,2018,U.S. Representative,8,Bill Posey,REP,
47,FL,2018,U.S. Representative,8,Sanjay Patel,DEM,
48,FL,2018,U.S. Representative,9,Darren Michael Soto,DEM,
49,FL,2018,U.S. Representative,9,Wayne Liebnitzky,REP,
