,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,SD,2018,U.S. Representative,1,Dusty Johnson,REP,
1,SD,2018,U.S. Representative,1,Timothy Bjorkman,DEM,
2,SD,2018,U.S. Representative,1,Ron Wieczorek,IND,
