,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,HI,2018,U.S. Representative,1,Ed Case,DEM,
1,HI,2018,U.S. Representative,1,Michelle Rose Tippens,LIB,
3,HI,2018,U.S. Representative,1,Campbell Cavasso,REP,
4,HI,2018,U.S. Representative,2,Tulsi Gabbard Tamayo,DEM,
5,HI,2018,U.S. Representative,2,Brian Evans,REP,
