,State,Year,Position,District,Candidate,Party,Actual Vote Share
36,MI,2018,Attorney General,Statewide,Thomas Leonard III,REP,
37,MI,2018,Attorney General,Statewide,Dana Nessel,DEM,
39,MI,2018,Attorney General,Statewide,Chris Graveline,IND,
276,MI,2018,Governor,Statewide,Gretchen Whitmer,DEM,
277,MI,2018,Governor,Statewide,Bill Schuette,REP,
278,MI,2018,Governor,Statewide,Bill Gelineau,LIB,
0,MI,2018,Secretary Of State,Statewide,Jocelyn Benson,DEM,
1,MI,2018,Secretary Of State,Statewide,Mary Treder Lang,REP,
2,MI,2018,Secretary Of State,Statewide,Gregory Scott Stempfle,LIB,
42,MI,2018,State Representative,1,Tenisha Yancey,DEM,
44,MI,2018,State Representative,1,Mark Corcoran,REP,
45,MI,2018,State Representative,10,Leslie Love,DEM,
47,MI,2018,State Representative,10,William Brang,REP,
48,MI,2018,State Representative,100,Scott Vansingel,REP,
49,MI,2018,State Representative,100,Sandy Clarke,DEM,
50,MI,2018,State Representative,101,Kathy Wiejaczka,DEM,
51,MI,2018,State Representative,101,Jack Omalley,REP,
52,MI,2018,State Representative,102,Michele Hoitenga,REP,
53,MI,2018,State Representative,102,Dion Adams,DEM,
54,MI,2018,State Representative,103,Daire Rendon,REP,
55,MI,2018,State Representative,103,Tim Schaiberger,DEM,
56,MI,2018,State Representative,104,Dan Oneil,DEM,
57,MI,2018,State Representative,104,Larry Inman,REP,
58,MI,2018,State Representative,105,Triston Cole,REP,
59,MI,2018,State Representative,105,Melissa Fruge,DEM,
60,MI,2018,State Representative,106,Sue Allor,REP,
61,MI,2018,State Representative,106,Lora Greene,DEM,
62,MI,2018,State Representative,107,Lee Chatfield,REP,
63,MI,2018,State Representative,107,Joanne Schmidt Galloway,DEM,
64,MI,2018,State Representative,108,Beau Matthew Lafave,REP,
65,MI,2018,State Representative,108,Bob Romps,DEM,
66,MI,2018,State Representative,109,Sara Cambensy,DEM,
67,MI,2018,State Representative,109,Melody Wagner,REP,
68,MI,2018,State Representative,11,Jewell Jones,DEM,
69,MI,2018,State Representative,11,James Townsend,REP,
70,MI,2018,State Representative,110,Ken Summers,DEM,
71,MI,2018,State Representative,110,Gregory Markkanen,REP,
72,MI,2018,State Representative,12,Alex Garza,DEM,
73,MI,2018,State Representative,12,Michelle Bailey,REP,
74,MI,2018,State Representative,13,Frank Liberati,DEM,
75,MI,2018,State Representative,13,Annie Spencer,REP,
76,MI,2018,State Representative,14,Cara Clemente,DEM,
77,MI,2018,State Representative,14,Darrell Stasik,REP,
78,MI,2018,State Representative,15,Abdullah Hammoud,DEM,
79,MI,2018,State Representative,15,Doug Mitchell,REP,
80,MI,2018,State Representative,16,Kevin Coleman,DEM,
81,MI,2018,State Representative,16,Jody Rice-White,REP,
82,MI,2018,State Representative,17,Joseph Bellino Jr.,REP,
83,MI,2018,State Representative,17,Michelle Lavoy,DEM,
84,MI,2018,State Representative,18,Kevin Hertel,DEM,
85,MI,2018,State Representative,18,Kyle McKee,REP,
86,MI,2018,State Representative,19,Brian Meakin,REP,
87,MI,2018,State Representative,19,Laurie Pohutsky,DEM,
88,MI,2018,State Representative,2,Joe Tate,DEM,
89,MI,2018,State Representative,2,John Palffy,REP,
90,MI,2018,State Representative,20,Jeff Noble,REP,
91,MI,2018,State Representative,20,Matt Koleszar,DEM,
92,MI,2018,State Representative,21,Kristy Pagan,DEM,
93,MI,2018,State Representative,21,Darian Moore,REP,
94,MI,2018,State Representative,22,John Chirkun,DEM,
95,MI,2018,State Representative,22,Matt Kuehnel,LIB,
96,MI,2018,State Representative,22,Arthur Blundell,REP,
97,MI,2018,State Representative,23,Darrin Camilleri,DEM,
98,MI,2018,State Representative,23,Michael Frazier,REP,
99,MI,2018,State Representative,24,Steven Marino,REP,
100,MI,2018,State Representative,24,Laura Winn,DEM,
101,MI,2018,State Representative,25,Nate Shannon,DEM,
102,MI,2018,State Representative,25,Jazmine Early,REP,
103,MI,2018,State Representative,26,Jim Ellison,DEM,
104,MI,2018,State Representative,26,Al Gui,REP,
105,MI,2018,State Representative,27,Robert Wittenberg,DEM,
106,MI,2018,State Representative,27,Benjamin Carr,LIB,
107,MI,2018,State Representative,27,Janet Flessland,REP,
108,MI,2018,State Representative,28,Lori Stone,DEM,
109,MI,2018,State Representative,28,Ryan Manier,LIB,
110,MI,2018,State Representative,28,Aaron Delikta,REP,
111,MI,2018,State Representative,29,Brenda Carter,DEM,
112,MI,2018,State Representative,29,Timothy Carrier,REP,
113,MI,2018,State Representative,3,Wendell Byrd,DEM,
114,MI,2018,State Representative,3,Dolores Brodersen,REP,
115,MI,2018,State Representative,30,Diana Farrington,REP,
116,MI,2018,State Representative,30,John Spica,DEM,
117,MI,2018,State Representative,31,Bill Sowerby,DEM,
118,MI,2018,State Representative,31,Lisa Valerio-Nowc,REP,
119,MI,2018,State Representative,32,Pamela Hornberger,REP,
120,MI,2018,State Representative,32,Paul Manley,DEM,
121,MI,2018,State Representative,33,Jeffrey Yaroch,REP,
122,MI,2018,State Representative,33,Andrea Geralds,DEM,
123,MI,2018,State Representative,34,Sheldon Neeley,DEM,
124,MI,2018,State Representative,34,Henry Swift,REP,
125,MI,2018,State Representative,35,Kyra Harris Bolden,DEM,
126,MI,2018,State Representative,35,Theodore Alfonsetti III,REP,
127,MI,2018,State Representative,36,Douglas Wozniak,REP,
128,MI,2018,State Representative,36,Robert Murphy,DEM,
129,MI,2018,State Representative,36,Benjamin Dryke,LIB,
130,MI,2018,State Representative,37,Christine Greig,DEM,
131,MI,2018,State Representative,37,Mitch Swoboda,REP,
132,MI,2018,State Representative,38,Kathy Crawford,REP,
133,MI,2018,State Representative,38,Kelly Breen,DEM,
134,MI,2018,State Representative,38,Brian Wright,LIB,
135,MI,2018,State Representative,39,Ryan Berman,REP,
136,MI,2018,State Representative,39,Jennifer Suidan,DEM,
137,MI,2018,State Representative,39,Anthony Croff,LIB,
138,MI,2018,State Representative,4,Isaac Robinson,DEM,
