,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,PA,2018,U.S. Representative,1,Brian Fitzpatrick,REP,
1,PA,2018,U.S. Representative,1,Scott Wallace,DEM,
2,PA,2018,U.S. Representative,10,George Scott,DEM,
3,PA,2018,U.S. Representative,10,Scott Gordon Perry,REP,
4,PA,2018,U.S. Representative,11,Jess King,DEM,
5,PA,2018,U.S. Representative,11,Lloyd Smucker,REP,
6,PA,2018,U.S. Representative,12,Marc Friedenberg,DEM,
7,PA,2018,U.S. Representative,12,Thomas Anthony Marino,REP,
8,PA,2018,U.S. Representative,13,Brent Ottaway,DEM,
9,PA,2018,U.S. Representative,13,John Joyce,REP,
10,PA,2018,U.S. Representative,14,Bibiana Boerio,DEM,
11,PA,2018,U.S. Representative,14,Guy Reschenthaler,REP,
12,PA,2018,U.S. Representative,15,Susan Boser,DEM,
13,PA,2018,U.S. Representative,15,Glenn William Thompson Jr.,REP,
14,PA,2018,U.S. Representative,15,Martin Nothstein,REP,
15,PA,2018,U.S. Representative,7,Susan Wild,DEM,
16,PA,2018,U.S. Representative,7,Susan Wild,DEM,
18,PA,2018,U.S. Representative,7,Marty Nothstein,REP,
19,PA,2018,U.S. Representative,16,Ronald Dincola,DEM,
20,PA,2018,U.S. Representative,16,Ebert Bill Beeman,LIB,
21,PA,2018,U.S. Representative,16,George Kelly Jr.,REP,
22,PA,2018,U.S. Representative,17,Conor Lamb,DEM,
23,PA,2018,U.S. Representative,17,Keith James Rothfus,REP,
24,PA,2018,U.S. Representative,18,Michael Doyle,DEM,
25,PA,2018,U.S. Representative,2,Brendan Boyle,DEM,
26,PA,2018,U.S. Representative,2,David Torres,REP,
27,PA,2018,U.S. Representative,3,Dwight Evans,DEM,
28,PA,2018,U.S. Representative,3,Bryan Leib,REP,
29,PA,2018,U.S. Representative,4,Madeleine Dean,DEM,
30,PA,2018,U.S. Representative,4,Dan David,REP,
31,PA,2018,U.S. Representative,5,Mary Gay Scanlon,DEM,
32,PA,2018,U.S. Representative,5,Pearl Kim,REP,
33,PA,2018,U.S. Representative,5,Mary Gay Scanlon,DEM,
35,PA,2018,U.S. Representative,6,Chrissy Houlahan,DEM,
36,PA,2018,U.S. Representative,6,Greg McCauley,REP,
37,PA,2018,U.S. Representative,8,Matthew Alton Cartwright,DEM,
38,PA,2018,U.S. Representative,8,John Chrin,REP,
39,PA,2018,U.S. Representative,9,Denny Wolff,DEM,
40,PA,2018,U.S. Representative,9,Dan Meuser,REP,
