,State,Year,Position,District,Candidate,Party,Actual Vote Share
0,MD,2018,U.S. Representative,1,Andrew Harris,REP,
1,MD,2018,U.S. Representative,1,Jesse Colvin,DEM,
2,MD,2018,U.S. Representative,1,Jenica Martin,LIB,
3,MD,2018,U.S. Representative,2,A Dutch Ruppersberger,DEM,
4,MD,2018,U.S. Representative,2,Liz Matory,REP,
5,MD,2018,U.S. Representative,2,Michael Carney,LIB,
6,MD,2018,U.S. Representative,3,John Sarbanes,DEM,
7,MD,2018,U.S. Representative,3,David Lashar,LIB,
8,MD,2018,U.S. Representative,3,Charles Anthony,REP,
9,MD,2018,U.S. Representative,4,Anthony Brown,DEM,
10,MD,2018,U.S. Representative,4,Dave Bishop,LIB,
11,MD,2018,U.S. Representative,4,George Edward McDermott,REP,
12,MD,2018,U.S. Representative,5,Steny Hoyer,DEM,
13,MD,2018,U.S. Representative,5,Jacob Pulcher,LIB,
14,MD,2018,U.S. Representative,5,William Devine III,REP,
15,MD,2018,U.S. Representative,6,David John Trone,DEM,
16,MD,2018,U.S. Representative,6,Amoretta Hoeber,REP,
17,MD,2018,U.S. Representative,6,Kevin Terome Caldwell,LIB,
20,MD,2018,U.S. Representative,7,Elijah Cummings,DEM,
21,MD,2018,U.S. Representative,7,David Griggs,LIB,
22,MD,2018,U.S. Representative,7,Richmond Davis,REP,
25,MD,2018,U.S. Representative,8,Jamin Ben Raskin,DEM,
26,MD,2018,U.S. Representative,8,Jasen Wunder,LIB,
27,MD,2018,U.S. Representative,8,John Walsh,REP,
