State,Year,Position,District,Candidate,Party,Actual Vote Share,Unrounded Actual Vote Share
ID,2018,Attorney General,Statewide,Bruce S. Bistline,DEM,34.57,34.56758843274826
ID,2018,Attorney General,Statewide,Lawrence Wasden,REP,65.43,65.43241156725173
ID,2018,Governor,Statewide,Paulette Jordan,DEM,38.21,38.20632949281701
ID,2018,Governor,Statewide,Lisa Marie,IND,0.0,0.00446507566649523
ID,2018,Governor,Statewide,Bev Angel Boeck,LIB,1.08,1.082202043020177
ID,2018,Governor,Statewide,Brad Little,REP,59.75,59.74816973240967
ID,2018,Lieutenant Governor,Statewide,Kristin Collum,DEM,40.29,40.2879145310323
ID,2018,Lieutenant Governor,Statewide,Janice Mcgeachin,REP,59.71,59.7120854689677
ID,2018,Secretary Of State,Statewide,Jill Humble,DEM,37.49,37.48562687103947
ID,2018,Secretary Of State,Statewide,Lawerence E. Denney,REP,62.51,62.51437312896052
ID,2018,State Representative,10A,Sead Muradbegovic,DEM,36.74,36.74345636198497
ID,2018,State Representative,10A,Jarom Wagoner,REP,63.26,63.25654363801503
ID,2018,State Representative,10B,Chelsea Gaona~Lincoln,DEM,40.71,40.71204878852811
ID,2018,State Representative,10B,Greg Chaney,REP,59.29,59.2879512114719
ID,2018,State Representative,11A,Scott Syme,REP,100.0,100.0
ID,2018,State Representative,11B,Brian A. Ertz,DEM,22.44,22.44332636101532
ID,2018,State Representative,11B,Tammy Nichols,REP,77.56,77.55667363898468
ID,2018,State Representative,12A,Pat Day Hartwell,DEM,36.0,36.00057774247129
ID,2018,State Representative,12A,Robert Anderst,REP,64.0,63.99942225752871
ID,2018,State Representative,12B,Rick D. Youngblood,REP,100.0,100.0
ID,2018,State Representative,13A,Brent J. Crane,REP,100.0,100.0
ID,2018,State Representative,13B,Chris Ho,DEM,34.19,34.1869732801986
ID,2018,State Representative,13B,Gary E. Collins,REP,65.81,65.8130267198014
ID,2018,State Representative,14A,Jane M. Rohling,DEM,33.55,33.554460215691364
ID,2018,State Representative,14A,Mike Moyle,REP,66.45,66.44553978430864
ID,2018,State Representative,14B,Gayann Demordaunt,REP,100.0,100.0
ID,2018,State Representative,15A,Steve Berch,DEM,54.48,54.48256779192031
ID,2018,State Representative,15A,Lynn M. Luker,REP,45.52,45.51743220807969
ID,2018,State Representative,15B,Jake Ellis,DEM,50.9,50.895956994064285
ID,2018,State Representative,15B,Patrick Mcdonald,REP,49.1,49.104043005935715
ID,2018,State Representative,16A,John Mccrostie,DEM,61.88,61.87966847436815
ID,2018,State Representative,16A,Graham Paterson,REP,38.12,38.12033152563185
ID,2018,State Representative,16B,Rob Mason,DEM,62.64,62.64249768922666
ID,2018,State Representative,16B,Jim Silsby,REP,37.36,37.35750231077334
ID,2018,State Representative,17A,John Gannon,DEM,69.76,69.764366434239
ID,2018,State Representative,17A,Anthony Thomas Dephue,REP,30.24,30.235633565761
ID,2018,State Representative,17B,Sue Chew,DEM,70.11,70.11487411463604
ID,2018,State Representative,17B,Kevin Rhoades,REP,29.89,29.885125885363966
ID,2018,State Representative,18A,Ilana Rubel,DEM,100.0,100.0
ID,2018,State Representative,18B,Brooke Green,DEM,62.32,62.319550882195685
ID,2018,State Representative,18B,Steve Simmons,REP,37.68,37.680449117804315
ID,2018,State Representative,19A,Mathew Mat Erpelding,DEM,73.02,73.02494802494802
ID,2018,State Representative,19A,Mark Patten,REP,26.98,26.975051975051972
ID,2018,State Representative,19B,Melissa Wintrow,DEM,100.0,100.0
ID,2018,State Representative,1A,Ellen Weissman,DEM,36.47,36.46586345381526
ID,2018,State Representative,1A,Heather Scott,REP,63.53,63.53413654618474
ID,2018,State Representative,1B,Stephen F. Howlett,DEM,33.77,33.768964999248915
ID,2018,State Representative,1B,Sage Dixon,REP,66.23,66.23103500075109
ID,2018,State Representative,20A,Joe A. Palmer,REP,81.03,81.02756892230576
ID,2018,State Representative,20B,James Holtzclaw,REP,100.0,100.0
ID,2018,State Representative,21A,Joshua Robinson,DEM,39.43,39.42578703482539
ID,2018,State Representative,21A,Steven C. Harris,REP,60.57,60.5742129651746
ID,2018,State Representative,21B,Thomas E. Tom Dayley,REP,100.0,100.0
ID,2018,State Representative,22A,John Vander Woude,REP,100.0,100.0
ID,2018,State Representative,22B,Jason Monks,REP,100.0,100.0
ID,2018,State Representative,23A,Christy Zito,REP,100.0,100.0
ID,2018,State Representative,23B,Megan C. Blanksma,REP,97.94,97.93640371447331
ID,2018,State Representative,24A,Lance W. Clow,REP,100.0,100.0
ID,2018,State Representative,24B,Deborah Silver,DEM,37.4,37.39956172388605
ID,2018,State Representative,24B,Linda Wright Hartgen,REP,57.72,57.7209642074507
ID,2018,State Representative,25A,Laurie Lickley,REP,100.0,100.0
ID,2018,State Representative,25B,Clark Kauffman,REP,100.0,100.0
ID,2018,State Representative,26A,Muffy Davis,DEM,56.26,56.25702621146678
ID,2018,State Representative,26A,Steve Miller,REP,43.74,43.74297378853322
ID,2018,State Representative,26B,Sally Toone,DEM,58.16,58.16113856964211
ID,2018,State Representative,26B,Mike Mcfayden,REP,41.84,41.83886143035789
ID,2018,State Representative,27A,Scott Bedke,REP,100.0,100.0
ID,2018,State Representative,27B,Fred Wood,REP,100.0,100.0
ID,2018,State Representative,28A,Steve Landon,DEM,37.45,37.452841669709144
ID,2018,State Representative,28A,Randy Armstrong,REP,62.55,62.54715833029086
ID,2018,State Representative,28B,Kevin Landrus,REP,100.0,100.0
ID,2018,State Representative,29A,Chris Abernathy,DEM,51.17,51.17266337253811
ID,2018,State Representative,29A,Dustin Whitney Manwaring,REP,48.83,48.8273366274619
ID,2018,State Representative,29B,Elaine Smith,DEM,53.96,53.96307606885063
