,State,Year,Position,District,Candidate,Party,Actual Vote Share
15,IA,2018,Attorney General,Statewide,Tom Miller,DEM,
16,IA,2018,Attorney General,Statewide,Marco Battaglia,LIB,
205,IA,2018,Governor,Statewide,Fred Shelton Hubbell,DEM,
206,IA,2018,Governor,Statewide,Kim Reynolds,REP,
207,IA,2018,Governor,Statewide,Jake Porter,LIB,
0,IA,2018,Secretary Of State,Statewide,Paul Pate,REP,
1,IA,2018,Secretary Of State,Statewide,Deidre Dejear,DEM,
2,IA,2018,Secretary Of State,Statewide,Jules Ofenbakh,LIB,
17,IA,2018,State Representative,1,John Wills,REP,
18,IA,2018,State Representative,1,Karen Larson,DEM,
19,IA,2018,State Representative,10,Mike Sexton,REP,
20,IA,2018,State Representative,10,Jake Ronald Thompson,DEM,
21,IA,2018,State Representative,100,Charles Isenhart,DEM,
22,IA,2018,State Representative,100,Hank Linden,REP,
23,IA,2018,State Representative,11,Gary Worthan,REP,
24,IA,2018,State Representative,12,Peter Leo,DEM,
25,IA,2018,State Representative,12,Brian Best,REP,
26,IA,2018,State Representative,13,Chris Hall,DEM,
27,IA,2018,State Representative,14,Tim Kacena,DEM,
28,IA,2018,State Representative,14,Robert Henderson,REP,
29,IA,2018,State Representative,15,Charlie McConkey Jr.,DEM,
30,IA,2018,State Representative,15,Leann Hughes,REP,
31,IA,2018,State Representative,16,Mary Ann Hanusa,REP,
32,IA,2018,State Representative,16,Steve Gorman,DEM,
33,IA,2018,State Representative,16,Steve Sechrest,LIB,
34,IA,2018,State Representative,17,Matt Windschitl,REP,
35,IA,2018,State Representative,17,Jan Creasman,DEM,
36,IA,2018,State Representative,18,Steven Holt,REP,
37,IA,2018,State Representative,19,Christopher Hagenow,REP,
38,IA,2018,State Representative,19,Gregg Gustafson,DEM,
39,IA,2018,State Representative,19,Richard Dedor,IND,
40,IA,2018,State Representative,2,Megan Lee Hess Jones,REP,
41,IA,2018,State Representative,2,Ryan Odor,DEM,
42,IA,2018,State Representative,20,Warren Varley,DEM,
43,IA,2018,State Representative,20,Ray Bubba Sorensen,REP,
44,IA,2018,State Representative,21,Denise Obrien,DEM,
45,IA,2018,State Representative,21,Tom Moore,REP,
46,IA,2018,State Representative,22,Jon Jacobsen,REP,
47,IA,2018,State Representative,22,Ray Stevens,DEM,
48,IA,2018,State Representative,23,David Sieck,REP,
49,IA,2018,State Representative,23,Chuck Larson,DEM,
50,IA,2018,State Representative,24,James Uhlenkamp,DEM,
51,IA,2018,State Representative,24,Cecil Dolecheck,REP,
52,IA,2018,State Representative,25,Ryan Marquardt,DEM,
53,IA,2018,State Representative,25,Stan Gustafson,REP,
54,IA,2018,State Representative,26,Scott Ourth,DEM,
55,IA,2018,State Representative,26,Rebel Snodgrass,REP,
56,IA,2018,State Representative,27,Joel Fry,REP,
57,IA,2018,State Representative,27,Richard Foster,DEM,
58,IA,2018,State Representative,28,Ann Fields,DEM,
59,IA,2018,State Representative,28,Jon Thorup,REP,
60,IA,2018,State Representative,29,Wesley Breckenridge,DEM,
61,IA,2018,State Representative,29,Ann Howell,REP,
62,IA,2018,State Representative,3,Dan Huseman,REP,
63,IA,2018,State Representative,30,Kent Balduchi,DEM,
64,IA,2018,State Representative,30,Brian Lohse,REP,
65,IA,2018,State Representative,31,Rick Olson,DEM,
66,IA,2018,State Representative,32,William Charlier,REP,
67,IA,2018,State Representative,32,Ruth Ann Gaines,DEM,
68,IA,2018,State Representative,32,Toya Johnson,LIB,
69,IA,2018,State Representative,33,Brian Meyer,DEM,
70,IA,2018,State Representative,33,Gregory Malone,REP,
71,IA,2018,State Representative,34,Bruce Hunter,DEM,
72,IA,2018,State Representative,34,Marrianna Collins,LIB,
73,IA,2018,State Representative,34,Jerry Cheevers,REP,
74,IA,2018,State Representative,35,Ako Abdul-Samad,DEM,
75,IA,2018,State Representative,35,John Callahan,LIB,
76,IA,2018,State Representative,36,Marti Anderson,DEM,
77,IA,2018,State Representative,36,Joseph Howe,LIB,
78,IA,2018,State Representative,37,John Landon,REP,
79,IA,2018,State Representative,37,Andrew Rasmussen,DEM,
80,IA,2018,State Representative,38,Heather Ann Matson,DEM,
81,IA,2018,State Representative,38,Kevin Koester,REP,
82,IA,2018,State Representative,39,Karin Derry,DEM,
83,IA,2018,State Representative,39,Jake Highfill,REP,
85,IA,2018,State Representative,4,Skyler Wheeler,REP,
86,IA,2018,State Representative,40,John Forbes,DEM,
87,IA,2018,State Representative,41,Jo Oldson,DEM,
88,IA,2018,State Representative,42,Peter Cownie,REP,
89,IA,2018,State Representative,42,Kristin Sunde,DEM,
90,IA,2018,State Representative,43,Jennifer Glover Konfrst,DEM,
91,IA,2018,State Representative,43,Michael Boal,REP,
92,IA,2018,State Representative,43,Chad Brewbaker,LIB,
93,IA,2018,State Representative,44,Kenan Judge,DEM,
94,IA,2018,State Representative,44,Anna Bergman,REP,
95,IA,2018,State Representative,44,Gabriel Thomson,LIB,
96,IA,2018,State Representative,45,Beth Wessel-Kroeschell,DEM,
97,IA,2018,State Representative,45,Ben Brown,REP,
98,IA,2018,State Representative,46,Lisa Heddens,DEM,
99,IA,2018,State Representative,47,David Weaver,DEM,
100,IA,2018,State Representative,47,Phil Thompson,REP,
101,IA,2018,State Representative,47,Patrick Shaw,LIB,
102,IA,2018,State Representative,48,Tim Winter,DEM,
103,IA,2018,State Representative,48,Robert Bacon,REP,
104,IA,2018,State Representative,49,Brenda Brink,DEM,
105,IA,2018,State Representative,49,Dave Deyoe,REP,
106,IA,2018,State Representative,49,John Evans,LIB,
107,IA,2018,State Representative,5,Thomas Jeneary,REP,
108,IA,2018,State Representative,5,Andrew Emanuel,DEM,
109,IA,2018,State Representative,50,Pat Grassley,REP,
110,IA,2018,State Representative,50,Dennis Evans,DEM,
111,IA,2018,State Representative,51,Tim Knutson,DEM,
112,IA,2018,State Representative,51,Jane Bloomingdale,REP,
113,IA,2018,State Representative,52,Todd Prichard,DEM,
114,IA,2018,State Representative,53,Sharon Steckman,DEM,
115,IA,2018,State Representative,54,Linda Upmeyer,REP,
116,IA,2018,State Representative,55,Kayla Koether,DEM,
117,IA,2018,State Representative,55,Michael Bergan,REP,
118,IA,2018,State Representative,56,Lori Egan,DEM,
119,IA,2018,State Representative,56,Anne Osmundson,REP,
120,IA,2018,State Representative,57,Shannon Lundgren,REP,
121,IA,2018,State Representative,57,Nancy Fett,DEM,
122,IA,2018,State Representative,57,Lucas Link,LIB,
123,IA,2018,State Representative,58,Andy McKean,REP,
124,IA,2018,State Representative,58,Joe Oclon,DEM,
125,IA,2018,State Representative,59,Bob Kressig,DEM,
126,IA,2018,State Representative,6,Jacob Bossman,REP,
127,IA,2018,State Representative,6,Rita Dejong,DEM,
128,IA,2018,State Representative,60,Walt Rogers,REP,
129,IA,2018,State Representative,60,Dave Williams,DEM,
130,IA,2018,State Representative,61,Timi Brown-Powers,DEM,
131,IA,2018,State Representative,62,Ras Smith,DEM,
132,IA,2018,State Representative,63,Sandy Salmon,REP,
