,State,Year,Position,District,Candidate,Party,Actual Vote Share
51,NY,2018,Attorney General,Statewide,Tish James,DEM,
52,NY,2018,Attorney General,Statewide,Keith Wofford,REP,
53,NY,2018,Attorney General,Statewide,Christopher Garvey,LIB,
48,NY,2018,Comptroller,Statewide,Thomas Dinapoli,DEM,
49,NY,2018,Comptroller,Statewide,Jonathan Trichter,REP,
50,NY,2018,Comptroller,Statewide,Cruger Gallaudet,LIB,
299,NY,2018,Governor,Statewide,Andrew Cuomo,DEM,
300,NY,2018,Governor,Statewide,Marc Molinaro,REP,
301,NY,2018,Governor,Statewide,Larry Sharpe,LIB,
56,NY,2018,State Representative,1,Fred Thiele Jr.,DEM,
57,NY,2018,State Representative,1,Patrick Oconnor,REP,
58,NY,2018,State Representative,10,Steve Stern,DEM,
59,NY,2018,State Representative,10,Jeremy Williams,REP,
60,NY,2018,State Representative,100,Aileen Gunther,DEM,
61,NY,2018,State Representative,101,Chad McEvoy,DEM,
62,NY,2018,State Representative,101,Brian Miller,REP,
63,NY,2018,State Representative,102,Christopher Tague,REP,
64,NY,2018,State Representative,102,Aidan Oconnor Jr.,DEM,
65,NY,2018,State Representative,103,Kevin Cahill,DEM,
66,NY,2018,State Representative,104,Jonathan Jacobson,DEM,
67,NY,2018,State Representative,104,Scott Manley,REP,
68,NY,2018,State Representative,105,Laurette Giardino,DEM,
69,NY,2018,State Representative,105,Kieran Michael Lalor,REP,
70,NY,2018,State Representative,106,Didi Barrett,DEM,
71,NY,2018,State Representative,106,William Truitt,REP,
72,NY,2018,State Representative,107,Tistrya Houghtling,DEM,
73,NY,2018,State Representative,107,Jacob Ashby,REP,
74,NY,2018,State Representative,108,John McDonald III,DEM,
75,NY,2018,State Representative,109,Patricia Fahy,DEM,
76,NY,2018,State Representative,109,Robert Porter,REP,
77,NY,2018,State Representative,11,Kimberly Jean-Pierre,DEM,
78,NY,2018,State Representative,11,Kevin Sabella,REP,
79,NY,2018,State Representative,110,Phillip Steck,DEM,
80,NY,2018,State Representative,110,Christopher Carey,REP,
81,NY,2018,State Representative,111,Angelo Santabarbara,DEM,
82,NY,2018,State Representative,111,Brian McGarry,REP,
83,NY,2018,State Representative,112,Mary Beth Walsh,REP,
84,NY,2018,State Representative,113,Carrie Woerner,DEM,
85,NY,2018,State Representative,113,Morgan Zegers,REP,
86,NY,2018,State Representative,114,Daniel Stec,REP,
87,NY,2018,State Representative,115,Billy Jones,DEM,
88,NY,2018,State Representative,116,Addie Jenne Russell,DEM,
89,NY,2018,State Representative,116,Mark Walczyk,REP,
90,NY,2018,State Representative,117,Kenneth Blankenbush,REP,
91,NY,2018,State Representative,118,Robert Smullen,REP,
92,NY,2018,State Representative,118,Keith Rubino,DEM,
93,NY,2018,State Representative,119,Marianne Buttenschon,DEM,
94,NY,2018,State Representative,119,Dennis Bova Jr.,REP,
95,NY,2018,State Representative,12,Andrew Raia,REP,
96,NY,2018,State Representative,12,Avrum Rosen,DEM,
97,NY,2018,State Representative,120,William Barclay,REP,
98,NY,2018,State Representative,120,Gail Tosh,DEM,
99,NY,2018,State Representative,121,Bill Magee,DEM,
100,NY,2018,State Representative,121,John Salka,REP,
101,NY,2018,State Representative,122,Clifford Crouch,REP,
102,NY,2018,State Representative,123,Donna Lupardo,DEM,
103,NY,2018,State Representative,124,Bill Batrowny,DEM,
104,NY,2018,State Representative,124,Christopher Friend,REP,
105,NY,2018,State Representative,125,Barbara Lifton,DEM,
106,NY,2018,State Representative,126,Gary Finch,REP,
107,NY,2018,State Representative,126,Ketih Batman,DEM,
108,NY,2018,State Representative,127,Albert Stirpe Jr.,DEM,
109,NY,2018,State Representative,127,Nicholas Paro,REP,
110,NY,2018,State Representative,128,Pamela Jo Hunter,DEM,
111,NY,2018,State Representative,129,William Magnarelli,DEM,
112,NY,2018,State Representative,129,Edward Ott,REP,
113,NY,2018,State Representative,13,Charles Lavine,DEM,
114,NY,2018,State Representative,13,Andrew Monteleone,REP,
115,NY,2018,State Representative,130,Scott Comegys,DEM,
116,NY,2018,State Representative,130,Brian Manktelow,REP,
117,NY,2018,State Representative,131,Brian Kolb,REP,
118,NY,2018,State Representative,132,Philip Palmesano,REP,
119,NY,2018,State Representative,133,Marjorie Byrnes,REP,
120,NY,2018,State Representative,133,Barbara Baer,DEM,
121,NY,2018,State Representative,134,Peter Lawrence,REP,
122,NY,2018,State Representative,135,Mark Johns,REP,
123,NY,2018,State Representative,135,Andrew Gilchrist,DEM,
124,NY,2018,State Representative,136,Jamie Romeo,DEM,
125,NY,2018,State Representative,137,David Gantt,DEM,
126,NY,2018,State Representative,138,Harry Bronson,DEM,
127,NY,2018,State Representative,138,Patsy Iacovangelo,REP,
128,NY,2018,State Representative,139,Stephen Hawley,REP,
129,NY,2018,State Representative,139,Mark Glogowski,LIB,
130,NY,2018,State Representative,14,David McDonough,REP,
131,NY,2018,State Representative,14,Michael Reid,DEM,
132,NY,2018,State Representative,140,Robin Schimminger,DEM,
133,NY,2018,State Representative,140,Adam Ohar,REP,
134,NY,2018,State Representative,141,Crystal Peoples-Stokes,DEM,
135,NY,2018,State Representative,141,Ross Kostecky,REP,
136,NY,2018,State Representative,142,Patrick Burke,DEM,
137,NY,2018,State Representative,142,Erik Bohen,REP,
138,NY,2018,State Representative,143,Monica Wallace,DEM,
139,NY,2018,State Representative,143,Daniel Centinello Sr.,REP,
140,NY,2018,State Representative,144,Michael Norris,REP,
141,NY,2018,State Representative,144,Joseph Dipasquale,DEM,
142,NY,2018,State Representative,145,Angelo Morinello,REP,
143,NY,2018,State Representative,146,Raymond Walter,REP,
144,NY,2018,State Representative,146,Karen McMahon,DEM,
145,NY,2018,State Representative,147,Luke Wochensky,DEM,
146,NY,2018,State Representative,147,David Dipietro,REP,
147,NY,2018,State Representative,148,Joseph Giglio,REP,
148,NY,2018,State Representative,149,Sean Ryan,DEM,
149,NY,2018,State Representative,149,Joseph Totaro,REP,
150,NY,2018,State Representative,15,Allen Foley,DEM,
151,NY,2018,State Representative,15,Michael Montesano,REP,
152,NY,2018,State Representative,150,Andrew Goodell,REP,
153,NY,2018,State Representative,150,Judith Einach,DEM,
154,NY,2018,State Representative,16,Anthony Durso,DEM,
155,NY,2018,State Representative,16,Byron Divins Jr.,REP,
156,NY,2018,State Representative,17,John Mikulin,REP,
157,NY,2018,State Representative,17,Kimberly Snow,DEM,
158,NY,2018,State Representative,18,Taylor Raynor,DEM,
159,NY,2018,State Representative,18,James Lamarre,REP,
160,NY,2018,State Representative,19,Edward Ra,REP,
161,NY,2018,State Representative,19,William Carr,DEM,
162,NY,2018,State Representative,2,Anthony Palumbo,REP,
163,NY,2018,State Representative,2,Rona Smith,DEM,
164,NY,2018,State Representative,20,Melissa Miller,REP,
165,NY,2018,State Representative,20,Juan Vides,DEM,
166,NY,2018,State Representative,21,Brian Curran,REP,
167,NY,2018,State Representative,21,Judy Griffin,DEM,
168,NY,2018,State Representative,22,Michaelle Solages,DEM,
169,NY,2018,State Representative,22,Gonald Moncion,REP,
170,NY,2018,State Representative,23,Stacey Pheffer Amato,DEM,
171,NY,2018,State Representative,23,Matthew Pecorino,REP,
172,NY,2018,State Representative,24,David Weprin,DEM,
173,NY,2018,State Representative,25,Nily Rozic,DEM,
174,NY,2018,State Representative,26,Edward Braunstein,DEM,
175,NY,2018,State Representative,26,David Bressler,REP,
176,NY,2018,State Representative,27,Daniel Rosenthal,DEM,
177,NY,2018,State Representative,28,Andrew Hevesi,DEM,
178,NY,2018,State Representative,28,Danniel Maio,REP,
179,NY,2018,State Representative,29,Alicia Hyndman,DEM,
180,NY,2018,State Representative,3,Joseph Destephano,REP,
181,NY,2018,State Representative,3,Clyde Parker,DEM,
182,NY,2018,State Representative,30,Brian Barnwell,DEM,
183,NY,2018,State Representative,30,Eric Butkiewicz,REP,
184,NY,2018,State Representative,31,Michele Titus,DEM,
185,NY,2018,State Representative,32,Vivian Cook,DEM,
186,NY,2018,State Representative,33,Clyde Vanel,DEM,
187,NY,2018,State Representative,33,Lalita Etwaroo,REP,
188,NY,2018,State Representative,34,Michael Dendekker,DEM,
189,NY,2018,State Representative,35,Jeffrion Aubry,DEM,
190,NY,2018,State Representative,36,Aravella Simotas,DEM,
191,NY,2018,State Representative,37,Catherine Nolan,DEM,
192,NY,2018,State Representative,38,Michael Miller,DEM,
193,NY,2018,State Representative,39,Catalina Cruz,DEM,
194,NY,2018,State Representative,4,Steven Englebright,DEM,
195,NY,2018,State Representative,4,Christian Kalinowski,REP,
196,NY,2018,State Representative,40,Ronald Kim,DEM,
197,NY,2018,State Representative,41,Helene Weinstein,DEM,
198,NY,2018,State Representative,42,Rodneyse Bichotte,DEM,
199,NY,2018,State Representative,42,Matthew Williams,REP,
200,NY,2018,State Representative,43,Diana Richardson,DEM,
201,NY,2018,State Representative,44,Robert Carroll,DEM,
202,NY,2018,State Representative,44,Yevgeny Goldberg,REP,
203,NY,2018,State Representative,45,Steven Cymbrowitz,DEM,
204,NY,2018,State Representative,46,Steven Saperstein,REP,
205,NY,2018,State Representative,46,Mathylde Frontus,DEM,
206,NY,2018,State Representative,47,William Colton,DEM,
207,NY,2018,State Representative,47,Florence Lasalle,REP,
208,NY,2018,State Representative,48,Simcha Eichenstein,DEM,
209,NY,2018,State Representative,49,Peter Abbate Jr.,DEM,
210,NY,2018,State Representative,5,Doug Smith,REP,
211,NY,2018,State Representative,5,Timothy Hall,DEM,
212,NY,2018,State Representative,50,Joseph Lentol,DEM,
213,NY,2018,State Representative,51,Felix Ortiz,DEM,
214,NY,2018,State Representative,52,Jo Anne Simon,DEM,
215,NY,2018,State Representative,52,Gary Popkin,LIB,
216,NY,2018,State Representative,52,Daniel Ramos,REP,
217,NY,2018,State Representative,53,Maritza Davila,DEM,
218,NY,2018,State Representative,54,Erik Martin Dilan,DEM,
219,NY,2018,State Representative,54,Khorshed Chowdhury,REP,
220,NY,2018,State Representative,55,Latrice Monique Walker,DEM,
221,NY,2018,State Representative,55,Berneda Jackson,REP,
222,NY,2018,State Representative,56,Tremaine Wright,DEM,
