State,Year,Position,District,Candidate,Party,Actual Vote Share,Unrounded Actual Vote Share
SC,2018,State Representative,31,Rosalyn Henderson-Myers,DEM,98.85,98.84644194756554
SC,2018,State Representative,32,Max Hyde,REP,98.12,98.12170579779588
SC,2018,State Representative,33,Eddie Tallon,REP,98.48,98.4816853292845
SC,2018,State Representative,34,Mike Forrester,REP,97.28,97.2831555644999
SC,2018,State Representative,35,Helen Pendarvis,DEM,34.61,34.61034148566216
SC,2018,State Representative,35,Bill Chumley,REP,65.2,65.2015278490394
SC,2018,State Representative,36,Rita Allison,REP,97.59,97.59076274009104
SC,2018,State Representative,37,Steven Long,REP,97.44,97.44476679312653
SC,2018,State Representative,38,Josiah Magnuson,REP,98.04,98.04025423728814
SC,2018,State Representative,39,Cal Forrest,REP,98.9,98.89943074003796
SC,2018,State Representative,40,Richard Rick Martin,REP,98.17,98.16709292412618
SC,2018,State Representative,41,Annie E. Mcdaniel,DEM,78.15,78.15289725693881
SC,2018,State Representative,42,Doug Gilliam,REP,98.21,98.21189636297288
SC,2018,State Representative,43,Tom Hawk,DEM,34.23,34.22626165988998
SC,2018,State Representative,43,Randy Ligon,REP,65.75,65.74982061707726
SC,2018,State Representative,44,Mandy Powers Norrell,DEM,93.32,93.32161687170475
SC,2018,State Representative,45,Corin Buskey,DEM,36.05,36.05088175773345
SC,2018,State Representative,45,Brandon Newton,REP,62.47,62.4664436459753
SC,2018,State Representative,46,Carl Kenny Dicks,DEM,39.35,39.34764391155805
SC,2018,State Representative,46,Gary Simrill,REP,60.56,60.56210919873655
SC,2018,State Representative,47,Marty R. Cotton,DEM,28.35,28.34899152486696
SC,2018,State Representative,47,Thomas E. Tommy Pope,REP,71.57,71.57217002825045
SC,2018,State Representative,48,Vickie Holt,DEM,39.15,39.145783899531224
SC,2018,State Representative,48,Bruce M. Bryant,REP,60.79,60.79055500897043
SC,2018,State Representative,49,John R. King,DEM,75.54,75.54269175108539
SC,2018,State Representative,50,Will Wheeler,DEM,98.51,98.51245014552119
SC,2018,State Representative,51,David Weeks,DEM,99.01,99.00520009043635
SC,2018,State Representative,52,Laurie Slade Funderburk,DEM,57.41,57.40752530718788
SC,2018,State Representative,52,Penry Gustafson,REP,42.48,42.47787610619469
SC,2018,State Representative,53,Richie Yow,REP,98.37,98.37079499170312
SC,2018,State Representative,54,Patricia Pat Moore Henegan,DEM,97.8,97.79621820160523
SC,2018,State Representative,55,Jackie E. Hayes,DEM,97.04,97.04192992533027
SC,2018,State Representative,56,Tim Mcginnis,REP,97.59,97.59218125277654
SC,2018,State Representative,57,Lucas Atkinson,DEM,98.98,98.98207568046028
SC,2018,State Representative,58,Jeff Johnson,REP,98.65,98.65101431366492
SC,2018,State Representative,59,Terry Alexander,DEM,98.31,98.30802603036877
SC,2018,State Representative,60,Devon Justin Long,DEM,38.81,38.81152849740933
SC,2018,State Representative,60,Phillip Lowe,REP,61.11,61.10751295336787
SC,2018,State Representative,61,Roger K. Kirby,DEM,98.54,98.54481164150687
SC,2018,State Representative,62,Robert Williams,DEM,63.12,63.11839238156727
SC,2018,State Representative,62,Billy Baldwin,REP,36.76,36.760552013558225
SC,2018,State Representative,63,Mike Brank,DEM,35.33,35.33389687235841
SC,2018,State Representative,63,Jay Jordan,REP,64.6,64.60270498732037
SC,2018,State Representative,64,Robert L. Ridgeway III,DEM,98.7,98.703022875817
SC,2018,State Representative,65,Jay Lucas,REP,98.83,98.83105425672694
SC,2018,State Representative,66,Gilda Cobb-Hunter,DEM,71.53,71.52726977160042
SC,2018,State Representative,66,Tom Connor,REP,28.42,28.423961635373484
SC,2018,State Representative,67,Brandon Humphries,LIB,17.22,17.22301474084641
SC,2018,State Representative,67,Murrell Smith,REP,82.17,82.16833095577746
SC,2018,State Representative,68,Cameron Ventura,LIB,20.19,20.18948604007714
SC,2018,State Representative,68,Heather Ammons Crawford,REP,79.29,79.29068500041922
SC,2018,State Representative,69,Beth Ann Rocheleau,DEM,31.0,31.003299523402177
SC,2018,State Representative,69,David Morris,LIB,2.6,2.596847122082366
SC,2018,State Representative,69,Chris Wooten,REP,64.69,64.68898936820237
SC,2018,State Representative,70,Wendy C. Brawley,DEM,98.21,98.20982098209821
SC,2018,State Representative,71,Nathan Ballentine,REP,97.35,97.34899092890795
SC,2018,State Representative,72,Seth Rose,DEM,98.66,98.66216216216216
SC,2018,State Representative,73,Chris Hart,DEM,77.95,77.94710106848835
SC,2018,State Representative,73,Ralph Bell,REP,22.01,22.009108425293398
SC,2018,State Representative,74,J. Todd Rutherford,DEM,90.05,90.04743744767929
SC,2018,State Representative,75,John Crangle,DEM,41.01,41.00571763671016
SC,2018,State Representative,75,Kirkman Finlay III,REP,57.48,57.484239847529686
SC,2018,State Representative,76,Leon Howard,DEM,99.18,99.17964016034307
SC,2018,State Representative,77,Kambrell Garvin,DEM,84.75,84.74617146991439
SC,2018,State Representative,77,Justin Bishop,LIB,14.74,14.741348124924636
SC,2018,State Representative,78,Beth Bernstein,DEM,97.87,97.86538461538463
SC,2018,State Representative,79,Ivory Thigpen,DEM,87.82,87.82338965153114
SC,2018,State Representative,79,Victor Kocher,LIB,11.76,11.760823653643083
SC,2018,State Representative,80,Jimmy Bales,DEM,97.94,97.94479145678018
SC,2018,State Representative,81,Elise Fox,DEM,35.06,35.06133096519953
SC,2018,State Representative,81,Bart Blackwell,REP,62.95,62.95165676860742
SC,2018,State Representative,82,William Bill Clyburn,DEM,96.69,96.6931216931217
SC,2018,State Representative,83,David Weikle,LIB,18.78,18.776550552251486
SC,2018,State Representative,83,Bill Hixon,REP,80.44,80.43562215184986
SC,2018,State Representative,84,Jennifer Cook Lariscey,DEM,35.13,35.13428862266071
SC,2018,State Representative,84,Ronnie Young,REP,64.76,64.75608801190197
SC,2018,State Representative,85,Sam Edwards,DEM,32.05,32.048023362717
SC,2018,State Representative,85,Chip Huggins,REP,66.01,66.01049159050348
SC,2018,State Representative,86,Bill Taylor,REP,97.75,97.75337497481362
SC,2018,State Representative,87,Diane Summers,DEM,26.15,26.14577133272009
SC,2018,State Representative,87,Paula Rawl Calhoon,REP,73.68,73.68107786375197
SC,2018,State Representative,88,Mac Toole,REP,98.24,98.23863070952333
SC,2018,State Representative,89,Micah Caskey,REP,97.34,97.3415357574426
SC,2018,State Representative,90,Justin Bamberg,DEM,96.54,96.54147527695217
SC,2018,State Representative,91,Lonnie Hosey,DEM,98.78,98.78323569175305
SC,2018,State Representative,92,Joe Daning,REP,97.03,97.02602230483272
SC,2018,State Representative,93,Russell L. Ott,DEM,65.99,65.98665839280173
SC,2018,State Representative,93,Terry L. Kiser Sr.,REP,33.98,33.98231461371393
SC,2018,State Representative,94,Damian Daly,DEM,36.96,36.964285714285715
SC,2018,State Representative,94,Con Chellis,REP,62.93,62.93154761904762
SC,2018,State Representative,95,Jerry Govan,DEM,72.48,72.48062015503875
SC,2018,State Representative,95,Chester D. Palmer,REP,27.45,27.451971688574318
SC,2018,State Representative,96,Bob Vanlue,DEM,28.06,28.061952313022214
SC,2018,State Representative,96,Kit Spires,REP,71.73,71.73425718361524
